otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,1.36230000,1.39740000,1.08630000,1.15500000,20279992.26000000,1609545599999,24465518.02684300,91068,9096169.67000000,10983604.24929600,0
1609545600000,1.15210000,1.16070000,1.00000000,1.02500000,11922746.16000000,1609631999999,12861436.62075000,54928,5114974.76000000,5532459.58645400,0
1609632000000,1.02590000,1.15680000,0.94560000,1.10800000,20147704.01000000,1609718399999,21379421.77663900,70324,10264272.78000000,10882839.97511700,0
1609718400000,1.10800000,1.24000000,0.96660000,1.03170000,18714450.36000000,1609804799999,20652733.11878000,69045,9426073.01000000,10425694.58138700,0
1609804800000,1.03170000,1.38000000,0.98000000,1.25010000,21614286.19000000,1609891199999,24772365.76234000,87149,11324499.88000000,13047793.62030500,0
1609891200000,1.25020000,1.52690000,1.18850000,1.51000000,26125892.04000000,1609977599999,35471398.63016500,119636,14090167.57000000,19112678.45299500,0
1609977600000,1.51090000,1.61500000,1.24400000,1.29250000,25553868.02000000,1610063999999,37327120.55827000,126000,12775272.11000000,18687367.10212200,0
1610064000000,1.29400000,1.34850000,1.01110000,1.18670000,22858507.73000000,1610150399999,28305260.77724300,108585,10732615.04000000,13326857.82298200,0
1610150400000,1.18640000,1.29990000,1.11200000,1.24310000,17542226.69000000,1610236799999,21282757.75210600,76495,8826412.28000000,10738599.02768300,0
1610236800000,1.24410000,1.38710000,1.11000000,1.20580000,21496873.07000000,1610323199999,27376198.03027100,91381,10236899.12000000,13089608.32583500,0
1610323200000,1.20320000,1.21260000,0.96230000,1.12430000,18251793.00000000,1610409599999,19767672.64164200,67931,8107262.82000000,8804522.44158200,0
1610409600000,1.12620000,1.21400000,1.05500000,1.12750000,12397670.65000000,1610495999999,14122650.79777900,47935,6224203.68000000,7101058.64488000,0
1610496000000,1.12720000,1.33450000,1.06000000,1.27700000,16398822.19000000,1610582399999,20123388.88320800,68051,8506579.67000000,10462449.88089000,0
1610582400000,1.27500000,1.40260000,1.26370000,1.33950000,13593431.03000000,1610668799999,18063982.28520000,47235,6818891.54000000,9073766.49962400,0
1610668800000,1.33790000,1.51000000,1.17160000,1.35160000,24679310.93000000,1610755199999,33544488.37893800,85824,12665017.02000000,17241486.35214800,0
1610755200000,1.34880000,1.84160000,1.33130000,1.63190000,30763976.80000000,1610841599999,48763780.74305500,129709,16211047.34000000,25746841.94403200,0
1610841600000,1.63160000,2.19000000,1.58440000,2.03620000,40145438.06000000,1610927999999,75630316.77993900,172099,21330320.62000000,40217682.30038600,0
1610928000000,2.02830000,2.07680000,1.68000000,1.88270000,24567762.77000000,1611014399999,46699918.36549400,115828,11766413.74000000,22333568.56073800,0
1611014400000,1.87920000,2.10000000,1.79790000,1.90050000,21184499.68000000,1611100799999,41172560.78641900,96206,10193096.03000000,19863131.01616100,0
1611100800000,1.90430000,1.96520000,1.64120000,1.84700000,15359199.05000000,1611187199999,27459373.55227900,67189,7255572.33000000,12970105.44815300,0
1611187200000,1.84530000,1.88470000,1.54600000,1.56900000,14945722.21000000,1611273599999,25446912.94195500,63141,7248939.12000000,12377781.38015600,0
