otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,1.10800000,1.61500000,0.96660000,1.20580000,153906104.10000000,1610323199999,195187834.62917500,678291,77411939.01000000,98428598.93330900,0
1610323200000,1.20320000,2.19000000,0.96230000,2.03620000,156230442.66000000,1610927999999,230016280.50976100,618784,79863322.69000000,118647808.06354200,0
1610928000000,2.02830000,2.49000000,1.41130000,2.47430000,128687207.20000000,1611532799999,244289583.79426300,592528,63498104.72000000,120871953.00946600,0
1611532800000,2.47070000,5.55000000,2.18000000,4.93090000,224793683.25000000,1612137599999,797094993.93008100,1555526,113920219.54000000,405588047.69541000,0
1612137600000,4.93070000,6.33000000,4.27150000,4.95120000,148686675.07000000,1612742399999,757422180.33133500,1580469,72628759.21000000,370388165.49123100,0
1612742400000,4.95130000,6.29000000,4.40000000,5.25000000,137108505.66000000,1613347199999,734415696.62090500,1582369,68719041.73000000,368995078.11648800,0
1613347200000,5.25000000,5.89760000,4.20500000,5.05750000,130621595.32000000,1613951999999,653426162.30027700,1405780,65316363.63000000,327693540.89217500,0
1613952000000,5.05750000,5.16760000,3.00000000,3.84070000,178562397.05000000,1614556799999,746770152.67420500,1796122,88024565.12000000,369035756.90534300,0
1614556800000,3.84080000,4.35560000,3.52000000,3.98270000,78991904.33000000,1615161599999,314171385.02575700,796050,39504824.96000000,157440570.58885500,0
1615161600000,3.98800000,4.55500000,3.63020000,3.83220000,91004367.55000000,1615766399999,373660056.09533600,938188,45802531.36000000,188345796.00756000,0
1615766400000,3.83580000,5.24450000,3.72000000,4.67250000,97097387.71000000,1616371199999,439182386.92824800,1148455,49253126.23000000,222729947.55752500,0
1616371200000,4.67010000,4.84810000,3.56700000,4.08820000,55371545.27000000,1616975999999,227527244.67596200,652551,26526822.31000000,109054762.44739600,0
1616976000000,4.08760000,4.79990000,4.02450000,4.57000000,54280976.99000000,1617580799999,241628875.17073400,673618,27415061.71000000,122138435.36515200,0
1617580800000,4.57000000,6.67000000,4.42190000,5.67060000,157281417.98000000,1618185599999,897439529.74793100,1932908,79255412.98000000,452978459.02921900,0
1618185600000,5.67330000,6.65000000,4.50000000,5.29430000,83552757.57000000,1618790399999,479262694.44340400,1137765,40847909.63000000,234636050.06325700,0
1618790400000,5.29280000,5.45980000,3.75360000,3.99610000,67737668.31000000,1619395199999,314729386.36274100,846477,32770931.29000000,152712005.85590700,0
1619395200000,3.99690000,5.91000000,3.94110000,5.36140000,72048315.92000000,1619999999999,380122028.74317900,985233,36240288.20000000,191149393.88541700,0
1620000000000,5.36120000,7.87480000,5.18550000,7.08010000,127090472.13000000,1620604799999,842848168.90513100,2081408,63900279.19000000,424130939.01973800,0
1620604800000,7.08060000,7.18790000,4.65000000,5.12630000,88224247.82000000,1621209599999,521921618.76345900,1497468,43452489.93000000,257524717.94318100,0
1621209600000,5.12610000,5.42280000,1.77770000,2.33550000,132727757.68000000,1621814399999,471561833.72160100,1580918,64547377.85000000,230457569.28067900,0
1621814400000,2.33440000,3.50000000,2.29000000,2.88610000,79247197.90000000,1622419199999,229859433.32911000,949365,38764101.92000000,112593093.15041700,0
1622419200000,2.88350000,4.11760000,2.74580000,3.90980000,82992547.55000000,1623023999999,290489752.43780500,1015706,41010674.15000000,143052640.82386900,0
1623024000000,3.90980000,3.91530000,2.51720000,3.00670000,66314154.24000000,1623628799999,202916159.72433400,665347,33234377.43000000,101606672.85561300,0
1623628800000,3.00210000,3.94990000,2.80650000,3.39800000,80094297.85000000,1624233599999,277254385.72970200,959424,38440792.82000000,132820525.78899100,0
