otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,93.78900000,135.99000000,86.01000000,127.00700000,2892045.19700000,1610323199999,327035506.78774800,815959,1489485.96900000,168709359.17940800,0
1610323200000,126.90000000,203.49800000,94.02000000,186.32300000,2999485.03100000,1610927999999,443888882.30146900,1021689,1507130.40100000,223191848.73295500,0
1610928000000,186.25300000,288.90000000,147.27000000,264.40100000,2581035.98400000,1611532799999,529636260.86266200,1071437,1287290.07300000,265320862.05531800,0
1611532800000,264.52600000,323.70300000,238.00000000,299.60100000,2684436.10000000,1612137599999,749851390.59152300,1278245,1335235.79700000,373161116.76327900,0
1612137600000,299.97500000,542.54300000,283.60700000,472.90700000,2996812.69800000,1612742399999,1273279589.19750800,1883918,1485453.08000000,632217937.12609900,0
1612742400000,473.12500000,581.66700000,460.28000000,468.52500000,1731249.30000000,1613347199999,884192522.46472000,1296634,862790.15700000,441165486.76163500,0
1613347200000,468.43000000,498.00000000,380.00000000,436.96500000,2222558.57100000,1613951999999,996131691.94228600,1375904,1113635.84700000,500068710.19264800,0
1613952000000,436.98600000,448.61100000,284.62700000,354.15500000,2150988.10400000,1614556799999,770713407.42587400,1263589,1054358.56200000,378502970.94842300,0
1614556800000,353.79100000,419.96000000,339.99000000,414.89000000,1493727.89600000,1615161599999,578271645.08226900,886787,739352.67900000,286445828.94587000,0
1615161600000,415.03300000,459.00000000,359.67400000,380.66900000,1503556.76900000,1615766399999,612627737.40643700,924027,735093.52900000,299970730.94123000,0
1615766400000,380.00900000,396.20000000,350.19400000,367.33900000,739631.25100000,1616371199999,274949002.76607800,450709,377761.02700000,140550293.31005000,0
1616371200000,367.59700000,373.72000000,296.22500000,347.72100000,759940.89100000,1616975999999,256370233.15415500,527595,374007.18400000,126269703.11641900,0
1616976000000,348.03600000,425.50000000,344.39000000,403.40000000,1053980.63400000,1617580799999,405642863.92364200,691059,529030.25000000,203857861.75177700,0
1617580800000,403.49900000,415.12900000,340.20700000,372.02600000,875679.87500000,1618185599999,328279628.34940900,627405,429149.50800000,160836717.01868100,0
1618185600000,372.23100000,489.00000000,280.72700000,381.49800000,2288464.46100000,1618790399999,943102997.44542400,1721199,1135051.69500000,467561530.02446700,0
1618790400000,381.30000000,415.13400000,308.12000000,348.53000000,1850768.33260000,1619395199999,655931754.44106010,1597891,920528.45550000,326464520.03154610,0
1619395200000,348.98000000,512.00000000,345.43000000,482.41000000,2112956.46250000,1619999999999,942373918.29761530,1657974,1061522.72220000,473130580.65483830,0
1620000000000,482.41000000,535.00000000,432.15000000,459.51000000,1456457.13520000,1620604799999,690505875.51552600,1172783,752811.21690000,357057005.79746400,0
1620604800000,459.44000000,634.32000000,400.00000000,527.88000000,3419071.28220000,1621209599999,1846407509.40012400,3291741,1715857.11040000,926837524.88630400,0
1621209600000,527.84000000,668.00000000,208.09000000,293.31000000,4824173.80040000,1621814399999,2220599213.20382000,3702863,2336712.31440000,1081113069.98848800,0
1621814400000,293.08000000,418.00000000,280.30000000,324.38000000,2563760.33240000,1622419199999,895212099.48561500,2215701,1287975.31780000,449958533.88556300,0
1622419200000,324.38000000,409.38000000,304.36000000,365.48000000,1513813.33750000,1623023999999,561248687.77281800,1506401,751730.11940000,278860070.43930400,0
1623024000000,365.73000000,387.76000000,265.68000000,316.27000000,1150945.71140000,1623628799999,365398272.95549300,904358,567967.88430000,180326299.64812500,0
1623628800000,316.30000000,336.49000000,242.07000000,272.67000000,826791.05880000,1624233599999,239832397.48862100,623315,413894.45160000,119985096.70955200,0
1624233600000,272.85000000,275.75000000,170.10000000,202.87000000,2024172.17510000,1624838399999,415756586.69838600,982563,1011592.85080000,207718590.09563100,0
1624838400000,202.93000000,289.90000000,200.62000000,277.00000000,1797134.61610000,1625443199999,434927513.76843200,991228,884992.04450000,214251992.24137400,0
1625443200000,277.00000000,347.53000000,260.42000000,305.09000000,2887546.13360000,1626047999999,879259766.61462500,1763261,1424390.42390000,433290070.07396900,0
1626048000000,305.10000000,321.95000000,245.01000000,253.68000000,1394197.29600000,1626652799999,385345064.82475500,830777,695698.97720000,192444472.64795500,0
1626652800000,253.88000000,299.05000000,212.54000000,288.07000000,1350095.08920000,1627257599999,352826297.50774000,854841,672810.36340000,176068460.09286000,0
1627257600000,287.89000000,339.59000000,283.29000000,316.38000000,1599142.13620000,1627862399999,497614043.03631400,1261569,792628.10100000,246665834.42283200,0
1627862400000,316.38000000,400.02000000,300.26000000,360.72000000,1271367.34310000,1628467199999,448540508.13435500,1393871,630350.60870000,222243293.66925000,0
1628467200000,360.82000000,428.28000000,347.36000000,410.27000000,1026390.04020000,1629071999999,408941476.35936600,1220882,513227.32880000,204498909.77376400,0
1629072000000,410.14000000,448.44000000,361.27000000,400.98000000,1261388.95730000,1629676799999,512457389.29574100,1477938,624935.58750000,254328524.22210300,0
1629676800000,400.98000000,415.49000000,340.90000000,364.10000000,725031.49180000,1630281599999,273914414.39978700,734619,362331.36580000,136859292.20901000,0
1630281600000,363.90000000,425.70000000,345.90000000,416.80000000,1062344.29540000,1630886399999,419122977.41351400,1199108,547029.54110000,215808561.70242400,0
1630886400000,416.90000000,425.00000000,304.30000000,333.30000000,1229639.68510000,1631491199999,427974174.13780800,1056663,634077.11190000,220081133.77248600,0
1631491200000,333.30000000,418.00000000,303.10000000,340.00000000,1297983.49000000,1632095999999,480054489.45454900,1265514,641820.20300000,237382442.64638000,0
1632096000000,340.00000000,341.00000000,252.00000000,293.30000000,1117801.83770000,1632700799999,324397884.49395900,778326,558498.59320000,162113607.31546000,0
1632700800000,293.40000000,323.70000000,259.10000000,310.60000000,731651.81100000,1633305599999,212695550.21820000,561736,378281.22400000,110020452.54730000,0
1633305600000,310.50000000,324.90000000,284.40000000,287.90000000,670940.07000000,1633910399999,205235059.41590000,581644,324793.62100000,99385529.98560000,0
1633910400000,287.80000000,321.20000000,270.80000000,304.40000000,687460.42300000,1634515199999,204738269.44500000,654345,346134.03300000,103082044.03280000,0
1634515200000,304.50000000,338.00000000,289.70000000,307.80000000,568370.98700000,1635119999999,177342079.40330000,656010,282008.26700000,88027293.01150000,0
1635120000000,307.70000000,459.00000000,300.30000000,314.20000000,2411421.97110000,1635724799999,862476308.69315000,2157278,1175877.18700000,421365361.43635000,0
1635724800000,314.30000000,347.00000000,301.90000000,319.90000000,871631.20900000,1636329599999,281657168.47100000,1315218,428917.75700000,138634033.95290000,0
1636329600000,319.90000000,349.90000000,295.20000000,315.10000000,1027031.81600000,1636934399999,332931132.75060000,1536534,507985.05700000,164653023.08230000,0
1636934400000,315.30000000,317.30000000,255.20000000,266.40000000,908497.72300000,1637539199999,254512590.35070000,905060,471674.70200000,132206954.02220000,0
1637539200000,266.70000000,277.60000000,218.30000000,238.60000000,865806.13100000,1638143999999,218915092.66250900,836749,431656.11290000,109063158.37191000,0
1638144000000,238.60000000,268.80000000,159.20000000,191.60000000,1041687.44540000,1638748799999,229134872.39665200,1018789,517881.99710000,113797365.39068000,0
1638748800000,191.60000000,191.80000000,167.90000000,184.10000000,299630.08300000,1639353599999,53401937.11640000,129070,162481.08700000,28959569.30020000,0
