otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1613952000000,6.50000000,25.46000000,6.50000000,9.42500000,14100022.10200000,1614556799999,261640176.89732800,648339,6985396.12600000,130884613.47362900,0
1614556800000,9.42500000,14.55800000,9.31000000,10.99000000,2978437.27000000,1615161599999,36702017.24705300,173783,1470919.87600000,18219194.55557700,0
1615161600000,10.99300000,19.14600000,10.44300000,13.70200000,7183429.19200000,1615766399999,98939605.10920400,435777,3465736.49100000,47849721.34792800,0
1615766400000,13.70600000,14.54500000,11.57100000,11.86100000,2147310.87500000,1616371199999,27594224.87766700,136476,1020581.71300000,13121518.58586300,0
1616371200000,11.86000000,12.10000000,9.77600000,11.21500000,1492966.17300000,1616975999999,16812134.59576400,89131,726309.09200000,8191848.18026500,0
1616976000000,11.22100000,11.74900000,9.99100000,10.51000000,1166308.80500000,1617580799999,12775750.94703500,71482,564732.94300000,6193460.71984200,0
1617580800000,10.48000000,15.52100000,10.10000000,11.19800000,4349296.45000000,1618185599999,52136636.62501100,247210,2154594.75700000,25991389.60018700,0
1618185600000,11.19100000,13.48600000,9.92400000,10.30000000,2149986.07800000,1618790399999,25601437.59993800,134312,1020788.39900000,12185179.60280100,0
1618790400000,10.32800000,12.35600000,8.85300000,9.49800000,2253869.16200000,1619395199999,23540685.36660900,130401,1136263.29100000,11896862.11965700,0
1619395200000,9.49800000,11.80000000,9.46800000,11.00800000,1497454.18800000,1619999999999,15903171.84784400,109193,741131.23600000,7884250.52495800,0
1620000000000,11.00800000,11.90000000,9.53700000,9.96400000,1139124.12500000,1620604799999,12044691.32128000,85812,523667.80300000,5542399.81229300,0
1620604800000,9.95600000,20.90000000,8.57200000,13.51100000,16874707.42800000,1621209599999,244384253.84187600,968100,8527208.13100000,123685403.82743300,0
1621209600000,13.51100000,17.46000000,6.46200000,8.08700000,8706350.14500000,1621814399999,114265644.16180600,725339,4279942.05400000,56098455.25913100,0
1621814400000,8.08700000,9.56900000,6.84000000,7.29800000,4742547.23600000,1622419199999,38036536.15037300,223006,2302376.39900000,18493662.65821100,0
1622419200000,7.27000000,7.88600000,6.78200000,7.09500000,1828865.53300000,1623023999999,13421701.62548600,93428,879683.91700000,6463168.04196300,0
1623024000000,7.06300000,9.56700000,5.50600000,6.78000000,6839413.56200000,1623628799999,51305539.30277600,266042,3444864.48600000,25980509.55046300,0
1623628800000,6.78000000,8.26500000,6.58100000,7.21600000,3658530.55700000,1624233599999,26639406.86662100,166378,1824976.38100000,13309653.75498300,0
