otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,8.45000000,21.24900000,7.13600000,14.57600000,3774705.92000000,1610323199999,53354071.79849000,161894,1932278.51000000,27367195.56994000,0
1610323200000,14.57300000,23.49900000,6.46500000,21.34100000,4228832.74000000,1610927999999,61254712.55288000,174030,2143388.65000000,31105375.11319000,0
1610928000000,21.34000000,23.38000000,8.33100000,13.97600000,2558067.12000000,1611532799999,39177381.92546000,123075,1272842.08000000,19542346.26598000,0
1611532800000,14.09000000,15.38000000,8.92400000,12.06600000,2711205.89000000,1612137599999,33805686.66009000,115622,1327693.56000000,16642821.92055000,0
1612137600000,12.07000000,56.25000000,10.84300000,49.44000000,5273966.76000000,1612742399999,142465411.48551000,387577,2629916.63000000,70752302.30657000,0
1612742400000,49.32200000,102.63700000,45.80000000,68.64300000,1935670.43000000,1613347199999,129576591.59826000,323848,994358.19000000,66712158.39079000,0
1613347200000,68.40100000,111.00000000,46.77800000,95.47700000,1257660.52000000,1613951999999,103674607.13853000,368171,602241.74000000,49842481.09233000,0
1613952000000,95.57600000,149.73800000,56.00000000,124.51200000,1954545.05000000,1614556799999,195502198.06096000,520592,976803.10000000,97840436.38432000,0
1614556800000,124.23600000,130.22900000,82.00000000,96.42700000,954074.55000000,1615161599999,100808841.71612000,348893,455657.17000000,48406587.69139000,0
1615161600000,96.36300000,109.00000000,72.53900000,82.10000000,806297.98000000,1615766399999,76060220.27573000,321477,379755.93000000,35940865.28966000,0
1615766400000,82.07400000,164.50000000,73.19700000,88.76400000,1958682.69000000,1616371199999,224389987.37471000,986664,917789.40000000,106102149.53006000,0
1616371200000,88.76400000,103.08200000,58.00000000,84.01900000,1783922.59000000,1616975999999,142674409.50232000,589763,842626.42000000,67602462.98341000,0
1616976000000,84.30900000,92.71700000,71.50000000,76.48300000,1240758.82000000,1617580799999,103860394.01558000,597110,567077.81000000,47653478.38244000,0
1617580800000,76.23200000,98.83800000,70.00000000,83.00100000,2074149.06000000,1618185599999,167944663.02184000,816276,1017011.88000000,82484047.67921000,0
1618185600000,83.00100000,128.00000000,51.50000000,78.12200000,2338660.36000000,1618790399999,228307530.07775000,827900,1168496.22000000,114647677.26292000,0
1618790400000,78.15700000,84.59500000,32.24200000,53.34400000,1420473.21000000,1619395199999,91182961.66518000,436231,698571.49000000,44971480.25683000,0
1619395200000,53.44100000,93.00000000,52.01000000,80.96000000,1282213.54000000,1619999999999,100687982.01077000,419201,627116.56000000,49206057.90205000,0
1620000000000,80.78500000,145.88500000,71.33300000,135.23800000,2287618.72000000,1620604799999,247070939.93577000,946735,1146718.27000000,123993458.90629000,0
1620604800000,135.11100000,227.99900000,97.36100000,203.30700000,2201610.43000000,1621209599999,335623677.82516000,1081463,1091805.52000000,166569872.99260000,0
1621209600000,203.30700000,208.94600000,46.57800000,74.74300000,2573161.03000000,1621814399999,279878580.19448000,1107572,1266930.53000000,138520144.09403000,0
1621814400000,75.33900000,137.00000000,68.90000000,105.08200000,1848859.17000000,1622419199999,192770564.63871000,841334,881418.37000000,91855502.67399000,0
1622419200000,104.69000000,146.29300000,98.80400000,116.00000000,991548.16000000,1623023999999,119191340.99576000,438588,485397.79000000,58464862.21022000,0
1623024000000,116.12100000,124.93000000,71.63400000,99.44900000,887081.82000000,1623628799999,83218281.38013000,330403,424865.96000000,39970276.98918000,0
1623628800000,99.75900000,107.50000000,68.11500000,82.49400000,515306.69000000,1624233599999,46024573.27985000,190680,247454.51000000,22186792.49541000,0
1624233600000,82.32300000,83.48800000,36.00000000,68.59300000,2068269.16000000,1624838399999,121006304.20998000,492390,1001893.60000000,58809120.67321000,0
1624838400000,68.59400000,86.22700000,62.49900000,82.29900000,967631.83000000,1625443199999,68874848.25446000,216238,495666.57000000,35325103.86622000,0
1625443200000,82.20200000,82.20200000,62.45600000,68.71100000,522650.07000000,1626047999999,38202630.75599000,150005,249349.71000000,18251800.84765000,0
1626048000000,69.01100000,71.79400000,48.47200000,51.65200000,542861.53000000,1626652799999,30935090.19607000,112340,251058.74000000,14320595.91066000,0
1626652800000,51.46700000,56.70200000,36.40000000,54.59300000,831439.36000000,1627257599999,39180098.84838000,126269,407327.35000000,19325920.29543000,0
1627257600000,54.57600000,71.99900000,52.73400000,62.70000000,731316.71000000,1627862399999,44987402.17756000,136748,369847.17000000,22754985.32215000,0
1627862400000,62.62000000,83.03600000,56.84000000,75.15600000,272336.86000000,1628467199999,19001054.59726000,77415,148009.41000000,10362991.88925000,0
1628467200000,74.96500000,189.97900000,70.91300000,173.13100000,400731.11000000,1629071999999,52606539.65369000,230630,212985.91000000,27913739.30466000,0
1629072000000,173.13100000,280.99500000,117.28100000,278.47100000,336876.63000000,1629676799999,62795608.23125000,296242,175938.60000000,32842215.93586000,0
1629676800000,277.29300000,330.00000000,212.03900000,286.43500000,213846.29000000,1630281599999,58706392.18099000,284993,101548.40000000,28001101.68528000,0
1630281600000,286.06000000,337.96700000,256.47600000,291.26300000,113078.95000000,1630886399999,32814215.25614000,140696,55970.38000000,16269467.12376000,0
1630886400000,291.56900000,294.00000000,98.52900000,206.37200000,220355.67000000,1631491199999,44554239.04401000,191232,109588.00000000,22180031.43761000,0
1631491200000,206.18800000,208.30700000,145.15300000,148.74000000,129777.97000000,1632095999999,23024104.34115000,106063,62871.91000000,11162834.28835000,0
1632096000000,148.99900000,167.99000000,92.53700000,132.90100000,250345.11000000,1632700799999,32743724.87691000,176885,123323.92000000,16177202.23530000,0
1632700800000,132.70300000,148.48800000,106.70000000,138.80900000,141522.88000000,1633305599999,18006424.39721000,83607,71103.79000000,9050918.20104000,0
1633305600000,138.80200000,155.53200000,118.82100000,127.83300000,115431.87000000,1633910399999,15651056.48349000,73500,58456.89000000,7932121.69783000,0
1633910400000,127.58800000,136.39000000,111.00000000,121.42100000,104373.38000000,1634515199999,12951584.86771000,77190,50813.32000000,6319791.62796000,0
