otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1633305600000,2.95100000,5.43700000,2.95100000,3.45100000,93111572.70000000,1633910399999,393775527.12470000,766318,44906946.80000000,190388777.69430000,0
1633910400000,3.45000000,4.23000000,3.26500000,3.84700000,34011369.10000000,1634515199999,125376340.79380000,244068,16372338.90000000,60444775.73690000,0
1634515200000,3.84300000,4.06000000,2.95000000,2.97500000,15053468.40000000,1635119999999,52345278.82690000,106891,7036362.10000000,24529036.97990000,0
1635120000000,2.97500000,3.78000000,2.48800000,3.06800000,35916116.10000000,1635724799999,112472811.17590000,312689,17704448.60000000,55535366.01270000,0
1635724800000,3.07400000,3.18200000,2.70000000,2.87000000,22753458.70000000,1636329599999,66858472.82400000,171004,10922491.90000000,32130681.55440000,0
1636329600000,2.87200000,3.05000000,2.51200000,2.73600000,15344154.00000000,1636934399999,42649643.21610000,120686,7257664.50000000,20180094.66380000,0
1636934400000,2.74000000,3.25000000,2.06500000,2.60300000,42405732.00000000,1637539199999,110398659.33720000,318838,21187836.10000000,55179924.64470000,0
1637539200000,2.60400000,3.15000000,2.08000000,2.34000000,31267530.70000000,1638143999999,79187421.63290000,258371,14840202.90000000,37682924.99960000,0
1638144000000,2.34000000,2.58800000,1.33300000,1.63700000,32488203.00000000,1638748799999,71557374.66880000,245207,15404624.50000000,33973801.15440000,0
1638748800000,1.63500000,1.63500000,1.40200000,1.60200000,4756440.00000000,1639353599999,7187924.08450000,28933,2497258.00000000,3775050.87440000,0
