otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1619827200000,0.38140000,0.38730000,0.36920000,0.38350000,3547857.53000000,1619841599999,1343571.96329200,5832,1818847.03000000,688185.56027600,0
1619841600000,0.38350000,0.38450000,0.36410000,0.36500000,2611335.84000000,1619855999999,972981.37529900,4382,1020153.68000000,379786.98936700,0
1619856000000,0.36470000,0.36830000,0.35230000,0.36430000,3810128.04000000,1619870399999,1376750.66165600,6824,1869071.45000000,675827.24568600,0
1619870400000,0.36480000,0.36790000,0.35400000,0.36180000,2638263.50000000,1619884799999,951596.14954700,4281,1509630.44000000,545017.56101400,0
1619884800000,0.36180000,0.36480000,0.35460000,0.35990000,3387318.89000000,1619899199999,1217721.30291200,5037,1627095.93000000,585106.87198600,0
1619899200000,0.36010000,0.36940000,0.35720000,0.36100000,3122392.71000000,1619913599999,1132528.36983000,4994,1540678.63000000,559332.60746000,0
1619913600000,0.36100000,0.37000000,0.34640000,0.34780000,3376868.41000000,1619927999999,1214932.65982600,4645,1605342.40000000,578388.42318200,0
1619928000000,0.34780000,0.35500000,0.34330000,0.35120000,2191029.12000000,1619942399999,765384.21662200,3477,1271900.55000000,444348.72198000,0
1619942400000,0.35220000,0.35400000,0.33990000,0.35320000,2931408.79000000,1619956799999,1015579.45696100,4196,1377881.05000000,478105.11895800,0
1619956800000,0.35350000,0.36380000,0.34850000,0.35750000,2326102.88000000,1619971199999,826848.85196200,4177,947836.34000000,336928.80428600,0
1619971200000,0.35600000,0.36460000,0.35430000,0.35900000,2820562.97000000,1619985599999,1011625.29092600,4469,1434341.66000000,514370.66165600,0
1619985600000,0.35900000,0.35990000,0.34480000,0.35000000,2532652.75000000,1619999999999,892121.94878600,4074,983465.58000000,346464.53806700,0
1620000000000,0.34950000,0.37120000,0.34770000,0.36760000,2526756.31000000,1620014399999,912540.18946900,4399,1346439.14000000,487374.40585700,0
1620014400000,0.36760000,0.37980000,0.36560000,0.37800000,3246839.19000000,1620028799999,1212167.03062100,6819,1750325.54000000,653861.55757400,0
1620028800000,0.37800000,0.37830000,0.36590000,0.37070000,3825003.48000000,1620043199999,1417303.80496100,6574,1505772.30000000,559288.07451100,0
1620043200000,0.37020000,0.37280000,0.35340000,0.35900000,3683748.66000000,1620057599999,1335270.57470900,6037,1689307.55000000,612979.90470200,0
1620057600000,0.35950000,0.36860000,0.35470000,0.36120000,2786170.80000000,1620071999999,1005272.24166400,4981,1273927.32000000,460083.43471200,0
1620072000000,0.36120000,0.36120000,0.34650000,0.35710000,2735332.39000000,1620086399999,969575.24223200,4886,1301075.86000000,461877.09655400,0
1620086400000,0.35690000,0.35690000,0.32130000,0.32910000,5241810.70000000,1620100799999,1751265.48844300,6514,2566651.39000000,856971.69338300,0
1620100800000,0.32890000,0.34850000,0.32560000,0.33810000,2108120.55000000,1620115199999,717457.07095300,3451,1024393.33000000,349131.20326500,0
1620115200000,0.33810000,0.34940000,0.33060000,0.34610000,3203349.47000000,1620129599999,1088121.69615900,4689,1565105.22000000,532484.45414000,0
1620129600000,0.34620000,0.37120000,0.31090000,0.31270000,10904770.25000000,1620143999999,3686738.75980000,13622,5041489.73000000,1712585.53657200,0
1620144000000,0.31200000,0.32940000,0.30330000,0.32750000,6482990.64000000,1620158399999,2055857.68231500,6516,3569146.72000000,1134513.66010700,0
1620158400000,0.32750000,0.33340000,0.30520000,0.30670000,2763235.51000000,1620172799999,886182.92703100,4201,1263120.52000000,405961.43721600,0
1620172800000,0.30570000,0.33810000,0.30240000,0.32910000,3538224.13000000,1620187199999,1154367.63072000,5278,2017953.60000000,658418.95235500,0
1620187200000,0.32910000,0.33130000,0.31710000,0.32920000,1741212.21000000,1620201599999,565994.31135600,2980,909247.29000000,295804.22155800,0
1620201600000,0.33000000,0.34300000,0.32960000,0.33340000,3152753.37000000,1620215999999,1059397.96327300,5119,1545602.42000000,519802.98246600,0
1620216000000,0.33340000,0.34790000,0.33340000,0.34100000,3309134.42000000,1620230399999,1129900.02093400,6475,1648048.62000000,563298.57962100,0
1620230400000,0.34100000,0.35320000,0.33620000,0.34780000,4197435.73000000,1620244799999,1452775.76108300,7174,2113631.51000000,731543.80089700,0
1620244800000,0.34730000,0.34890000,0.33450000,0.33970000,4803581.26000000,1620259199999,1631498.27847700,6691,2263980.95000000,769438.73199900,0
1620259200000,0.33970000,0.35170000,0.33160000,0.35050000,3179109.24000000,1620273599999,1079037.29807500,5016,1656674.27000000,562480.67469200,0
1620273600000,0.34980000,0.34980000,0.33100000,0.34420000,3103421.87000000,1620287999999,1061640.68771200,5309,1690496.41000000,578718.91486700,0
1620288000000,0.34420000,0.34860000,0.33650000,0.34540000,3479380.23000000,1620302399999,1194612.49277800,5099,1773361.75000000,609771.47196400,0
1620302400000,0.34540000,0.35300000,0.33800000,0.34290000,6072725.19000000,1620316799999,2101269.50751200,9190,2670955.32000000,924928.03746400,0
1620316800000,0.34290000,0.35110000,0.32490000,0.33900000,7184864.81000000,1620331199999,2438230.87183500,10029,3173890.75000000,1078639.37278300,0
