otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.42550000,0.53010000,0.36730000,0.45780000,480438557.50000000,1610323199999,223242859.16955700,819935,235537430.94000000,109611738.11117000,0
1610323200000,0.45780000,0.58880000,0.37150000,0.58590000,351519027.08000000,1610927999999,164052788.83020300,599058,176337641.14000000,82589904.86746200,0
1610928000000,0.58690000,0.60800000,0.42880000,0.56230000,277882547.46000000,1611532799999,148103868.59382100,579756,136436274.55000000,72805788.20327700,0
1611532800000,0.56210000,0.70360000,0.52500000,0.65160000,351955614.90000000,1612137599999,213521440.96709200,773696,173440048.55000000,105563354.20190500,0
1612137600000,0.65240000,0.89000000,0.61590000,0.84480000,351004837.87000000,1612742399999,262428054.00288040,903939,172782841.98000000,129244938.22889840,0
1612742400000,0.84490000,1.84000000,0.83950000,1.47060000,641463399.32400000,1613347199999,823077809.81411310,1929689,318943106.99600000,409757683.10124710,0
1613347200000,1.46910000,1.54600000,1.19840000,1.30550000,434197865.81000000,1613951999999,595119580.19343900,1415889,215105304.84000000,295343221.61356900,0
1613952000000,1.30630000,1.31900000,0.83210000,1.02180000,510885604.83000000,1614556799999,537637992.14011300,1464858,252514543.20000000,265845019.02111900,0
1614556800000,1.02310000,1.25000000,1.00310000,1.10690000,418996735.19000000,1615161599999,462112278.87174600,1280367,210530769.20000000,232354160.93641100,0
1615161600000,1.10670000,1.23120000,1.01320000,1.11680000,374824858.45000000,1615766399999,420623609.88059400,1185488,189301114.15000000,212729887.89525300,0
1615766400000,1.11720000,1.38400000,1.11040000,1.17940000,441587986.07000000,1616371199999,548496329.04124400,1340550,216571534.90000000,269305581.01463700,0
1616371200000,1.17910000,1.26880000,0.97580000,1.23540000,299399114.55000000,1616975999999,337792087.00954000,954873,148664588.83000000,168164234.94048600,0
1616976000000,1.23540000,1.47000000,1.21670000,1.30940000,313375741.66000000,1617580799999,419237670.27037800,1243707,156372900.88000000,209316565.99380200,0
1617580800000,1.30950000,1.54610000,1.24950000,1.52120000,317137240.06000000,1618185599999,440949673.11202900,1258781,160401864.69000000,223321557.47659000,0
1618185600000,1.52140000,1.79990000,1.21160000,1.45730000,432131519.97000000,1618790399999,661825069.72708700,1681589,212193579.87000000,325187125.64459400,0
1618790400000,1.45720000,1.53000000,0.91300000,1.09390000,385519454.50000000,1619395199999,472767776.18497400,1159624,192610921.10000000,236642567.44478100,0
1619395200000,1.09460000,1.44610000,1.08230000,1.38770000,261785392.34000000,1619999999999,342490688.51219800,1150058,138741742.26000000,181706505.75365100,0
1620000000000,1.38770000,1.69650000,1.25410000,1.51510000,302364890.09000000,1620604799999,450457821.40363300,1365244,157544153.32000000,234668208.21396300,0
1620604800000,1.51520000,1.55610000,1.20100000,1.39560000,311617233.61000000,1621209599999,441013375.48354300,1090578,155267621.07000000,219938796.19507500,0
1621209600000,1.39600000,1.41260000,0.67740000,0.81780000,400005607.18000000,1621814399999,416431590.82095300,1049628,195006190.29000000,203708773.53016800,0
1621814400000,0.81690000,1.05930000,0.77840000,0.84910000,197374181.31000000,1622419199999,184027257.17808900,561110,99215245.39000000,92661339.98380000,0
1622419200000,0.84910000,1.15370000,0.81390000,1.02470000,182131749.73000000,1623023999999,181242850.32180000,557798,92189629.86000000,91844695.94067800,0
1623024000000,1.02480000,1.15230000,0.85600000,1.04060000,234222306.95000000,1623628799999,238063337.56824700,731907,116816100.41000000,118913031.42944600,0
1623628800000,1.04110000,1.09370000,0.87800000,0.93390000,132249012.24000000,1624233599999,134103404.87522700,515658,62832225.62000000,64015421.40635200,0
1624233600000,0.93420000,0.94160000,0.67120000,0.83580000,209919376.26000000,1624838399999,168591187.66307500,523887,101208328.49000000,81303312.62818700,0
1624838400000,0.83600000,0.92410000,0.79890000,0.88000000,89727717.38000000,1625443199999,77083570.76588900,291596,46166193.38000000,39708711.03270200,0
1625443200000,0.87930000,0.94080000,0.82880000,0.89520000,87500349.04000000,1626047999999,78165997.96121600,311374,44498870.75000000,39805080.45837700,0
1626048000000,0.89530000,0.90440000,0.77170000,0.79810000,74197444.37000000,1626652799999,61569782.94323200,216418,35945115.44000000,29862802.92649900,0
1626652800000,0.79840000,0.90740000,0.67600000,0.89050000,105726766.68000000,1627257599999,82471176.32986500,275844,52047123.85000000,40715563.11527600,0
1627257600000,0.89010000,0.93390000,0.80270000,0.81170000,121153115.51000000,1627862399999,103757802.36362200,365820,60618015.79000000,51985644.34650200,0
1627862400000,0.81170000,0.89610000,0.79000000,0.82530000,153316531.69000000,1628467199999,129643366.29639800,514875,75674482.16000000,64025516.36153900,0
1628467200000,0.82560000,1.02410000,0.80440000,0.99510000,321125208.11000000,1629071999999,295441205.90665000,1089324,164791875.51000000,151816464.42312400,0
