otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1628467200000,0.96110000,1.65000000,0.96110000,1.11570000,83258501.00000000,1629071999999,101909505.46682000,285044,41596726.70000000,50825512.00659000,0
1629072000000,1.11500000,1.78850000,1.08880000,1.35250000,195141704.10000000,1629676799999,281986343.12215000,816731,97655213.30000000,141087556.02711000,0
1629676800000,1.35220000,1.44370000,1.16000000,1.36400000,49991918.50000000,1630281599999,64855265.30054000,263611,23782481.00000000,30922144.07023000,0
1630281600000,1.36190000,1.36460000,1.13100000,1.18740000,36288116.20000000,1630886399999,44165401.96979000,176125,17896786.50000000,21825694.31212000,0
1630886400000,1.18720000,1.35000000,0.78890000,1.12510000,72350801.50000000,1631491199999,80905474.90504000,301751,35194147.70000000,39477388.09065000,0
1631491200000,1.12510000,1.31000000,0.98220000,1.06040000,38497327.20000000,1632095999999,42998522.84278000,176698,19521407.30000000,21775918.42752000,0
1632096000000,1.06070000,1.18580000,0.79900000,0.86540000,62511951.20000000,1632700799999,63691347.56928000,264530,31088931.70000000,31649438.87792000,0
1632700800000,0.86490000,0.95000000,0.82370000,0.88690000,41690071.10000000,1633305599999,36691878.50837000,134450,21804649.30000000,19206337.06526000,0
1633305600000,0.88820000,0.93810000,0.82470000,0.83190000,31479397.50000000,1633910399999,27318739.28395000,109471,15178064.80000000,13193152.33348000,0
1633910400000,0.83190000,1.07220000,0.81300000,0.94570000,88539573.90000000,1634515199999,84615518.78269000,301311,43388195.50000000,41438885.61547000,0
1634515200000,0.94570000,1.03990000,0.87580000,0.88050000,37216946.40000000,1635119999999,34918419.79322000,116060,19042022.10000000,17918744.76337000,0
1635120000000,0.88050000,0.94490000,0.82580000,0.89430000,35497352.40000000,1635724799999,31242117.96317000,125031,16879854.50000000,14858947.72019000,0
1635724800000,0.89430000,0.95000000,0.84000000,0.88810000,30699117.20000000,1636329599999,27551381.48083000,114387,14260838.80000000,12804548.22254000,0
1636329600000,0.88810000,0.94550000,0.77330000,0.87870000,41667519.30000000,1636934399999,35816669.08603000,152590,19707148.20000000,16936528.45983000,0
1636934400000,0.87820000,0.88420000,0.72820000,0.78670000,36057921.50000000,1637539199999,28732080.47107000,130096,17870226.40000000,14230311.44587000,0
1637539200000,0.78670000,0.79000000,0.67310000,0.70650000,25835549.30000000,1638143999999,18726330.72698000,88540,12208402.10000000,8853451.67042000,0
1638144000000,0.70700000,0.87500000,0.54550000,0.56450000,74168891.00000000,1638748799999,52627427.79516000,177404,35516514.40000000,25261547.79298000,0
1638748800000,0.56450000,0.81900000,0.51660000,0.60720000,27247003.20000000,1639353599999,18019003.39204000,57404,13458763.10000000,8942212.14386000,0
