otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.18460000,0.22000000,0.18110000,0.21666000,20560764.10000000,1609545599999,4147671.09513100,20963,10179767.40000000,2062340.36606000,0
1609545600000,0.21666000,0.24900000,0.20869000,0.23456000,34598609.00000000,1609631999999,7975313.34094000,39401,18220584.30000000,4208437.47949000,0
1609632000000,0.23456000,0.32246000,0.22857000,0.28686000,45489608.40000000,1609718399999,12527559.87427800,56859,23643348.30000000,6521878.29007400,0
1609718400000,0.28686000,0.31999000,0.22999000,0.25723000,55602352.50000000,1609804799999,15077776.89434700,92159,25929150.30000000,7047345.65113700,0
1609804800000,0.25724000,0.29000000,0.24085000,0.28650000,26845333.70000000,1609891199999,7157962.23088700,32793,13674680.00000000,3650273.45044100,0
1609891200000,0.28650000,0.30630000,0.26895000,0.29645000,26175109.00000000,1609977599999,7513331.89258000,35241,14200128.30000000,4087349.58730400,0
1609977600000,0.29679000,0.73735000,0.29373000,0.41644000,144552864.60000000,1610063999999,59146711.50155400,180162,75866323.80000000,31109007.62595000,0
1610064000000,0.41843000,0.45400000,0.35221000,0.38349000,82587763.20000000,1610150399999,32588465.82289500,116710,37801583.50000000,14991909.45801500,0
1610150400000,0.38350000,0.48500000,0.37120000,0.45532000,41081568.00000000,1610236799999,17732253.21855800,69894,21682758.90000000,9382254.53371500,0
1610236800000,0.45533000,0.49000000,0.38500000,0.41866000,30298264.90000000,1610323199999,13442783.03804400,49615,14586929.40000000,6501971.00607200,0
1610323200000,0.41873000,0.41890000,0.30200000,0.35347000,42716921.80000000,1610409599999,15127547.74918900,51121,19644561.20000000,6951738.60836900,0
1610409600000,0.35258000,0.41801000,0.33180000,0.38667000,33399848.80000000,1610495999999,12764843.38621000,43285,16577936.90000000,6339578.50040300,0
1610496000000,0.38548000,0.47000000,0.36323000,0.45904000,29847997.60000000,1610582399999,12716645.32890900,52362,15695270.60000000,6714428.58335500,0
1610582400000,0.45867000,0.47890000,0.41128000,0.43721000,33161924.50000000,1610668799999,14880079.29492300,52810,16451703.50000000,7397735.87033900,0
1610668800000,0.43822000,0.50000000,0.38838000,0.43563000,39435931.10000000,1610755199999,17721324.78448700,66357,19671844.70000000,8883161.44327800,0
1610755200000,0.43683000,0.55000000,0.42021000,0.47284000,53333191.20000000,1610841599999,26348622.87072900,80843,25651344.80000000,12674836.60070300,0
1610841600000,0.47323000,0.51500000,0.44133000,0.48935000,24509029.00000000,1610927999999,11828289.32538300,47964,11902198.70000000,5764133.46877400,0
1610928000000,0.48937000,0.54437000,0.48700000,0.54437000,17283877.00000000,1611014399999,8953771.57586500,36733,8813322.00000000,4570302.73895000,0
1611014400000,0.54437000,0.64990000,0.54058000,0.57655000,37156745.10000000,1611100799999,22311281.13046000,67582,19044468.00000000,11435277.49719700,0
1611100800000,0.57633000,0.72727000,0.55347000,0.71595000,39909134.50000000,1611187199999,24772665.53461300,82731,20461017.00000000,12787922.72041500,0
1611187200000,0.71590000,0.78800000,0.63101000,0.64681000,53127678.40000000,1611273599999,37206825.27964800,99196,24990276.40000000,17534147.55788200,0
1611273600000,0.64978000,0.84998000,0.58400000,0.79914000,40775890.40000000,1611359999999,30120231.78443300,81880,20441695.60000000,15107902.20143600,0
1611360000000,0.80000000,1.02849000,0.77044000,0.90800000,64983052.70000000,1611446399999,59915973.10528200,153207,33266259.40000000,30652942.26314800,0
1611446400000,0.90815000,1.09578000,0.89201000,1.08801000,39112844.10000000,1611532799999,39313109.77384600,100540,20201351.90000000,20326789.12456100,0
1611532800000,1.08846000,1.10000000,0.90100000,0.93689000,29877206.20000000,1611619199999,30457599.48994900,78939,13133950.20000000,13465594.94921600,0
1611619200000,0.93472000,1.44857000,0.91500000,1.43100000,60345839.80000000,1611705599999,71453124.10445900,157801,31293742.30000000,37050263.02272400,0
1611705600000,1.42908000,1.82150000,1.23405000,1.46861000,136787255.40000000,1611791999999,203249573.75494600,374411,65833260.00000000,98028817.38783300,0
1611792000000,1.46615000,1.87500000,1.38000000,1.64765000,54967993.90000000,1611878399999,90933983.22488400,174107,26844912.20000000,44556316.35861600,0
1611878400000,1.64765000,2.19174000,1.36000000,2.11450000,68120900.60000000,1611964799999,113993923.80182000,202725,34291601.90000000,57810853.71799300,0
