otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00842600,0.00914800,0.00831300,0.00891200,216610749.00000000,1609545599999,1897180.27287400,15175,118562495.00000000,1038211.21539000,0
1609545600000,0.00890600,0.00891700,0.00830000,0.00855700,164838397.00000000,1609631999999,1416607.56854600,10331,88869194.00000000,764502.63210100,0
1609632000000,0.00853500,0.00879700,0.00817200,0.00861000,232716371.00000000,1609718399999,1972803.24114600,14737,101827681.00000000,864341.44828400,0
1609718400000,0.00864200,0.00935000,0.00772100,0.00839700,338340499.00000000,1609804799999,2888107.92300200,24793,137588796.00000000,1176423.36263700,0
1609804800000,0.00839500,0.00861600,0.00785000,0.00849900,259076105.00000000,1609891199999,2157449.15478100,15827,137683147.00000000,1147031.35502500,0
1609891200000,0.00851200,0.00918100,0.00845300,0.00915100,312210178.00000000,1609977599999,2745971.10556800,19311,169521980.00000000,1491761.81622500,0
1609977600000,0.00915300,0.00954400,0.00860000,0.00912900,378844370.00000000,1610063999999,3438238.92281400,25185,183286578.00000000,1667850.96013500,0
1610064000000,0.00916900,0.00928700,0.00828000,0.00878900,218025688.00000000,1610150399999,1911914.91284900,16399,106990638.00000000,940405.25448400,0
1610150400000,0.00880900,0.00990000,0.00869700,0.00952300,412132614.00000000,1610236799999,3872147.44063600,28142,210882490.00000000,1980066.90453500,0
1610236800000,0.00949000,0.00982000,0.00837700,0.00923000,328596089.00000000,1610323199999,3032867.64362300,21622,147441150.00000000,1359383.94538700,0
1610323200000,0.00917800,0.00928200,0.00722600,0.00822400,342730393.00000000,1610409599999,2774518.76252200,20620,161636376.00000000,1305536.69881600,0
1610409600000,0.00821000,0.00871400,0.00780000,0.00810000,147844783.00000000,1610495999999,1221333.92958800,10502,76401699.00000000,631653.73897000,0
1610496000000,0.00807900,0.00870000,0.00776400,0.00864000,126859825.00000000,1610582399999,1052084.92752200,9379,68390341.00000000,567994.60331500,0
1610582400000,0.00864700,0.00883300,0.00840800,0.00878800,133410727.00000000,1610668799999,1155021.90812400,10713,77392697.00000000,670410.72893300,0
1610668800000,0.00879800,0.00919200,0.00815400,0.00881200,192520684.00000000,1610755199999,1671202.35837900,13723,90842206.00000000,789375.98700600,0
1610755200000,0.00879300,0.00950600,0.00872800,0.00903600,275498806.00000000,1610841599999,2532638.13908600,18332,140635537.00000000,1292077.67881300,0
1610841600000,0.00902800,0.01039000,0.00846000,0.00964400,491595081.00000000,1610927999999,4716800.26151700,29888,242620492.00000000,2332909.95191000,0
1610928000000,0.00963200,0.01027000,0.00939200,0.00968300,328295968.00000000,1611014399999,3194958.96130900,22924,162501989.00000000,1585331.37307700,0
1611014400000,0.00971500,0.00974500,0.00923800,0.00939300,225851587.00000000,1611100799999,2159814.41999400,16008,106654449.00000000,1021660.10457600,0
1611100800000,0.00939300,0.01446200,0.00863500,0.01342800,1369559791.00000000,1611187199999,16290720.01430400,55724,735794605.00000000,8795224.89301500,0
1611187200000,0.01342900,0.01388300,0.01008200,0.01048400,1935619385.00000000,1611273599999,23046571.95674100,109227,952347087.00000000,11348126.31040600,0
1611273600000,0.01048500,0.01099900,0.00903200,0.01076100,584575603.00000000,1611359999999,5983470.68844400,37254,275651465.00000000,2832956.72454100,0
1611360000000,0.01078300,0.01090000,0.00972700,0.01049900,303753607.00000000,1611446399999,3144532.14950600,21493,149946735.00000000,1555214.60671600,0
1611446400000,0.01051000,0.01168300,0.01021300,0.01136700,443956832.00000000,1611532799999,4809415.12782000,29901,218690456.00000000,2374003.86474900,0
1611532800000,0.01132200,0.01162500,0.01054600,0.01080000,291924982.00000000,1611619199999,3264533.53479600,23565,146177785.00000000,1636291.84420800,0
1611619200000,0.01080000,0.01094300,0.00981300,0.01053500,272534151.00000000,1611705599999,2813789.49774200,21477,141705137.00000000,1464117.64397200,0
1611705600000,0.01051400,0.01053400,0.00924000,0.00988000,360005556.00000000,1611791999999,3586127.69989700,25969,170156092.00000000,1698775.46106400,0
1611792000000,0.00989200,0.01377700,0.00966100,0.01185600,1614554906.00000000,1611878399999,19392369.33302800,107432,796179114.00000000,9562027.50917100,0
1611878400000,0.01185600,0.01479000,0.01185600,0.01249200,1544039583.00000000,1611964799999,20223973.46754900,110081,781370262.00000000,10243037.94279900,0
1611964800000,0.01254700,0.01350000,0.01160600,0.01204000,707076963.00000000,1612051199999,8805447.75730200,62216,342132789.00000000,4271953.32566700,0
1612051200000,0.01204000,0.01300000,0.01128200,0.01155700,505323830.00000000,1612137599999,6080577.11216700,48429,245399497.00000000,2953501.47348800,0
1612137600000,0.01157300,0.01222900,0.01111400,0.01189400,432164160.00000000,1612223999999,5030820.14458600,39681,212858502.00000000,2481923.92020400,0
1612224000000,0.01187600,0.01341600,0.01183400,0.01281100,413331854.00000000,1612310399999,5218033.90867100,39781,217399511.00000000,2746756.76431900,0
1612310400000,0.01284200,0.01551000,0.01250200,0.01432200,1080749234.00000000,1612396799999,15194571.17774900,83394,542824031.00000000,7636971.75856600,0
1612396800000,0.01434400,0.01990000,0.01419000,0.01674300,2421011924.00000000,1612483199999,42072284.91785200,157686,1220653437.00000000,21195974.90184400,0
1612483200000,0.01673800,0.01859800,0.01624100,0.01728900,1120049756.00000000,1612569599999,19164939.02839200,100944,552431699.00000000,9464700.78253900,0
1612569600000,0.01722700,0.01738300,0.01521400,0.01603800,803022427.00000000,1612655999999,12927175.96075400,78969,396580652.00000000,6391744.59078200,0
1612656000000,0.01603700,0.01849600,0.01450000,0.01734000,2008158265.00000000,1612742399999,33748487.24574200,149315,1051292632.00000000,17743205.06515000,0
1612742400000,0.01736500,0.01945000,0.01624800,0.01800700,892314366.00000000,1612828799999,16025374.19082000,83806,451026592.00000000,8113844.82334800,0
1612828800000,0.01800700,0.02032700,0.01800400,0.01994600,781423000.00000000,1612915199999,15062178.07957900,75513,392990425.00000000,7573337.66259100,0
1612915200000,0.01994600,0.02050000,0.01672300,0.01848400,771766805.00000000,1613001599999,14433515.50141700,76321,366325533.00000000,6869810.71842100,0
1613001600000,0.01848400,0.02260000,0.01803900,0.02166900,822617219.00000000,1613087999999,16626621.29620200,85743,420342328.00000000,8517201.78898000,0
1613088000000,0.02167900,0.02350000,0.02017700,0.02239400,668402919.00000000,1613174399999,14626969.97708800,72823,335222002.00000000,7347379.20013700,0
1613174400000,0.02239600,0.02686900,0.02234000,0.02455800,1112588053.00000000,1613260799999,27337649.16951200,124383,568699117.00000000,13988854.60099600,0
1613260800000,0.02461200,0.02944900,0.02199500,0.02696400,1586482749.00000000,1613347199999,41849006.84624500,137619,773074351.00000000,20393825.73628000,0
1613347200000,0.02695600,0.03097200,0.02270000,0.02629200,1909387574.00000000,1613433599999,52556692.04751700,208539,953788554.00000000,26348889.17111600,0
1613433600000,0.02638300,0.02875100,0.02475000,0.02603000,566739500.00000000,1613519999999,15032919.67773100,69451,287717221.00000000,7653104.40201000,0
1613520000000,0.02603000,0.02713800,0.02350000,0.02593800,618509961.00000000,1613606399999,15777425.48756400,69686,300709052.00000000,7679260.11359200,0
1613606400000,0.02593600,0.02895400,0.02592100,0.02776600,406061264.00000000,1613692799999,11188001.08880800,58296,226172388.00000000,6239529.29011900,0
1613692800000,0.02781000,0.03072000,0.02656000,0.02896200,606456452.00000000,1613779199999,17310814.73251300,76455,322541818.00000000,9221952.44015800,0
1613779200000,0.02897400,0.03110000,0.02456700,0.02716700,654830362.00000000,1613865599999,18874101.73928100,78359,326404759.00000000,9419027.72628500,0
1613865600000,0.02716700,0.02843700,0.02632400,0.02810500,304877193.00000000,1613951999999,8421009.33293700,43104,169578815.00000000,4685589.58396900,0
1613952000000,0.02815800,0.04135100,0.02539500,0.03234400,3909870065.00000000,1614038399999,134059922.78500900,356023,2012370395.00000000,69080432.70920800,0
1614038400000,0.03234500,0.03272000,0.01880000,0.02440000,1783151364.00000000,1614124799999,43717284.09681100,149980,847173005.00000000,20698863.81554200,0
1614124800000,0.02440000,0.03000000,0.02261100,0.02824400,1603500546.00000000,1614211199999,42106114.64606200,146871,807695787.00000000,21181350.91330000,0
1614211200000,0.02823600,0.03231900,0.02608600,0.02656000,1209882038.00000000,1614297599999,36002225.80091200,117534,616190053.00000000,18345452.01987800,0
1614297600000,0.02652400,0.02755500,0.02335900,0.02632500,871894911.00000000,1614383999999,22396885.84040800,76852,438736465.00000000,11263791.70146900,0
1614384000000,0.02629400,0.02949000,0.02560700,0.02795800,658182724.00000000,1614470399999,18042432.94984500,63045,336777470.00000000,9224010.25896000,0
1614470400000,0.02795200,0.03112100,0.02361200,0.02612600,948093789.00000000,1614556799999,25530494.03633500,82745,479223725.00000000,12871068.41684400,0
1614556800000,0.02612700,0.03035700,0.02569600,0.02989900,471304343.00000000,1614643199999,13275608.70805900,56545,240878497.00000000,6790153.06776900,0
1614643200000,0.02989600,0.03090000,0.02681700,0.02899400,435570972.00000000,1614729599999,12462247.87964000,60163,231374888.00000000,6623442.14534900,0
1614729600000,0.02899600,0.03293800,0.02804400,0.03233100,530001711.00000000,1614815999999,16521503.89732100,72904,288847431.00000000,9013463.94745000,0
1614816000000,0.03233000,0.03744500,0.03136600,0.03520300,846448072.00000000,1614902399999,29142934.86614900,112484,450508647.00000000,15507632.01140900,0
1614902400000,0.03520400,0.03525800,0.03206900,0.03374800,419923830.00000000,1614988799999,14057545.32362300,59092,218860375.00000000,7332390.91131800,0
1614988800000,0.03369100,0.03472500,0.03066400,0.03292200,271456063.00000000,1615075199999,8768306.65776500,38710,142847598.00000000,4619318.31373600,0
1615075200000,0.03292200,0.03740000,0.03176800,0.03531500,601208033.00000000,1615161599999,20639494.90159100,75530,307440011.00000000,10566194.85249500,0
1615161600000,0.03531400,0.03950000,0.03355000,0.03884700,640894860.00000000,1615247999999,23634602.32438400,107623,333491560.00000000,12309197.18674100,0
1615248000000,0.03894500,0.04135900,0.03807900,0.04086400,547497687.00000000,1615334399999,21659095.88529000,90342,311661420.00000000,12339850.45567800,0
1615334400000,0.04084800,0.04736900,0.03629200,0.04154000,890947695.00000000,1615420799999,37810204.24656900,120265,357141880.00000000,15034772.22001000,0
1615420800000,0.04156200,0.04679700,0.04015700,0.04473000,639894660.00000000,1615507199999,27804416.75567900,105263,335224668.00000000,14584916.32904200,0
1615507200000,0.04473400,0.06740000,0.04473200,0.06228800,2729351594.00000000,1615593599999,159081764.00776200,404335,1392320813.00000000,81172187.70796000,0
1615593600000,0.06211700,0.08732500,0.06207000,0.06617400,3309953476.00000000,1615679999999,245929961.73246800,551905,1682901262.00000000,125102598.63288800,0
1615680000000,0.06617500,0.07661300,0.05906000,0.06803700,1669124531.00000000,1615766399999,110803227.13735400,291460,854369951.00000000,56717290.75650200,0
1615766400000,0.06803700,0.07729800,0.06110500,0.06884100,1309933445.00000000,1615852799999,89263233.89230600,240362,664837578.00000000,45353010.21658700,0
1615852800000,0.06885400,0.08045800,0.06230300,0.07387500,1297575532.00000000,1615939199999,92691037.89226400,252943,671700029.00000000,48015565.38317300,0
1615939200000,0.07387700,0.07402700,0.06160100,0.06881300,885152965.00000000,1616025599999,58905565.47095900,173285,447664928.00000000,29803975.71081700,0
1616025600000,0.06876900,0.07050000,0.06465400,0.06618100,520579917.00000000,1616111999999,34656469.74532900,102784,264421509.00000000,17610277.21763900,0
1616112000000,0.06618800,0.07573700,0.06400000,0.07425300,734648232.00000000,1616198399999,51863762.79487000,150563,368927451.00000000,26065346.14703900,0
1616198400000,0.07424600,0.08501000,0.06932000,0.06980900,1114001050.00000000,1616284799999,87838304.57433800,222773,523945523.00000000,41354435.47101100,0
1616284800000,0.06981400,0.07933000,0.06816100,0.07479800,797621295.00000000,1616371199999,58432140.41555900,157445,401478638.00000000,29466343.06558100,0
1616371200000,0.07482700,0.07900000,0.06800000,0.06961800,612081680.00000000,1616457599999,45500647.58976600,131965,294327222.00000000,21889361.10527800,0
1616457600000,0.06955500,0.12000000,0.06842100,0.10192900,3630097172.00000000,1616543999999,356759741.23534300,691588,1864002385.00000000,183251230.07084200,0
1616544000000,0.10184600,0.10568900,0.08078100,0.08507300,1874434454.00000000,1616630399999,182110622.84552700,398940,931394502.00000000,90579373.83986800,0
1616630400000,0.08506300,0.12695000,0.07950000,0.11777900,3296699220.00000000,1616716799999,335217251.56674000,630214,1704278876.00000000,173347237.14993600,0
1616716800000,0.11762000,0.15178900,0.11213000,0.13310000,3314685783.00000000,1616803199999,423082892.15524700,741252,1679362756.00000000,214531673.07916900,0
1616803200000,0.13314300,0.19698000,0.12823900,0.19070300,2773496952.00000000,1616889599999,443306281.38440200,785734,1405419747.00000000,224904175.57638800,0
1616889600000,0.19075500,0.21661700,0.16211100,0.16641000,2743815202.00000000,1616975999999,513060841.91916600,816373,1372841499.00000000,257234759.58466500,0
1616976000000,0.16640200,0.18797500,0.15768500,0.16498000,1318927765.00000000,1617062399999,224911643.03328100,407474,660101058.00000000,112710076.88545400,0
1617062400000,0.16489800,0.17410000,0.16091800,0.16515300,812883990.00000000,1617148799999,135800930.56901100,264158,403924829.00000000,67511494.05072000,0
1617148800000,0.16515200,0.16515200,0.14750000,0.15752000,603818791.00000000,1617235199999,94746114.51447800,207073,291499434.00000000,45729655.24318700,0
1617235200000,0.15750900,0.17248900,0.15420400,0.16170100,665290922.00000000,1617321599999,107506246.18420500,220157,329291475.00000000,53233050.28877200,0
1617321600000,0.16160400,0.18639100,0.15985700,0.16914100,845390928.00000000,1617407999999,147203477.15688000,299572,429446128.00000000,74726416.42793300,0
1617408000000,0.16909700,0.17611200,0.15210000,0.15235700,448041927.00000000,1617494399999,74723277.50635800,164522,214924005.00000000,35922183.16587800,0
1617494400000,0.15248300,0.16337200,0.14919700,0.16129000,377213943.00000000,1617580799999,59835795.17562900,125642,188640515.00000000,29958776.98522600,0
1617580800000,0.16131900,0.16579600,0.15178500,0.15680700,460255864.00000000,1617667199999,73082000.79625800,155492,210338735.00000000,33431594.08307600,0
1617667200000,0.15680700,0.15743100,0.13787200,0.14930500,467778453.00000000,1617753599999,69754709.99922700,168478,217715193.00000000,32425458.86917200,0
1617753600000,0.14952100,0.15067200,0.11901600,0.13691800,674818675.00000000,1617839999999,90942322.28518700,214812,328651898.00000000,44262606.73374000,0
1617840000000,0.13687800,0.15624900,0.13550600,0.15438200,434356649.00000000,1617926399999,64999544.97796700,156966,217513329.00000000,32557074.65287000,0
1617926400000,0.15442400,0.16940100,0.14669100,0.15733600,585696218.00000000,1618012799999,93282210.65197700,203311,295250381.00000000,47033239.67892800,0
1618012800000,0.15753100,0.16126800,0.14490700,0.14954000,322901191.00000000,1618099199999,49509406.43663300,115996,166143720.00000000,25478821.94745600,0
1618099200000,0.14964200,0.15026100,0.14231600,0.14639800,220596181.00000000,1618185599999,32187272.60248200,78452,107899687.00000000,15744983.74103100,0
1618185600000,0.14650500,0.16500000,0.14603900,0.15925500,463764023.00000000,1618271999999,72197030.37091300,180297,243391176.00000000,37894074.65429000,0
