otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,3.05630000,3.25030000,3.04680000,3.22050000,343879.24000000,1609545599999,1092973.39886900,11055,172544.08000000,547646.70383500,0
1609545600000,3.21990000,3.22530000,3.00030000,3.10850000,194395.43000000,1609631999999,607870.88538600,7614,113048.09000000,353446.81146800,0
1609632000000,3.10850000,3.21030000,2.96000000,3.05970000,356059.18000000,1609718399999,1104047.24434800,9408,181834.16000000,565563.48540600,0
1609718400000,3.05970000,3.43380000,3.05750000,3.33950000,577711.28000000,1609804799999,1872176.38361300,13021,331099.17000000,1074551.35501400,0
1609804800000,3.33880000,3.42230000,3.17890000,3.30040000,393143.89000000,1609891199999,1296175.15285400,10469,205329.00000000,676636.16880100,0
1609891200000,3.30340000,3.60000000,3.28930000,3.47190000,426940.68000000,1609977599999,1465272.69391100,11898,236188.90000000,811672.19394200,0
1609977600000,3.47190000,3.83770000,3.30000000,3.47070000,741165.13000000,1610063999999,2658152.47219700,18094,384003.60000000,1375158.46083700,0
1610064000000,3.47110000,3.59670000,3.09910000,3.29710000,412260.32000000,1610150399999,1384775.45284400,11844,222472.85000000,747099.46328000,0
1610150400000,3.29710000,3.68240000,3.19990000,3.48630000,770208.35000000,1610236799999,2622395.15497000,16888,401361.26000000,1368109.01052000,0
1610236800000,3.48630000,3.94340000,3.38010000,3.81960000,540460.15000000,1610323199999,1983422.33546100,15259,300795.19000000,1103733.50726600,0
1610323200000,3.82600000,3.84610000,3.02590000,3.34200000,516260.24000000,1610409599999,1714072.30225500,12741,236057.30000000,787839.18316600,0
1610409600000,3.34200000,3.36420000,3.02510000,3.16710000,438162.58000000,1610495999999,1412697.30241500,10456,240062.79000000,774397.98242200,0
1610496000000,3.15560000,3.35000000,3.04370000,3.28750000,309284.33000000,1610582399999,981598.72972600,8685,179952.18000000,571903.18252100,0
1610582400000,3.29070000,3.50000000,3.17470000,3.27990000,378650.66000000,1610668799999,1261963.70928600,10605,213034.77000000,710104.60937500,0
1610668800000,3.27990000,3.57610000,3.10000000,3.34930000,822544.44000000,1610755199999,2735915.60410800,18282,419643.07000000,1397283.07782900,0
1610755200000,3.34580000,3.65000000,3.34310000,3.49840000,609461.76000000,1610841599999,2141517.13635500,13362,306097.73000000,1075219.20123700,0
1610841600000,3.50270000,5.28940000,3.42410000,4.86160000,3878328.75000000,1610927999999,17929618.41576500,71505,2004006.34000000,9295055.49553400,0
1610928000000,4.85690000,5.03090000,4.15150000,4.27030000,1463948.48000000,1611014399999,6618155.23281800,35259,669918.02000000,3033508.17297400,0
1611014400000,4.27030000,4.41450000,4.00000000,4.00050000,725876.13000000,1611100799999,3076204.37058000,18386,324279.66000000,1378427.91374100,0
1611100800000,4.00050000,4.17530000,3.68840000,4.01160000,622489.52000000,1611187199999,2441030.18130000,14240,306880.77000000,1202980.29729400,0
1611187200000,4.02310000,4.09770000,3.41000000,3.43330000,739649.19000000,1611273599999,2701239.12504700,15599,338583.06000000,1235024.92705500,0
1611273600000,3.42060000,3.48640000,3.02050000,3.35560000,688217.84000000,1611359999999,2280744.86602100,14050,345315.90000000,1146337.81940200,0
1611360000000,3.36550000,3.88910000,3.26510000,3.71320000,905639.91000000,1611446399999,3275768.92676800,19153,492781.27000000,1785814.93258900,0
1611446400000,3.70460000,4.41470000,3.67900000,4.21940000,1490122.99000000,1611532799999,6174770.54492700,33123,799247.51000000,3310234.01265800,0
1611532800000,4.22720000,4.39330000,3.86000000,3.87030000,553943.62000000,1611619199999,2267928.60075800,15371,255372.80000000,1047688.72754700,0
1611619200000,3.88480000,4.20700000,3.57600000,3.99190000,433267.42000000,1611705599999,1659993.63021900,11525,216323.49000000,832037.56877100,0
1611705600000,4.01490000,4.01490000,3.42450000,3.48400000,519028.66000000,1611791999999,1905363.11906800,13326,239156.03000000,880714.71933000,0
1611792000000,3.49750000,4.20000000,3.45770000,3.83890000,632706.22000000,1611878399999,2407620.31854100,15854,330363.20000000,1254972.69049700,0
1611878400000,3.83890000,3.99050000,3.55940000,3.76120000,486516.82000000,1611964799999,1819167.59232100,12324,228123.33000000,852784.47974400,0
1611964800000,3.75460000,4.12490000,3.72080000,3.95210000,559365.75000000,1612051199999,2190131.70276500,16315,272797.77000000,1068964.95560000,0
1612051200000,3.95220000,4.39000000,3.85680000,4.16600000,765942.09000000,1612137599999,3153495.15009800,22564,379237.42000000,1566660.39169800,0
1612137600000,4.17890000,4.51770000,4.05320000,4.26410000,628250.21000000,1612223999999,2699914.23616700,19647,286396.96000000,1233979.41820600,0
1612224000000,4.26550000,4.30090000,4.08630000,4.15780000,360470.01000000,1612310399999,1499886.93097900,12138,170488.38000000,709779.91017500,0
1612310400000,4.15780000,4.31510000,4.02020000,4.24610000,959892.04000000,1612396799999,4014194.22537100,22944,452957.65000000,1897671.03921600,0
1612396800000,4.24250000,4.81150000,4.16250000,4.50000000,1105745.06000000,1612483199999,4924889.60175800,27249,542491.85000000,2418464.80362700,0
1612483200000,4.50900000,6.69980000,4.50000000,5.94540000,3471930.90000000,1612569599999,19863679.19928200,87640,1805699.00000000,10321723.46296400,0
1612569600000,5.92620000,6.08410000,5.10200000,5.47810000,1576173.79000000,1612655999999,8702516.18862100,40498,806649.41000000,4460376.19080800,0
1612656000000,5.46670000,5.60350000,4.64130000,5.19120000,1084859.11000000,1612742399999,5494800.65025400,28907,530031.69000000,2689125.49975900,0
1612742400000,5.19150000,5.78390000,5.05160000,5.56880000,1008822.27000000,1612828799999,5486233.48995600,33724,496994.43000000,2705431.20205700,0
1612828800000,5.56870000,5.85500000,5.33660000,5.80090000,1049805.95000000,1612915199999,5805323.11038000,30466,496775.36000000,2752589.91942600,0
1612915200000,5.78520000,5.97770000,5.00980000,5.48460000,1057189.52000000,1613001599999,5889971.70117200,36564,492946.15000000,2745053.98956500,0
1613001600000,5.49560000,6.58380000,5.44650000,6.23290000,1374643.94000000,1613087999999,8368704.63479800,44346,701485.07000000,4270016.88701600,0
1613088000000,6.23690000,7.04950000,6.20390000,6.90430000,1504106.36000000,1613174399999,10110158.76484300,47950,717265.24000000,4822716.54090600,0
1613174400000,6.91530000,7.34960000,6.18830000,7.10000000,1726067.66000000,1613260799999,11883529.26445000,57757,867150.33000000,5977062.01247000,0
1613260800000,7.11330000,7.49000000,6.04780000,6.53600000,1386465.37000000,1613347199999,9447230.18005700,45724,659935.03000000,4511322.65313400,0
1613347200000,6.54300000,6.55210000,5.09690000,5.93780000,1602611.47000000,1613433599999,9519918.08468100,45988,730588.00000000,4341666.81820500,0
1613433600000,5.92790000,6.21460000,5.41640000,5.74280000,1052736.00000000,1613519999999,6179462.56124100,32938,508888.74000000,2992327.40102600,0
1613520000000,5.74720000,6.14940000,5.33020000,6.13540000,770453.92000000,1613606399999,4449882.90057600,29425,388552.35000000,2247078.15803700,0
