otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.07697000,0.09618000,0.06587000,0.08390000,39811232.90000000,1610323199999,3239489.92657600,38868,20045275.40000000,1630481.95143300,0
1610323200000,0.08421000,0.09200000,0.06208000,0.08448000,31603132.60000000,1610927999999,2514833.48863000,29908,15806195.70000000,1263740.65313800,0
1610928000000,0.08437000,0.09180000,0.07245000,0.08338000,35492051.20000000,1611532799999,2977495.68046600,35336,16387555.70000000,1378608.19749600,0
1611532800000,0.08338000,0.09600000,0.07056000,0.07900000,38823008.90000000,1612137599999,3086666.53564100,30202,20034769.30000000,1598075.01416200,0
1612137600000,0.07919000,0.11520000,0.07625000,0.09650000,71974254.20000000,1612742399999,6811564.29180500,58848,35332321.10000000,3361313.23529300,0
1612742400000,0.09650000,0.14990000,0.09316000,0.13424000,100212679.80000000,1613347199999,12126991.85232400,90799,48791223.00000000,5894057.91903000,0
1613347200000,0.13423000,0.23699000,0.13300000,0.20722000,297369576.20000000,1613951999999,55517655.69588800,253842,154995018.80000000,29031711.54341700,0
1613952000000,0.20556000,0.21000000,0.12131000,0.15629000,68296846.90000000,1614556799999,10831486.67158300,75580,32676398.40000000,5207589.04273500,0
1614556800000,0.15675000,0.21631000,0.15658000,0.20595000,72135151.40000000,1615161599999,13383145.94212800,89241,37138849.10000000,6909537.53767000,0
1615161600000,0.20666000,0.28410000,0.19196000,0.25249000,66243891.30000000,1615766399999,15342340.08607500,109131,32155343.40000000,7454439.93557400,0
1615766400000,0.25177000,0.31500000,0.22591000,0.27789000,92930323.50000000,1616371199999,25099396.67402500,138270,46614660.60000000,12639707.11089800,0
1616371200000,0.27756000,0.32554000,0.23241000,0.30953000,63719740.20000000,1616975999999,17997986.80086100,120980,32727717.80000000,9258444.95983100,0
1616976000000,0.30963000,0.43838000,0.29601000,0.41750000,136779931.40000000,1617580799999,52337929.31186400,276180,70336881.30000000,26938433.58590500,0
1617580800000,0.41596000,0.79000000,0.26185000,0.51795000,704716619.30000000,1618185599999,407098056.86488600,1024142,360026740.00000000,208788231.83307200,0
1618185600000,0.51576000,0.55750000,0.33835000,0.38242000,129151173.60000000,1618790399999,59803786.61378500,244704,66323610.30000000,30807362.52301000,0
1618790400000,0.38250000,0.50956000,0.24400000,0.30793000,196084713.70000000,1619395199999,74268990.20266200,294849,101863773.80000000,38711628.69882000,0
1619395200000,0.30787000,0.44180000,0.29458000,0.39475000,72178927.10000000,1619999999999,27264934.30534400,194078,37932148.90000000,14300920.98344300,0
1620000000000,0.39475000,0.63450000,0.33700000,0.42473000,254260210.80000000,1620604799999,116673272.09183600,470200,132904956.30000000,60831001.69212600,0
1620604800000,0.42473000,0.42545000,0.29200000,0.31507000,67683341.00000000,1621209599999,23715319.52327300,160193,32878144.30000000,11537445.59681200,0
1621209600000,0.31579000,0.37001000,0.15188000,0.21796000,206725666.30000000,1621814399999,55344436.21686100,261835,106576635.90000000,28611018.92401800,0
1621814400000,0.21948000,0.26573000,0.19110000,0.21467000,71822118.20000000,1622419199999,16101086.29930600,96007,37328978.80000000,8374268.15900700,0
1622419200000,0.21385000,0.24298000,0.20198000,0.22045000,33374714.00000000,1623023999999,7393799.49893200,54692,17372241.40000000,3849698.18177700,0
1623024000000,0.22039000,0.23856000,0.15710000,0.17600000,82339589.00000000,1623628799999,15970425.06771300,79237,38991839.80000000,7609609.97568900,0
1623628800000,0.17631000,0.18679000,0.13419000,0.15042000,50415734.30000000,1624233599999,8234892.00476800,48924,24586714.90000000,4067548.04555400,0
1624233600000,0.15042000,0.16318000,0.08713000,0.10989000,68973131.20000000,1624838399999,7809551.00947000,51184,33692810.10000000,3815832.22947100,0
