otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.02386000,0.02483000,0.02282000,0.02336000,183080087.30000000,1609545599999,4383814.55678500,21848,93091672.00000000,2230522.16609900,0
1609545600000,0.02336000,0.02336000,0.02070000,0.02138000,195373714.50000000,1609631999999,4254426.05944500,23450,98723864.90000000,2150858.91154500,0
1609632000000,0.02138000,0.02250000,0.02087000,0.02197000,176195165.00000000,1609718399999,3807487.50398700,17237,94232687.80000000,2038341.44010600,0
1609718400000,0.02197000,0.02390000,0.01913000,0.02186000,198825794.80000000,1609804799999,4336266.68623400,22132,98585761.80000000,2153110.31623300,0
1609804800000,0.02189000,0.02333000,0.02090000,0.02211000,188194660.00000000,1609891199999,4178654.63461500,17350,101306136.40000000,2249521.08801100,0
1609891200000,0.02211000,0.02420000,0.02155000,0.02344000,193820640.00000000,1609977599999,4467194.66132500,20714,99548282.70000000,2294147.36650700,0
1609977600000,0.02345000,0.02542000,0.02242000,0.02293000,193872960.40000000,1610063999999,4659994.54768200,17609,103386438.20000000,2484910.90619100,0
1610064000000,0.02295000,0.02333000,0.02106000,0.02265000,179478911.50000000,1610150399999,4031215.23990200,13569,92454301.30000000,2079344.65253900,0
1610150400000,0.02266000,0.02508000,0.02210000,0.02442000,192051295.70000000,1610236799999,4615774.49180800,15924,101271142.60000000,2434937.65482500,0
1610236800000,0.02442000,0.02600000,0.02258000,0.02398000,198658802.10000000,1610323199999,4869587.16886000,15997,99003519.80000000,2428630.03642000,0
1610323200000,0.02401000,0.02404000,0.01900000,0.02069000,120773926.80000000,1610409599999,2547082.40038400,13088,60210571.30000000,1271860.39282100,0
1610409600000,0.02071000,0.02194000,0.01988000,0.02065000,107536909.80000000,1610495999999,2256351.97846100,10179,57943350.00000000,1215864.79877000,0
1610496000000,0.02061000,0.02179000,0.02006000,0.02142000,75023847.70000000,1610582399999,1570017.24175000,8684,44333486.60000000,928047.17801200,0
1610582400000,0.02142000,0.02216000,0.02100000,0.02153000,53878983.20000000,1610668799999,1166737.90541700,9126,28442362.70000000,616038.81683900,0
1610668800000,0.02154000,0.02269000,0.02060000,0.02204000,70075843.20000000,1610755199999,1521752.45108300,12596,35453891.50000000,771110.92192000,0
1610755200000,0.02204000,0.02498000,0.02203000,0.02416000,108589853.30000000,1610841599999,2589923.66044000,18694,54774680.80000000,1305726.39611800,0
1610841600000,0.02410000,0.02499000,0.02222000,0.02383000,76645454.60000000,1610927999999,1816529.16597200,13245,37227620.10000000,882941.04541800,0
1610928000000,0.02383000,0.02706000,0.02375000,0.02649000,104081474.50000000,1611014399999,2679556.07266400,18217,57278592.10000000,1472657.35853900,0
1611014400000,0.02643000,0.02830000,0.02557000,0.02577000,143374051.70000000,1611100799999,3846350.78330000,22188,77313026.50000000,2080417.97515500,0
1611100800000,0.02575000,0.02710000,0.02364000,0.02614000,89041292.10000000,1611187199999,2246627.90534800,14970,45288057.50000000,1144219.21521200,0
1611187200000,0.02615000,0.02686000,0.02388000,0.02409000,104128737.40000000,1611273599999,2660732.28138600,16890,51935061.40000000,1327553.41409300,0
1611273600000,0.02410000,0.02564000,0.02220000,0.02500000,55956503.00000000,1611359999999,1359837.73531100,11604,28457184.20000000,694255.34725600,0
1611360000000,0.02498000,0.02734000,0.02377000,0.02670000,116812487.90000000,1611446399999,3010396.73188400,21392,55607329.40000000,1434115.48529600,0
1611446400000,0.02667000,0.02866000,0.02523000,0.02651000,124551081.20000000,1611532799999,3378912.30946500,21705,61071416.00000000,1658018.24706800,0
1611532800000,0.02651000,0.02724000,0.02500000,0.02536000,74143886.00000000,1611619199999,1951196.82425100,14122,34167115.40000000,900037.87542800,0
1611619200000,0.02528000,0.02646000,0.02461000,0.02567000,49994881.40000000,1611705599999,1272834.53090900,10206,24855255.80000000,633775.40856600,0
1611705600000,0.02564000,0.02589000,0.02235000,0.02331000,63828777.60000000,1611791999999,1528278.98862200,14494,30233263.40000000,724064.46072500,0
1611792000000,0.02329000,0.02600000,0.02312000,0.02509000,62952116.80000000,1611878399999,1539287.40293000,13894,31537956.70000000,772519.13248300,0
1611878400000,0.02509000,0.03148000,0.02470000,0.02709000,221932653.10000000,1611964799999,6145358.30096300,34409,121484873.40000000,3380463.11912900,0
1611964800000,0.02709000,0.02875000,0.02588000,0.02658000,80963095.60000000,1612051199999,2172173.67980700,17784,38685116.20000000,1038310.57747100,0
1612051200000,0.02661000,0.02700000,0.02482000,0.02543000,67367111.50000000,1612137599999,1743411.42848600,14497,30658785.70000000,793167.28430200,0
1612137600000,0.02541000,0.02630000,0.02492000,0.02588000,61680426.20000000,1612223999999,1574807.92319900,12984,30827682.50000000,788174.80554500,0
1612224000000,0.02588000,0.02837000,0.02548000,0.02767000,70585492.80000000,1612310399999,1906228.02809500,14809,34990097.10000000,945447.22460300,0
1612310400000,0.02767000,0.03050000,0.02756000,0.02834000,165697102.90000000,1612396799999,4810271.37361300,24860,93597924.20000000,2713442.54345600,0
1612396800000,0.02835000,0.03037000,0.02723000,0.02943000,154006651.30000000,1612483199999,4453091.65659000,26459,86248475.40000000,2498544.95492800,0
1612483200000,0.02947000,0.03215000,0.02938000,0.03179000,198460841.60000000,1612569599999,6145503.58618900,35339,99236168.70000000,3071048.71468100,0
1612569600000,0.03175000,0.03214000,0.02832000,0.02939000,121125501.10000000,1612655999999,3595668.17133700,23117,59171748.50000000,1759510.23479500,0
1612656000000,0.02937000,0.02960000,0.02731000,0.02890000,87087491.30000000,1612742399999,2492811.12142900,17951,41776910.10000000,1196985.89864900,0
1612742400000,0.02895000,0.03119000,0.02861000,0.03050000,138006522.50000000,1612828799999,4158272.75106800,24693,70850562.60000000,2135746.85573300,0
1612828800000,0.03059000,0.03488000,0.03000000,0.03310000,167534219.40000000,1612915199999,5454452.59689800,31867,82213099.40000000,2675421.83674900,0
1612915200000,0.03311000,0.03560000,0.03012000,0.03491000,165662069.30000000,1613001599999,5495210.10926500,36656,83590065.90000000,2777033.03269200,0
1613001600000,0.03493000,0.03910000,0.03360000,0.03848000,157423706.30000000,1613087999999,5867396.20155100,39038,76013981.00000000,2837300.17467300,0
1613088000000,0.03843000,0.04449000,0.03717000,0.04334000,181691739.80000000,1613174399999,7541571.77556000,36968,94860532.60000000,3946354.79860800,0
1613174400000,0.04337000,0.04578000,0.03990000,0.04445000,164257257.30000000,1613260799999,7154248.60923800,38590,92727697.40000000,4048915.81265400,0
1613260800000,0.04445000,0.04477000,0.04012000,0.04080000,108145290.10000000,1613347199999,4609230.66381400,27971,54143831.00000000,2314151.25433800,0
1613347200000,0.04088000,0.04443000,0.03471000,0.03945000,144741787.30000000,1613433599999,5767738.00176200,37647,74156358.70000000,2966929.42278400,0
1613433600000,0.03948000,0.04358000,0.03768000,0.03918000,86036269.00000000,1613519999999,3486962.90525400,26180,44463380.80000000,1802157.81201400,0
1613520000000,0.03916000,0.04200000,0.03667000,0.04016000,72165542.20000000,1613606399999,2860481.76739400,23081,36235349.70000000,1439782.93330300,0
1613606400000,0.04020000,0.04576000,0.04001000,0.04403000,92997820.00000000,1613692799999,4027087.15777500,29065,50398705.90000000,2183117.51754100,0
1613692800000,0.04403000,0.04868000,0.04172000,0.04776000,121066194.50000000,1613779199999,5465824.71950200,35141,61434036.30000000,2780100.72570800,0
1613779200000,0.04776000,0.04950000,0.04166000,0.04380000,92055684.70000000,1613865599999,4280413.34670700,30350,44264867.30000000,2062328.13955800,0
1613865600000,0.04373000,0.04621000,0.04232000,0.04360000,64067708.60000000,1613951999999,2856040.55686000,22031,32630254.50000000,1458999.07430600,0
1613952000000,0.04359000,0.04440000,0.03450000,0.03987000,85648666.80000000,1614038399999,3421069.17750300,25196,41168520.50000000,1645501.09623000,0
1614038400000,0.03994000,0.04003000,0.02572000,0.03111000,119179671.80000000,1614124799999,3739405.17958500,25502,54468170.60000000,1703724.18437600,0
1614124800000,0.03107000,0.03462000,0.02919000,0.03259000,51980555.70000000,1614211199999,1701205.17568200,15838,24290206.00000000,794388.87113100,0
1614211200000,0.03258000,0.03785000,0.03184000,0.03307000,73975621.40000000,1614297599999,2596941.09849000,17929,38290193.60000000,1342667.23646900,0
1614297600000,0.03308000,0.03560000,0.03029000,0.03199000,65151446.90000000,1614383999999,2125254.53532900,17167,32845075.60000000,1074736.68623600,0
1614384000000,0.03203000,0.04200000,0.03203000,0.03662000,154415320.10000000,1614470399999,5817354.71739000,34757,77131004.10000000,2898294.96338700,0
1614470400000,0.03661000,0.03689000,0.03095000,0.03345000,86925967.30000000,1614556799999,2919977.77591200,19477,45735785.70000000,1541878.81321000,0
1614556800000,0.03356000,0.03673000,0.03323000,0.03525000,45271929.60000000,1614643199999,1588476.23932500,13400,20998081.90000000,738478.61103400,0
1614643200000,0.03531000,0.03631000,0.03382000,0.03536000,47147610.70000000,1614729599999,1650397.00361100,12667,25944290.50000000,908381.50085300,0
1614729600000,0.03536000,0.04000000,0.03523000,0.03861000,58031229.70000000,1614815999999,2177243.41154700,16933,31244516.90000000,1175153.84766700,0
1614816000000,0.03852000,0.05050000,0.03800000,0.04723000,345571065.40000000,1614902399999,15626588.99315300,67883,191524114.70000000,8691036.41148200,0
1614902400000,0.04722000,0.05324000,0.04330000,0.04444000,419883403.60000000,1614988799999,20390648.97499600,80757,221264053.50000000,10757141.89484400,0
1614988800000,0.04445000,0.04573000,0.04123000,0.04272000,136812029.70000000,1615075199999,5951868.35878500,32575,70075064.30000000,3056078.01293900,0
1615075200000,0.04269000,0.04619000,0.04214000,0.04525000,85380110.90000000,1615161599999,3752719.45173200,24619,41794252.00000000,1840049.97829800,0
1615161600000,0.04530000,0.05248000,0.04519000,0.05224000,217484722.20000000,1615247999999,10797339.67288800,58831,115319074.20000000,5736092.22999000,0
1615248000000,0.05224000,0.06820000,0.05072000,0.05900000,394389520.20000000,1615334399999,23676576.40205500,103831,206274594.40000000,12382952.33516600,0
1615334400000,0.05906000,0.07637000,0.05482000,0.07090000,538135550.00000000,1615420799999,35899188.27189500,124591,278534040.50000000,18633315.97405700,0
1615420800000,0.07108000,0.08476000,0.06956000,0.07125000,606960471.60000000,1615507199999,46346099.09701600,148135,313016436.90000000,23951601.46872800,0
1615507200000,0.07130000,0.07529000,0.06313000,0.06548000,254231647.70000000,1615593599999,17811448.55136900,76915,127288018.90000000,8932591.77281700,0
1615593600000,0.06533000,0.09767000,0.06230000,0.08400000,621153737.30000000,1615679999999,51990422.11673300,146691,317050000.60000000,26552600.75123900,0
1615680000000,0.08399000,0.09650000,0.07861000,0.08102000,402103761.40000000,1615766399999,34987218.02100500,120529,208052762.00000000,18151965.99393600,0
1615766400000,0.08104000,0.09071000,0.07300000,0.08333000,277398214.70000000,1615852799999,23208364.46639200,103720,141007909.20000000,11807982.02882600,0
