otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.02197000,0.02600000,0.01913000,0.02398000,1344903064.50000000,1610323199999,31158687.43042600,123295,695555582.80000000,16124602.02072600,0
1610323200000,0.02401000,0.02499000,0.01900000,0.02383000,612524818.60000000,1610927999999,13468394.80350700,85612,318385963.00000000,6991589.54989800,0
1610928000000,0.02383000,0.02866000,0.02220000,0.02651000,737945627.80000000,1611532799999,19182413.81935800,126966,376950667.10000000,9811237.04261900,0
1611532800000,0.02651000,0.03148000,0.02235000,0.02543000,621182522.00000000,1612137599999,16352541.15596800,119406,311622366.60000000,8242337.85810400,0
1612137600000,0.02541000,0.03215000,0.02492000,0.02890000,858643507.20000000,1612742399999,24978381.86045200,155519,445849006.50000000,12973154.37665700,0
1612742400000,0.02895000,0.04578000,0.02861000,0.04080000,1082720804.70000000,1613347199999,40280382.70739400,235783,554399769.90000000,20734923.76544700,0
1613347200000,0.04088000,0.04950000,0.03471000,0.04360000,673131006.30000000,1613951999999,28744548.45525400,203495,343582953.20000000,14693415.62521400,0
1613952000000,0.04359000,0.04440000,0.02572000,0.03345000,637277250.00000000,1614556799999,22321207.65989100,155866,313928956.10000000,11001191.85103900,0
1614556800000,0.03356000,0.05324000,0.03323000,0.04525000,1138097379.60000000,1615161599999,51137942.43314900,248834,602844373.80000000,27166320.25711700,0
1615161600000,0.04530000,0.09767000,0.04519000,0.08102000,3034459410.40000000,1615766399999,221508292.13296100,779523,1565534927.50000000,114341120.52593300,0
1615766400000,0.08104000,0.09071000,0.07300000,0.07862000,1010166073.90000000,1616371199999,83730687.70142300,420661,502320656.10000000,41678820.27017500,0
1616371200000,0.07860000,0.11637000,0.07557000,0.09757000,1781466752.30000000,1616975999999,166478680.82542300,551782,907434594.80000000,84980141.68015800,0
1616976000000,0.09771000,0.13200000,0.09518000,0.12070000,1366892442.30000000,1617580799999,158049630.90766400,600913,701834985.40000000,81279779.39621200,0
1617580800000,0.12085000,0.14484000,0.09735000,0.12514000,1345518089.00000000,1618185599999,168434323.46808200,571805,689126446.30000000,86425100.22793000,0
1618185600000,0.12514000,0.13495000,0.09400000,0.10275000,943204788.10000000,1618790399999,108244855.04351200,423733,475543876.10000000,54589337.65928500,0
1618790400000,0.10280000,0.12299000,0.06922000,0.07500000,765770107.90000000,1619395199999,72197719.67251100,297306,388116949.70000000,36578116.80549400,0
1619395200000,0.07499000,0.12259000,0.07490000,0.10979000,1018288583.20000000,1619999999999,104428838.69625100,457807,517033526.00000000,53181617.02980800,0
1620000000000,0.10980000,0.12867000,0.09876000,0.10615000,784369739.00000000,1620604799999,87808916.19893100,447949,396094364.20000000,44419300.57896400,0
1620604800000,0.10604000,0.10950000,0.07282000,0.07968000,536918714.20000000,1621209599999,47602053.02106000,257405,268983535.90000000,23864992.82367600,0
1621209600000,0.07948000,0.07974000,0.02651000,0.03320000,667011790.20000000,1621814399999,33497272.99859500,185103,339208619.60000000,17114430.39332200,0
1621814400000,0.03327000,0.05192000,0.03291000,0.04143000,511610852.60000000,1622419199999,21805400.23266800,137593,253798607.50000000,10850861.13416000,0
1622419200000,0.04132000,0.05298000,0.03881000,0.04778000,472768768.90000000,1623023999999,21533179.52860500,134639,239105045.50000000,10906404.99292900,0
1623024000000,0.04778000,0.05490000,0.03698000,0.04351000,930645535.90000000,1623628799999,43458027.90011600,223676,468657211.60000000,21908945.99114500,0
1623628800000,0.04351000,0.04826000,0.03410000,0.03793000,480674461.20000000,1624233599999,20241555.20586000,134556,241252420.30000000,10172600.75329100,0
1624233600000,0.03793000,0.03821000,0.02277000,0.03038000,424507399.50000000,1624838399999,12585441.10011500,89648,217377937.40000000,6447194.00505700,0
1624838400000,0.03030000,0.03483000,0.02830000,0.03228000,500780464.00000000,1625443199999,15951731.14550300,97861,257371557.40000000,8205761.27110300,0
1625443200000,0.03228000,0.03680000,0.02942000,0.03499000,484990084.40000000,1626047999999,15881490.86518700,96822,250794176.40000000,8231226.44218700,0
1626048000000,0.03503000,0.03685000,0.02937000,0.03209000,469693151.70000000,1626652799999,15286606.40839200,86149,240997865.70000000,7843343.32490900,0
1626652800000,0.03209000,0.03294000,0.02618000,0.03294000,273743238.30000000,1627257599999,8301560.72200500,55353,135653723.60000000,4119135.38177900,0
1627257600000,0.03294000,0.04382000,0.03236000,0.04126000,629150619.60000000,1627862399999,24405937.99273300,129353,315173918.70000000,12232876.22925600,0
1627862400000,0.04103000,0.04658000,0.03893000,0.04187000,531367938.30000000,1628467199999,22685589.55830600,123118,267184910.10000000,11419331.31546600,0
1628467200000,0.04189000,0.06700000,0.04116000,0.06109000,1199950671.70000000,1629071999999,67391808.08272800,273485,611362235.30000000,34352816.09770900,0
1629072000000,0.06116000,0.08619000,0.05611000,0.07868000,1847168777.10000000,1629676799999,132966920.89276400,444463,925186897.80000000,66738212.47209700,0
1629676800000,0.07858000,0.08400000,0.06511000,0.07368000,3127231820.90000000,1630281599999,233744424.17905900,291816,1567638958.00000000,117219629.80572500,0
1630281600000,0.07375000,0.09821000,0.07069000,0.09046000,3749112206.10000000,1630886399999,310687845.11985600,402270,1888584700.80000000,156523649.21378300,0
