otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,6.92700000,7.50300000,5.63100000,7.11100000,334914.13800000,1609545599999,2177116.81503200,14440,159156.48600000,1038320.02977100,0
1609545600000,7.11100000,7.95800000,5.68300000,5.82600000,252007.57800000,1609631999999,1733942.03947200,13003,117340.48200000,816754.99566200,0
1609632000000,5.85800000,6.27000000,5.01500000,5.09100000,143080.56600000,1609718399999,793327.75117000,7008,53820.67800000,298782.91962300,0
1609718400000,5.08800000,5.20400000,4.22100000,4.86100000,152279.12400000,1609804799999,721102.50465600,6107,58369.38000000,278789.38298800,0
1609804800000,4.84000000,4.88900000,4.19400000,4.36300000,114901.68400000,1609891199999,520396.93384100,4592,54434.70700000,247141.92042900,0
1609891200000,4.36300000,4.62200000,4.14400000,4.20000000,134363.66000000,1609977599999,583398.07581000,4867,52552.23200000,229753.83007900,0
1609977600000,4.15100000,4.33000000,3.84100000,3.84500000,130754.72400000,1610063999999,533201.02861600,4207,45541.72200000,187321.79014900,0
1610064000000,3.84500000,4.60000000,3.74000000,3.95500000,126254.25000000,1610150399999,517145.75763200,5023,54810.05600000,228035.95956000,0
1610150400000,4.04900000,4.04900000,3.64800000,3.75100000,64809.13400000,1610236799999,244794.66090000,3149,24642.35800000,93446.50528000,0
1610236800000,3.75100000,3.85000000,3.21500000,3.51800000,64450.94500000,1610323199999,233791.03808200,2846,24437.46200000,88674.27400500,0
1610323200000,3.48600000,3.48600000,2.77600000,3.13100000,97101.33200000,1610409599999,296634.68884600,3881,40471.54500000,124555.00468400,0
1610409600000,3.06800000,3.17600000,2.85000000,2.99900000,27598.70500000,1610495999999,83865.64336900,1544,11201.09700000,34184.40843800,0
1610496000000,2.99900000,5.96200000,2.77600000,5.20400000,563043.49000000,1610582399999,2553298.97968300,14888,288963.61500000,1327123.17132600,0
1610582400000,5.20300000,5.81000000,4.25700000,4.47200000,691903.30700000,1610668799999,3462035.13399400,20963,337365.30300000,1696246.44973300,0
1610668800000,4.50000000,4.89300000,4.28800000,4.42400000,390151.21600000,1610755199999,1793237.35541400,20739,190034.47100000,873134.68198900,0
1610755200000,4.40900000,4.90000000,4.23400000,4.48100000,329031.36600000,1610841599999,1480940.29104800,16724,164459.12600000,741732.57454000,0
1610841600000,4.44500000,4.60000000,4.24000000,4.27100000,177446.44500000,1610927999999,772510.81385100,9578,86668.27800000,377844.27801400,0
1610928000000,4.28900000,4.38400000,4.03400000,4.27100000,473236.32800000,1611014399999,2022787.97084800,8087,251548.85700000,1076089.27333100,0
1611014400000,4.28000000,4.29600000,4.04900000,4.07800000,689445.23800000,1611100799999,2850237.84344100,5952,345331.87300000,1427713.24899000,0
1611100800000,4.08200000,4.60000000,3.95100000,4.38700000,168361.31900000,1611187199999,724947.15522400,7359,87480.53200000,378067.06209200,0
1611187200000,4.38400000,4.54700000,3.79800000,3.89800000,89575.99700000,1611273599999,370127.15328900,4064,40479.34500000,168521.78569100,0
1611273600000,3.89700000,4.15900000,3.57400000,3.97500000,42536.74400000,1611359999999,167032.31706700,2426,18444.47500000,72451.03168400,0
1611360000000,3.97400000,4.03700000,3.70700000,3.80600000,43272.78700000,1611446399999,166800.89718500,2149,18756.02800000,72397.28783700,0
1611446400000,3.80900000,3.92600000,3.71400000,3.78600000,37222.55300000,1611532799999,142608.72874400,2440,15037.52900000,57858.70250800,0
1611532800000,3.78700000,3.91000000,3.64200000,3.68000000,41635.60900000,1611619199999,157455.98393100,2971,14427.93700000,54745.76439500,0
1611619200000,3.68000000,4.19000000,3.47800000,4.06700000,79694.57900000,1611705599999,298587.64777000,4710,42349.64400000,159829.58688400,0
1611705600000,4.11400000,4.46000000,3.73000000,4.14500000,232060.02500000,1611791999999,952734.73927700,10964,118130.82600000,484235.56267200,0
1611792000000,4.18000000,6.60000000,3.75000000,3.76500000,1400689.29700000,1611878399999,6876639.77338400,39499,718141.55900000,3562255.18664800,0
1611878400000,3.79900000,4.57000000,3.55500000,3.74900000,439761.50500000,1611964799999,1720294.67732900,14775,186211.82100000,726308.91234800,0
1611964800000,3.77500000,3.85500000,3.58200000,3.73600000,123119.41800000,1612051199999,459523.61203800,4712,58723.46700000,219408.74450300,0
1612051200000,3.72700000,3.89000000,3.56900000,3.62700000,84321.68900000,1612137599999,313029.89726600,2752,32855.23400000,122412.72615700,0
1612137600000,3.63200000,3.86000000,3.41500000,3.74300000,152389.67300000,1612223999999,559782.80201300,4729,74271.20600000,272464.01141300,0
1612224000000,3.74700000,3.83800000,3.64100000,3.79300000,83958.94600000,1612310399999,314495.65127500,3043,42076.33700000,158125.26308200,0
1612310400000,3.79900000,4.30000000,3.60200000,3.97700000,168934.89100000,1612396799999,659736.17910900,6062,77825.21000000,304381.28154600,0
1612396800000,3.97700000,3.99000000,3.61100000,3.79200000,186773.38000000,1612483199999,709852.99484800,6560,91856.12200000,349530.43799600,0
1612483200000,3.80600000,4.09200000,3.71000000,3.97500000,138299.14500000,1612569599999,543632.79458900,6484,68703.27100000,270810.00186000,0
1612569600000,3.97500000,4.55500000,3.88100000,4.16200000,287646.70300000,1612655999999,1203158.96934000,11928,137470.60100000,576556.08203700,0
1612656000000,4.15200000,4.49500000,3.93600000,4.21000000,166103.91400000,1612742399999,695930.47472300,7463,67048.73300000,281891.92317500,0
1612742400000,4.21400000,4.91700000,4.21300000,4.87900000,270630.19100000,1612828799999,1247221.03356500,12020,133237.39900000,614867.71341500,0
1612828800000,4.88000000,4.99900000,4.59700000,4.81300000,324566.86100000,1612915199999,1558293.16703200,11989,160308.51400000,769888.28346300,0
1612915200000,4.81300000,5.90100000,4.81300000,5.44400000,367820.70400000,1613001599999,1969007.63732400,18209,170013.17400000,910063.75576400,0
