otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,5.83100000,7.14200000,5.25900000,6.40900000,42533784.83200000,1610323199999,266507343.67075400,703711,21354654.36700000,133969022.82518900,0
1610323200000,6.41100000,9.60000000,5.00000000,8.54400000,64775542.71400000,1610927999999,479912344.38100500,1072472,33357392.11600000,246890176.87365300,0
1610928000000,8.54500000,10.20000000,6.60300000,8.24000000,40552011.11000000,1611532799999,346898900.06958500,787547,19704994.93600000,168680274.29892800,0
1611532800000,8.24600000,8.90000000,6.76300000,8.14500000,32726146.40400000,1612137599999,258515110.96751300,607841,15597457.07900000,123432888.36442800,0
1612137600000,8.14500000,14.12600000,7.82800000,13.84100000,49260881.57900000,1612742399999,534726640.92063000,1068556,24088403.82100000,262213856.96957100,0
1612742400000,13.82200000,22.15700000,13.23300000,19.08400000,46112460.91300000,1613347199999,794099480.60701600,1307604,23957570.87000000,413212631.85575000,0
1613347200000,19.11700000,26.55000000,14.81600000,21.56900000,48089825.21600000,1613951999999,1104200988.87199900,1667551,24293803.91500000,557784945.33844700,0
1613952000000,21.57300000,23.40000000,15.10000000,17.64900000,39725522.54000000,1614556799999,761389113.30389500,1225140,19756782.50100000,379123501.42539300,0
1614556800000,17.63200000,22.00000000,17.49700000,19.45800000,24159449.65700000,1615161599999,469694830.92634200,797186,11984339.64700000,233215606.78046300,0
1615161600000,19.47100000,21.37800000,17.68000000,18.44400000,16810553.20100000,1615766399999,326715554.95597900,608865,8360680.63900000,162650290.53009400,0
1615766400000,18.44300000,24.52300000,17.90100000,20.52000000,28262129.65600000,1616371199999,601501152.09611000,1051230,14136623.37500000,300792268.79256300,0
1616371200000,20.50800000,21.16600000,16.44400000,19.33100000,15215704.75400000,1616975999999,285271918.17700600,572524,7554282.65100000,141555168.26196800,0
1616976000000,19.32900000,22.56400000,18.16800000,21.52500000,22526516.70400000,1617580799999,458671214.83423600,837822,11758418.66000000,239704880.42167300,0
1617580800000,21.53000000,23.50000000,18.65100000,23.36500000,24674208.18900000,1618185599999,523796656.61599000,1088732,12433540.46700000,264134845.93827700,0
1618185600000,23.37200000,28.53000000,17.10000000,21.40300000,41048953.14000000,1618790399999,994307939.28877500,2027278,20651676.92300000,501242999.94219200,0
1618790400000,21.38800000,22.24800000,16.56000000,18.68700000,30493799.44500000,1619395199999,596135074.23937000,1433028,14926398.80000000,292124176.31770200,0
1619395200000,18.69000000,24.48800000,18.47700000,23.08800000,21861894.02500000,1619999999999,492431915.69240200,1034441,10867270.91900000,244785888.16397100,0
1620000000000,23.08600000,32.32400000,20.58200000,28.71200000,40462287.12700000,1620604799999,1075794237.95301200,2015709,20481308.63500000,544248133.00099000,0
1620604800000,28.71200000,29.90000000,21.81400000,24.26400000,31881028.57600000,1621209599999,818809486.30314800,1663741,15942853.92100000,409698539.28866600,0
