otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.76473000,0.76887000,0.75949000,0.76269000,2099867.50000000,1609545599999,1602922.23774000,3152,770941.40000000,588708.97739100,0
1609545600000,0.76169000,0.76873000,0.76056000,0.76431000,2528714.90000000,1609631999999,1932718.42715400,4289,1148324.40000000,878630.50787600,0
1609632000000,0.76433000,0.77451000,0.76300000,0.76876000,2826383.30000000,1609718399999,2170639.49838700,6425,2051769.60000000,1576678.95153600,0
1609718400000,0.76875000,0.77279000,0.75200000,0.76120000,6481569.10000000,1609804799999,4955501.77942600,7990,2561649.30000000,1963969.34012400,0
1609804800000,0.76121000,0.77300000,0.75754000,0.77058000,3366572.10000000,1609891199999,2579276.82949600,5933,1688150.10000000,1294221.18605200,0
1609891200000,0.77272000,0.78618000,0.76598000,0.77692000,4436929.10000000,1609977599999,3433969.30502800,7695,2389576.70000000,1851169.03470800,0
1609977600000,0.77931000,0.78000000,0.76823000,0.77214000,6368371.40000000,1610063999999,4922686.90900000,8105,3325078.20000000,2571057.98807200,0
1610064000000,0.77214000,0.77700000,0.76684000,0.76972000,7411821.90000000,1610150399999,5716306.55508000,8028,3794121.30000000,2927535.08128900,0
1610150400000,0.76972000,0.77160000,0.76616000,0.76726000,3919607.30000000,1610236799999,3014894.63823300,5548,1589457.00000000,1222637.28982900,0
1610236800000,0.76764000,0.77667000,0.75808000,0.76586000,6719987.20000000,1610323199999,5162550.34662300,7457,2748858.00000000,2115757.95854700,0
1610323200000,0.76586000,0.77132000,0.75730000,0.76495000,22471504.00000000,1610409599999,17223990.69626300,21324,11882922.40000000,9114049.28276700,0
1610409600000,0.76447000,0.77600000,0.76372000,0.77498000,5957314.20000000,1610495999999,4575101.11870400,9178,3229836.30000000,2481001.33040000,0
1610496000000,0.77530000,0.77987000,0.76800000,0.77019000,4955761.10000000,1610582399999,3827800.09818000,6457,2803289.80000000,2166131.03170300,0
1610582400000,0.76966000,0.78000000,0.76684000,0.77747000,6474502.00000000,1610668799999,4998819.00926900,5624,3356121.40000000,2590877.86646300,0
1610668800000,0.77736000,0.78000000,0.76420000,0.76600000,6019647.90000000,1610755199999,4630779.09570000,6479,2989996.70000000,2301604.83355800,0
1610755200000,0.76558000,0.76754000,0.76250000,0.76288000,4092676.30000000,1610841599999,3128948.09214500,4112,1755580.80000000,1342345.79813100,0
1610841600000,0.76288000,0.77422000,0.76142000,0.76617000,3839409.20000000,1610927999999,2936390.91215900,4394,1695824.40000000,1298099.00157100,0
1610928000000,0.76617000,0.76707000,0.76091000,0.76642000,4217533.80000000,1611014399999,3219833.61639400,4518,2235604.10000000,1706876.82582400,0
1611014400000,0.76633000,0.77254000,0.76333000,0.76642000,5125881.00000000,1611100799999,3932567.33785200,7330,2753575.00000000,2113174.44621700,0
1611100800000,0.76667000,0.77284000,0.76501000,0.77141000,4672370.10000000,1611187199999,3590646.03659500,6072,2262782.80000000,1739028.37795800,0
1611187200000,0.77162000,0.77587000,0.76731000,0.77500000,8286670.80000000,1611273599999,6398532.08655100,10788,4382620.60000000,3385186.16820700,0
1611273600000,0.77440000,0.78379000,0.76212000,0.76673000,6394498.20000000,1611359999999,4929605.61647100,9695,3578972.70000000,2764851.61116200,0
1611360000000,0.76673000,0.76910000,0.76215000,0.76591000,2151932.80000000,1611446399999,1647313.87087400,3194,923747.40000000,707269.69257600,0
1611446400000,0.76589000,0.76792000,0.76202000,0.76733000,2177666.80000000,1611532799999,1666303.60141100,3019,1122053.30000000,858701.56044400,0
