otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.76875000,0.78618000,0.75200000,0.76586000,38704858.10000000,1610323199999,29785186.36288600,50756,18096890.60000000,13946347.87862100,0
1610323200000,0.76586000,0.78000000,0.75730000,0.76617000,53810814.70000000,1610927999999,41321829.02242000,57568,27713571.80000000,21294109.14459300,0
1610928000000,0.76617000,0.78379000,0.76091000,0.76733000,33026553.50000000,1611532799999,25384802.16614800,44616,17259355.90000000,13275088.68238800,0
1611532800000,0.76733000,0.77399000,0.75484000,0.75672000,38537561.00000000,1612137599999,29392580.14181200,60461,19619705.70000000,14972645.67287400,0
1612137600000,0.75666000,0.77020000,0.75482000,0.76571000,74068698.00000000,1612742399999,56399785.50210200,118239,34852520.00000000,26539092.63213600,0
1612742400000,0.76530000,0.77600000,0.75699000,0.77195000,105032102.00000000,1613347199999,80582953.46030300,140682,50220094.80000000,38536315.95917400,0
1613347200000,0.77151000,0.79350000,0.76277000,0.78288000,108402062.40000000,1613951999999,84112988.57079900,157811,53053063.20000000,41174678.03019900,0
1613952000000,0.78288000,0.79888000,0.75579000,0.77004000,169997268.80000000,1614556799999,132345895.77622600,229389,79589377.30000000,62008299.56447200,0
1614556800000,0.76998000,0.78283000,0.75764000,0.77268000,94468197.70000000,1615161599999,72797246.45582400,128405,48898171.00000000,37685946.17655300,0
1615161600000,0.77149000,0.77816000,0.75780000,0.76955000,124047392.00000000,1615766399999,95345431.76681400,143293,65394420.00000000,50263015.43199200,0
1615766400000,0.76940000,0.77878000,0.76160000,0.76750000,119730055.50000000,1616371199999,92076376.09008300,130702,59801807.40000000,45979305.57476200,0
1616371200000,0.76744000,0.77900000,0.75158000,0.76041000,122622189.80000000,1616975999999,93184299.27477000,129543,61634265.40000000,46842474.41548600,0
1616976000000,0.76041000,0.77000000,0.75232000,0.75767000,120037254.30000000,1617580799999,91133378.79462900,137649,56173850.90000000,42654337.20925800,0
1617580800000,0.75767000,0.76851000,0.75351000,0.75959000,196603511.00000000,1618185599999,149406674.74811900,204038,97623164.00000000,74188218.22846500,0
1618185600000,0.75960000,0.77205000,0.73647000,0.75284000,262229536.80000000,1618790399999,199567418.39106000,295531,116868939.10000000,88938025.19669100,0
1618790400000,0.75286000,0.78700000,0.74850000,0.77058000,260120373.20000000,1619395199999,199713347.59391500,327492,131994035.30000000,101381992.62081600,0
1619395200000,0.77071000,0.78000000,0.76694000,0.77100000,216897648.40000000,1619999999999,167489551.74836600,208824,118020025.90000000,91145831.49722800,0
1620000000000,0.77100000,0.78229000,0.76416000,0.77701000,313633412.70000000,1620604799999,242050712.36026800,350022,140877558.20000000,108700907.62717500,0
1620604800000,0.77701000,0.78251000,0.75850000,0.77030000,375514653.50000000,1621209599999,289607703.83843400,432573,157358943.20000000,121361826.59643100,0
1621209600000,0.77028000,0.79536000,0.74510000,0.76868000,546757811.30000000,1621814399999,419843855.05195500,567915,218135246.10000000,167617670.91392000,0
1621814400000,0.76869000,0.77738000,0.76261000,0.76887000,272994178.60000000,1622419199999,210250415.68641200,325588,140411872.20000000,108141537.92031100,0
1622419200000,0.76886000,0.77600000,0.76301000,0.77257000,197924935.20000000,1623023999999,152462573.95664100,210112,104124316.10000000,80214093.63666700,0
1623024000000,0.77257000,0.77600000,0.76708000,0.77062000,251320170.00000000,1623628799999,193914437.77393600,213360,130670318.10000000,100821004.44873800,0
1623628800000,0.77062000,0.77309000,0.74301000,0.74885000,182498132.50000000,1624233599999,138276913.31105800,162073,89563883.70000000,67876665.47030100,0
1624233600000,0.74903000,0.75989000,0.74716000,0.75931000,244836574.50000000,1624838399999,184471623.63905500,202319,128195601.90000000,96588112.37006400,0
1624838400000,0.75931000,0.76122000,0.74453000,0.75184000,151046920.70000000,1625443199999,113718074.90015000,126605,73468458.10000000,55317221.66762200,0
1625443200000,0.75184000,0.75851000,0.73960000,0.74828000,131532380.40000000,1626047999999,98401747.27019600,118378,64961997.50000000,48604237.42250600,0
1626048000000,0.74827000,0.79210000,0.73675000,0.73803000,124405747.00000000,1626652799999,92513953.71028200,107019,62531157.60000000,46519962.53763500,0
1626652800000,0.73804000,0.73980000,0.72741000,0.73622000,144105415.50000000,1627257599999,105821184.55576800,120482,76102125.50000000,55880477.09605900,0
1627257600000,0.73622000,0.74046000,0.73041000,0.73254000,153941334.70000000,1627862399999,113189106.82425300,137084,75509705.90000000,55521421.65130500,0
1627862400000,0.73261000,0.74188000,0.73022000,0.73225000,179577291.30000000,1628467199999,132293032.40271000,164388,91019038.60000000,67052891.61419700,0
1628467200000,0.73224000,0.73725000,0.73100000,0.73542000,203893668.40000000,1629071999999,149632677.90655000,162342,101988016.70000000,74846907.59163400,0
1629072000000,0.73543000,0.73577000,0.70933000,0.71211000,217650047.20000000,1629676799999,156897604.44931000,187811,105755032.60000000,76221948.13902100,0
1629676800000,0.71203000,0.73150000,0.71203000,0.72970000,219990019.20000000,1630281599999,159157754.73906700,186636,111674135.60000000,80793200.68611900,0
1630281600000,0.72970000,0.74650000,0.72700000,0.74190000,207789275.20000000,1630886399999,152966412.12279900,218982,103855754.40000000,76463095.42627900,0
1630886400000,0.74190000,0.74440000,0.72400000,0.73340000,302435030.00000000,1631491199999,222520439.71290000,316577,152995060.00000000,112580945.76200000,0
1631491200000,0.73350000,0.73660000,0.72390000,0.72510000,195921360.00000000,1632095999999,142991299.35400000,193543,97407699.00000000,71098199.74000000,0
1632096000000,0.72510000,0.73500000,0.72060000,0.72530000,251869129.00000000,1632700799999,182325270.08160000,232588,124995912.00000000,90485708.74790000,0
1632700800000,0.72530000,0.72960000,0.71620000,0.72520000,193834477.00000000,1633305599999,140198917.69020000,171711,96364939.00000000,69708826.63940000,0
1633305600000,0.72520000,0.73340000,0.72110000,0.72750000,257333494.00000000,1633910399999,187169343.47530000,217618,131694954.00000000,95788777.04020000,0
1633910400000,0.72730000,0.74290000,0.72730000,0.74160000,221549081.00000000,1634515199999,163357384.27370000,181367,111787277.00000000,82421021.64340000,0
1634515200000,0.74160000,0.75390000,0.73720000,0.74550000,225040588.80000000,1635119999999,167822916.43839200,187511,110924519.80000000,82715507.55729200,0
1635120000000,0.74550000,0.75370000,0.73740000,0.74920000,334126386.00000000,1635724799999,250230428.53800000,295423,167830019.00000000,125691915.34250000,0
1635724800000,0.74930000,0.75160000,0.73380000,0.73790000,300172014.00000000,1636329599999,222458118.84750000,267063,145676926.00000000,107960440.54630000,0
1636329600000,0.73790000,0.74190000,0.72480000,0.73080000,293406272.00000000,1636934399999,215009466.51600000,257979,143914673.00000000,105459847.55720000,0
1636934400000,0.73080000,0.73640000,0.71520000,0.71890000,333618189.00000000,1637539199999,241853737.91020000,266501,153011723.00000000,110921080.44840000,0
1637539200000,0.71890000,0.72500000,0.70250000,0.71060000,291407021.00000000,1638143999999,208153132.66430200,251338,129964426.00000000,92843949.70990000,0
