otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1617321600000,5037.02000000,8796.00000000,4433.01000000,4595.07000000,6582.84052000,1617407999999,34348822.86244710,88640,3094.49962000,16205699.21093920,0
1617408000000,4596.00000000,4812.00000000,3711.24000000,3769.86000000,2147.30444000,1617494399999,9283785.93106570,34887,977.59036000,4226017.77714460,0
1617494400000,3780.01000000,4314.94000000,3700.00000000,4170.10000000,1076.15942000,1617580799999,4363823.16639520,23010,482.94735000,1963547.08451390,0
1617580800000,4170.10000000,4385.50000000,3790.00000000,3830.16000000,947.41630000,1617667199999,3852298.65140740,16319,428.83331000,1749538.92536020,0
1617667200000,3810.15000000,4038.33000000,3730.02000000,3876.19000000,903.22482000,1617753599999,3498723.92217110,15164,446.90668000,1736571.33495750,0
1617753600000,3881.60000000,3909.28000000,3263.17000000,3403.79000000,941.66528000,1617839999999,3388766.39159890,12105,428.53617000,1546317.28226260,0
1617840000000,3412.79000000,3793.21000000,3379.20000000,3528.00000000,602.86023700,1617926399999,2155948.99598613,9287,281.21077700,1006761.96342870,0
1617926400000,3509.90000000,4300.00000000,3353.28000000,3950.00000000,1529.26183900,1618012799999,5825281.40226066,21255,661.18336000,2534760.15231298,0
1618012800000,3952.68000000,4469.97000000,3923.74000000,3951.31000000,2076.69151400,1618099199999,8729938.49806978,30267,983.98616800,4138910.00983058,0
1618099200000,3951.28000000,4110.00000000,3678.19000000,4050.48000000,921.71529200,1618185599999,3546425.60090933,12827,428.85758100,1657585.58503162,0
1618185600000,4058.57000000,4721.32000000,3932.32000000,4086.74000000,2065.59708000,1618271999999,8728354.90962056,33779,1074.39624000,4560716.77210572,0
1618272000000,4103.75000000,4103.75000000,3650.00000000,3785.11000000,1570.42785200,1618358399999,5977914.94310585,19207,627.41901100,2395998.70218894,0
1618358400000,3807.00000000,4129.00000000,3675.60000000,3903.28000000,2144.10710100,1618444799999,8432224.87368060,25234,953.88673300,3755442.34864818,0
1618444800000,3887.46000000,4090.00000000,3767.34000000,3810.20000000,1107.70371300,1618531199999,4276704.16433332,18598,507.48802800,1964800.78687252,0
1618531200000,3820.94000000,3820.94000000,3380.00000000,3482.39000000,1394.69163700,1618617599999,5002921.13374117,21383,582.44969500,2091990.92618865,0
1618617600000,3500.41000000,3740.01000000,3375.41000000,3390.14000000,1056.56546300,1618703999999,3721602.59517184,16409,464.16706700,1642617.40300928,0
1618704000000,3390.65000000,3422.00000000,2760.73000000,3073.25000000,1206.84600600,1618790399999,3684142.31124651,16821,529.12626300,1605672.32445178,0
1618790400000,3073.76000000,3524.56000000,3002.63000000,3104.06000000,1250.90129100,1618876799999,4106261.73104141,17725,604.49861800,1977335.36909802,0
1618876800000,3126.87000000,3627.31000000,2900.60000000,3167.98000000,875.01549900,1618963199999,2789933.47346625,12597,424.82577700,1359571.82441869,0
1618963200000,3167.99000000,3199.89000000,2682.80000000,2834.49000000,2415.65995400,1619049599999,7083388.07705052,29511,1145.69988500,3367627.76657782,0
1619049600000,2845.37000000,2956.90000000,2228.01000000,2289.09000000,2020.58872200,1619135999999,5176006.16158653,18969,944.47079600,2425276.94390343,0
1619136000000,2327.44000000,2391.48000000,2010.00000000,2268.99000000,1252.50720700,1619222399999,2738950.67097293,10969,608.40008900,1334991.24666566,0
1619222400000,2268.97000000,2350.45000000,2046.96000000,2123.59000000,844.31267100,1619308799999,1827136.89405957,7478,394.67217800,855839.58281863,0
1619308800000,2100.09000000,2221.99000000,1945.85000000,2110.00000000,836.48198900,1619395199999,1774304.40991772,6862,421.97781200,894641.85652941,0
1619395200000,2110.00000000,2344.58000000,2100.01000000,2202.84000000,947.41469900,1619481599999,2117710.56101407,9079,426.81697400,959016.20762889,0
1619481600000,2201.94000000,2650.00000000,2113.20000000,2609.45000000,2474.75393600,1619567999999,6001848.67627133,22212,1162.82167200,2835762.93457153,0
