otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1616976000000,5037.02000000,8796.00000000,3700.00000000,4170.10000000,9806.30438000,1617580799999,47996431.95990800,146537,4555.03733000,22395264.07259770,0
1617580800000,4170.10000000,4469.97000000,3263.17000000,4050.48000000,7922.83528200,1618185599999,30997383.46240330,117224,3659.51404600,14370445.25318418,0
1618185600000,4058.57000000,4721.32000000,2760.73000000,3073.25000000,10545.93885200,1618790399999,39823864.93089985,151431,4738.93303700,18017239.26346507,0
1618790400000,3073.76000000,3627.31000000,1945.85000000,2110.00000000,9495.46733300,1619395199999,25495981.41809493,104111,4544.54515500,12215284.59001166,0
1619395200000,2110.00000000,3998.01000000,2100.01000000,3594.11000000,32421.65552600,1619999999999,104683343.76199139,324138,15820.98654000,51398157.75465462,0
1620000000000,3594.11000000,4400.00000000,2900.00000000,3021.04000000,19456.28818500,1620604799999,69675721.44087658,225750,9477.99316600,34099093.27980173,0
1620604800000,3022.20000000,3599.00000000,2495.61000000,2553.82000000,18881.17441500,1621209599999,55290338.13195350,165984,9421.87575100,27647031.37273545,0
1621209600000,2553.91000000,2609.16000000,950.00000000,1132.05000000,15454.64340000,1621814399999,27213706.63418639,84160,7948.57991400,13841417.25940877,0
1621814400000,1149.99000000,1666.82000000,1128.55000000,1351.01000000,7913.03989400,1622419199999,11325341.05231546,43040,4073.73084100,5837097.84468296,0
1622419200000,1351.00000000,1586.03000000,1201.00000000,1280.00000000,6547.75258400,1623023999999,8975746.13233869,44143,3237.01227600,4439651.19794392,0
1623024000000,1279.99000000,1315.00000000,1000.00000000,1111.19000000,6303.12173600,1623628799999,6961096.74368715,34516,3171.23039100,3494831.11981660,0
1623628800000,1111.18000000,1421.62000000,1080.81000000,1305.34000000,18709.53904500,1624233599999,24156542.08028269,102576,9275.56486100,11991643.73512426,0
1624233600000,1301.13000000,1307.25000000,779.66000000,885.47000000,8138.56271000,1624838399999,7916926.61772018,43677,4023.57579400,3928661.89449450,0
1624838400000,888.99000000,949.00000000,805.00000000,867.97000000,5668.64856100,1625443199999,4913794.67079056,31810,2806.17996000,2434349.88467730,0
1625443200000,861.75000000,968.00000000,797.60000000,874.43000000,6943.99676500,1626047999999,6035280.16149286,34422,3291.63038000,2862335.21509937,0
1626048000000,874.43000000,1123.00000000,721.64000000,780.57000000,26393.93019900,1626652799999,22119244.87613597,94725,11904.07268000,10000076.74901210,0
1626652800000,779.72000000,780.38000000,640.00000000,719.18000000,12192.67342700,1627257599999,8623099.20504075,43275,5887.69052900,4167137.71389930,0
1627257600000,719.43000000,894.40000000,717.38000000,803.16000000,25543.91944500,1627862399999,20505959.00626129,86198,12269.37330600,9863306.84858716,0
1627862400000,801.02000000,1002.94000000,764.86000000,897.98000000,38207.05208800,1628467199999,34157048.47100519,126530,19112.33659900,17162038.09721116,0
1628467200000,899.78000000,1379.22000000,871.00000000,1226.61000000,48829.96985200,1629071999999,54841398.45005844,196620,24231.05581200,27266595.41732419,0
1629072000000,1227.43000000,1460.00000000,1032.07000000,1296.29000000,30180.45925600,1629676799999,37480739.18710138,125147,15069.96118100,18708621.44217418,0
1629676800000,1295.10000000,1588.32000000,1238.60000000,1305.50000000,30022.33151600,1630281599999,42447459.21322678,146807,15200.31667700,21526934.48013043,0
1630281600000,1301.00000000,1350.00000000,1186.10000000,1264.50000000,20244.51527700,1630886399999,25610123.66544341,91470,9823.46078100,12427629.85489796,0
1630886400000,1264.50000000,1718.70000000,1023.60000000,1296.60000000,86307.02161400,1631491199999,121562649.96199521,357902,42883.38356800,60518409.12494471,0
1631491200000,1296.60000000,1346.60000000,1130.30000000,1140.60000000,22912.48800000,1632095999999,28021149.71270000,93296,11189.75200000,13697647.43500000,0
1632096000000,1141.00000000,1141.00000000,820.00000000,872.00000000,29801.40870300,1632700799999,28396950.05568472,84891,14626.68843000,13912287.74723100,0
1632700800000,873.30000000,984.40000000,814.00000000,965.60000000,15092.92900000,1633305599999,13671130.51040000,51824,7455.38900000,6749430.87780000,0
1633305600000,967.40000000,1109.90000000,890.70000000,978.20000000,28953.09100000,1633910399999,28562705.51300000,94423,13961.10400000,13793060.05420000,0
1633910400000,978.50000000,1349.80000000,901.20000000,1228.90000000,66047.56200000,1634515199999,78616179.92230000,243150,33114.88600000,39495915.06550000,0
1634515200000,1231.30000000,1497.80000000,1067.30000000,1095.60000000,53214.85000000,1635119999999,69498984.61170000,196659,25493.71500000,33394703.07190000,0
1635120000000,1095.10000000,1145.80000000,982.70000000,1036.00000000,29912.27500000,1635724799999,31726771.97240000,102693,13966.25100000,14805789.17700000,0
1635724800000,1037.50000000,1189.90000000,1005.00000000,1109.50000000,30968.16200000,1636329599999,33970650.84100000,106663,14728.52900000,16171782.95920000,0
1636329600000,1109.50000000,1271.90000000,995.30000000,1180.20000000,33925.10200000,1636934399999,38578178.11420000,113477,16190.94300000,18445683.74820000,0
1636934400000,1180.80000000,1184.80000000,919.00000000,1012.10000000,26096.17000000,1637539199999,27052835.68170000,79950,11986.53100000,12409818.91360000,0
1637539200000,1010.90000000,1072.00000000,888.10000000,957.30000000,26162.39500000,1638143999999,25649078.93280000,73632,12324.85400000,12081657.36770000,0
1638144000000,959.10000000,994.00000000,624.20000000,810.50000000,24969.40256800,1638748799999,22019064.87374340,81333,12288.15781000,10858208.64315000,0
1638748800000,813.20000000,895.00000000,724.80000000,767.80000000,16893.15300000,1639353599999,13645890.94500000,38714,10305.59100000,8387586.51570000,0
