otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1614556800000,51.80000000,64.90000000,44.65200000,51.81000000,1156651.33800000,1615161599999,62026073.52365600,197260,578688.21800000,31314061.19465600,0
1615161600000,51.81100000,54.55500000,41.40300000,46.84900000,835083.55900000,1615766399999,39303033.75571100,152803,420184.87900000,19763278.67213700,0
1615766400000,46.58800000,47.98000000,40.26100000,43.34100000,725184.13800000,1616371199999,32229647.95540600,118967,371001.29900000,16535557.15761100,0
1616371200000,43.20500000,43.48700000,34.10100000,35.92600000,1078680.78900000,1616975999999,41319552.44148600,149506,489723.39900000,18804495.72520800,0
1616976000000,35.97800000,49.00000000,35.10000000,41.39600000,1427999.66600000,1617580799999,59923828.33097500,231361,724338.67300000,30488417.97975400,0
1617580800000,41.32100000,45.15000000,37.19000000,41.07200000,725234.62400000,1618185599999,30280765.51363000,133848,373027.19900000,15588670.19489100,0
1618185600000,41.08900000,53.79200000,35.34500000,39.29300000,1357835.39100000,1618790399999,62524846.79425200,227994,741334.53400000,34289966.26619600,0
1618790400000,39.10200000,40.70000000,23.63400000,24.84200000,1042347.10000000,1619395199999,32372762.07803100,151631,488179.16700000,15130256.06630700,0
1619395200000,24.95400000,38.70000000,24.84000000,36.03100000,1712559.33000000,1619999999999,57512071.05612500,236361,920330.74700000,30946929.42558200,0
1620000000000,36.07800000,47.73900000,30.77600000,35.17500000,3497042.81100000,1620604799999,131702533.54561900,472790,1794495.62000000,67676397.33393800,0
1620604800000,35.17500000,37.49200000,24.87300000,26.15800000,1239942.04800000,1621209599999,39265495.36393300,185829,613194.52000000,19462016.44955200,0
1621209600000,26.22200000,27.00000000,3.06300000,10.51000000,1561965.65200000,1621814399999,28049288.12614400,139708,765215.66300000,13760983.28727000,0
1621814400000,10.51100000,15.31100000,10.34500000,11.82800000,1288354.28700000,1622419199999,16530281.39867200,105580,632032.30900000,8116869.21690700,0
1622419200000,11.75300000,20.53800000,11.10000000,15.20900000,4316323.27800000,1623023999999,72263712.62225900,306723,2205178.66700000,37121514.22585900,0
1623024000000,15.20900000,16.24800000,11.64200000,13.10100000,1575071.96900000,1623628799999,21796246.40062500,102105,766320.36300000,10600483.76792700,0
1623628800000,13.15700000,14.70000000,11.24900000,12.13600000,1119896.78800000,1624233599999,14460497.69416900,71872,538222.47200000,6952484.96736900,0
1624233600000,12.14700000,12.16800000,7.02400000,8.13500000,1950384.59100000,1624838399999,16797322.12556600,96661,946343.13600000,8152635.20604700,0
1624838400000,8.13800000,11.20000000,7.87900000,9.62800000,1556531.32500000,1625443199999,14684397.13472400,82464,763702.03600000,7196095.48220700,0
1625443200000,9.62900000,10.80000000,8.63600000,9.05000000,770785.75700000,1626047999999,7398522.18360700,42501,383823.36100000,3688291.35375400,0
1626048000000,9.05100000,9.25500000,7.33500000,7.92400000,819409.34800000,1626652799999,6539094.14648300,39428,390143.90800000,3113399.59508500,0
1626652800000,7.88200000,9.50000000,6.56600000,9.43200000,1620102.45400000,1627257599999,12912747.90414200,71248,822727.05900000,6573269.29740200,0
1627257600000,9.43100000,12.36400000,8.91000000,10.82300000,2483594.26900000,1627862399999,27504756.84329000,153216,1272360.04900000,14104624.75349000,0
1627862400000,10.84900000,32.28700000,10.31600000,23.07800000,9813366.66100000,1628467199999,215824175.09299700,725980,4837352.71800000,106356004.15375000,0
1628467200000,23.05000000,34.00000000,21.39900000,26.91900000,3994737.67700000,1629071999999,112922601.32755700,402867,1990752.11100000,56334159.49066100,0
1629072000000,26.87500000,28.20500000,21.99000000,24.43400000,1743782.87700000,1629676799999,43369678.91633300,137732,848015.13000000,21113686.94853600,0
