otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,15.88800000,21.55900000,13.85100000,19.19900000,2440580.78600000,1610323199999,43241780.92824900,201149,1263919.79700000,22426036.83869400,0
1610323200000,19.16600000,21.63500000,13.55500000,20.79900000,1826912.52300000,1610927999999,32112987.67723400,161937,950839.45200000,16779849.71940200,0
1610928000000,20.82400000,24.98800000,16.84300000,23.03400000,1663300.28600000,1611532799999,35149291.47809900,167269,856199.94400000,18098965.47500300,0
1611532800000,23.01800000,29.50000000,18.67500000,26.48200000,1788249.50500000,1612137599999,41907190.10782700,201738,909679.18200000,21399632.64932700,0
1612137600000,26.53100000,41.80000000,25.07300000,36.20200000,2890080.77600000,1612742399999,98638287.00488300,355291,1514396.93400000,51797796.21789200,0
1612742400000,36.24000000,53.88800000,32.52000000,44.29300000,2966741.70600000,1613347199999,127472664.77157800,371485,1551185.11500000,66641906.95764300,0
1613347200000,44.33200000,50.41400000,37.66600000,45.69700000,2064034.07900000,1613951999999,93057312.36714100,279913,1019440.30500000,46061891.16498000,0
1613952000000,45.66400000,45.81100000,28.97500000,34.47300000,1603482.86700000,1614556799999,59214810.39835500,203900,765099.22700000,28284408.95414900,0
1614556800000,34.52000000,44.62000000,34.17800000,44.40500000,1031108.80400000,1615161599999,40461200.85136400,169276,515090.86400000,20227830.39752100,0
1615161600000,44.43100000,55.00000000,42.66300000,52.83400000,1409618.79300000,1615766399999,67920263.11544000,241398,742184.28300000,35767758.27891100,0
1615766400000,52.83400000,65.70100000,50.80700000,58.11400000,2594378.51700000,1616371199999,151270597.66544700,394800,1341146.50600000,78344216.06527400,0
1616371200000,58.10100000,58.89100000,45.06500000,50.95700000,1044268.42700000,1616975999999,53768823.79685300,195807,526558.44700000,27153772.27114600,0
1616976000000,51.00000000,62.50000000,50.40000000,59.06000000,877896.53000000,1617580799999,49979330.53107000,165384,440662.57600000,25076947.03903700,0
1617580800000,59.12000000,61.05000000,48.45000000,51.83000000,889156.88200000,1618185599999,47798545.67806100,165179,446635.06000000,24041855.69245300,0
1618185600000,51.82400000,72.63600000,46.24000000,57.88300000,1958545.96200000,1618790399999,121139444.10366300,377228,1000609.92100000,61988347.38091400,0
1618790400000,57.84900000,63.00000000,44.73400000,48.06900000,1655741.14400000,1619395199999,89403957.58979300,264024,811258.24000000,43953588.36346400,0
1619395200000,47.98900000,64.12800000,47.56000000,61.50600000,1571458.39500000,1619999999999,92712322.68802300,259811,795841.45300000,46954886.86878600,0
1620000000000,61.55900000,75.08600000,61.45500000,66.27000000,1549459.65100000,1620604799999,105477858.08703000,296770,787346.13100000,53615099.15313500,0
1620604800000,66.27700000,74.60000000,50.70300000,54.01700000,1421341.91100000,1621209599999,91214622.53410300,271672,733125.95900000,47113284.24203000,0
1621209600000,54.01700000,56.00000000,21.28400000,25.39600000,1618278.13900000,1621814399999,60514082.72130900,199853,799301.30700000,29919447.49095600,0
1621814400000,25.42900000,34.17900000,25.15400000,27.64800000,869801.45200000,1622419199999,26114551.75601700,96308,443360.03500000,13335728.10469600,0
1622419200000,27.61700000,32.37000000,26.32700000,29.10800000,641588.89800000,1623023999999,19049693.14283800,69957,319402.39800000,9491345.89601900,0
1623024000000,29.11000000,30.93200000,21.63000000,23.79800000,632672.60500000,1623628799999,16108094.08030700,63456,313367.19000000,7941321.33469700,0
1623628800000,23.79600000,25.20100000,17.51300000,19.39900000,643311.32000000,1624233599999,13935322.68091100,66368,323365.94500000,7025394.64698000,0
1624233600000,19.40100000,19.61000000,13.58800000,16.37200000,1370707.43200000,1624838399999,22087636.87842200,99709,742823.95200000,11905917.10772900,0
