otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.28530000,0.41830000,0.26200000,0.37710000,23108534.23000000,1610323199999,7679370.44063700,74830,11061197.54000000,3699234.31183600,0
1610323200000,0.37690000,0.37940000,0.29110000,0.33930000,17190014.97000000,1610927999999,5780218.41247200,59012,8027559.45000000,2702912.96788600,0
1610928000000,0.33990000,0.42800000,0.32610000,0.36750000,24135077.83000000,1611532799999,9074342.99174600,82281,11207083.43000000,4221539.29876000,0
1611532800000,0.36710000,0.43380000,0.31010000,0.40420000,22946627.97000000,1612137599999,8554946.53638900,71947,12803470.03000000,4844255.50036600,0
1612137600000,0.40350000,0.47810000,0.37640000,0.41660000,30740590.50000000,1612742399999,12814959.72558900,109179,15592648.00000000,6470375.78874600,0
1612742400000,0.41660000,0.78100000,0.41210000,0.63430000,38889669.33000000,1613347199999,23638362.37831600,190733,19489473.59000000,11888968.04879800,0
1613347200000,0.63630000,0.89000000,0.57600000,0.85610000,35469206.22000000,1613951999999,26031306.66098000,195692,17386859.01000000,12857952.74215200,0
1613952000000,0.86080000,0.91500000,0.46300000,0.50470000,31035846.33000000,1614556799999,19055798.81195400,143418,14555294.41000000,8996941.19512000,0
1614556800000,0.50220000,0.64500000,0.50210000,0.61610000,21202737.96000000,1615161599999,12278623.41255100,99652,9985673.81000000,5795276.12440400,0
1615161600000,0.61750000,1.06770000,0.59660000,0.90000000,49692180.46000000,1615766399999,40815714.38844100,265953,25824093.29000000,21275389.95383100,0
1615766400000,0.90000000,1.43000000,0.78590000,1.39250000,60554879.12000000,1616371199999,65631765.87976900,353792,30161149.33000000,33009971.27560500,0
1616371200000,1.39960000,1.48000000,0.87250000,1.22020000,46168754.17000000,1616975999999,51251408.28763800,300824,22293698.38000000,24796927.94192500,0
1616976000000,1.21530000,1.46700000,1.05590000,1.20730000,38731366.88000000,1617580799999,48350168.14397600,274898,19335250.61000000,24160943.23138400,0
1617580800000,1.20720000,2.10000000,1.00500000,1.61560000,117401529.16000000,1618185599999,183772026.64379300,683908,60346345.93000000,94701394.11457900,0
1618185600000,1.61890000,1.98000000,1.31670000,1.55000000,84353262.79000000,1618790399999,138905695.48783400,562379,42412463.03000000,70027397.96320100,0
1618790400000,1.55000000,1.83010000,0.98500000,1.08010000,57501328.00000000,1619395199999,79888408.20399000,331780,28129899.36000000,39304818.45275800,0
1619395200000,1.08050000,1.56910000,1.07490000,1.47300000,54818953.50000000,1619999999999,74114831.76853300,330019,26960819.55000000,36471665.97215900,0
1620000000000,1.47120000,1.72690000,1.36810000,1.51190000,44292892.64000000,1620604799999,68079393.10910800,298844,22106713.01000000,34034805.41298400,0
1620604800000,1.51260000,1.63000000,1.15600000,1.46910000,57503671.95000000,1621209599999,81725429.78991900,355290,27765488.08000000,39539405.33129500,0
1621209600000,1.47080000,1.49830000,0.45670000,0.55940000,48866452.75000000,1621814399999,47713152.48271500,208866,23168782.53000000,22662244.00678900,0
1621814400000,0.56170000,0.98000000,0.53870000,0.73370000,80858155.59000000,1622419199999,64749862.10488600,281919,40646680.12000000,32645541.83389000,0
1622419200000,0.73050000,0.87860000,0.68000000,0.74900000,36408631.39000000,1623023999999,28365775.07162400,149439,18255269.30000000,14232960.36544300,0
1623024000000,0.74970000,0.76490000,0.54710000,0.67270000,41424341.33000000,1623628799999,27734127.95272200,131684,20287075.99000000,13605056.68734100,0
1623628800000,0.67270000,0.72000000,0.53580000,0.57150000,20184710.79000000,1624233599999,12906905.18834100,69872,9950901.41000000,6381876.72725800,0
1624233600000,0.57180000,0.57980000,0.35020000,0.41410000,25644622.33000000,1624838399999,10828940.57619400,64731,12538072.03000000,5278763.82358200,0
1624838400000,0.41610000,0.48200000,0.38930000,0.43720000,31281230.36000000,1625443199999,13346247.78091900,72450,16091806.66000000,6877262.81460500,0
1625443200000,0.43720000,0.65550000,0.40010000,0.50940000,79465042.53000000,1626047999999,40024218.87607200,197698,39460770.73000000,19948701.20156500,0
1626048000000,0.50940000,0.53070000,0.41110000,0.41700000,35088596.99000000,1626652799999,16644240.01395000,105281,16310294.10000000,7742744.07799400,0
1626652800000,0.41530000,0.52000000,0.34400000,0.46060000,38260948.94000000,1627257599999,16516009.30456100,100504,18919552.72000000,8176734.82243800,0
1627257600000,0.46030000,0.58560000,0.44510000,0.53120000,34292277.60000000,1627862399999,17626751.07754100,108332,16812400.82000000,8651400.03066000,0
1627862400000,0.53130000,0.70500000,0.50790000,0.66470000,75148485.99000000,1628467199999,45744392.72962000,182252,37679786.75000000,23010638.41670400,0
1628467200000,0.66530000,0.78000000,0.62030000,0.75130000,48348417.33000000,1629071999999,33326560.24852100,177106,24191755.29000000,16699727.44160100,0
1629072000000,0.75200000,0.82650000,0.64080000,0.78310000,37129134.73000000,1629676799999,27387367.36610500,133082,18052118.78000000,13344282.99885300,0
1629676800000,0.78290000,0.80390000,0.65030000,0.69670000,29468124.40000000,1630281599999,21233886.44033900,103736,14203177.87000000,10246649.66581100,0
1630281600000,0.69690000,0.77160000,0.64260000,0.75320000,37033709.15000000,1630886399999,26202239.19160200,114433,18484864.64000000,13096302.00876700,0
1630886400000,0.75100000,0.90000000,0.58630000,0.72880000,58282553.17000000,1631491199999,44438725.53420100,230823,28705670.67000000,21956530.31039400,0
1631491200000,0.72880000,0.77200000,0.64300000,0.66960000,26048576.00000000,1632095999999,18260357.27200000,99674,12827217.00000000,9002647.22680000,0
1632096000000,0.67040000,0.67040000,0.49750000,0.55480000,38977382.65000000,1632700799999,22547735.42556600,109702,19205017.53000000,11132176.47837100,0
1632700800000,0.55290000,0.62720000,0.50390000,0.58710000,29801771.00000000,1633305599999,17073950.01310000,88778,14877955.00000000,8539238.92430000,0
1633305600000,0.58490000,1.01790000,0.54910000,0.66940000,107343671.26000000,1633910399999,85673773.73200700,317190,54046413.70000000,43267709.12303400,0
1633910400000,0.66900000,0.92390000,0.66800000,0.86590000,81371615.00000000,1634515199999,64615049.79840000,335286,41613320.00000000,33137360.93910000,0
1634515200000,0.86580000,0.99000000,0.74340000,0.75130000,48029142.00000000,1635119999999,42294561.36120000,238303,23389577.00000000,20684205.59000000,0
1635120000000,0.75130000,0.84400000,0.67670000,0.70770000,34244998.00000000,1635724799999,25408968.89540000,127199,16728699.00000000,12423138.74560000,0
1635724800000,0.70890000,0.80000000,0.68720000,0.72740000,25480484.00000000,1636329599999,18871105.14410000,96218,12902115.00000000,9573112.39700000,0
1636329600000,0.72490000,0.76690000,0.66070000,0.70520000,26037582.00000000,1636934399999,18676341.42740000,83803,12192570.00000000,8757827.81650000,0
1636934400000,0.70540000,0.88400000,0.56000000,0.68870000,53655117.00000000,1637539199999,39037062.51290000,184838,26603548.00000000,19481842.93100000,0
1637539200000,0.68650000,0.71390000,0.57630000,0.62120000,24792519.00000000,1638143999999,16002773.49640000,91255,11731985.00000000,7579409.25350000,0
1638144000000,0.62120000,1.32000000,0.60110000,0.84450000,344502097.99000000,1638748799999,310940686.92521700,1176522,171484918.11000000,155121575.14217800,0
1638748800000,0.84600000,0.84600000,0.67520000,0.74830000,15544281.00000000,1639353599999,11544230.82900000,80047,7189726.00000000,5346863.16490000,0
