otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.89470000,1.17340000,0.80520000,1.03280000,22961053.94000000,1610323199999,22716212.02377500,171606,11518357.41000000,11422116.85565700,0
1610323200000,1.03210000,1.35400000,0.80480000,1.31920000,23096674.53000000,1610927999999,23989940.22123700,139733,11691912.21000000,12178900.87122300,0
1610928000000,1.31920000,1.84200000,1.19400000,1.65140000,46231108.86000000,1611532799999,69277402.18448400,305170,23212494.13000000,34876923.50947200,0
1611532800000,1.65160000,1.85000000,1.30700000,1.61940000,28713210.11000000,1612137599999,45592979.23957300,250791,14452972.28000000,22998061.16136900,0
1612137600000,1.61950000,2.50000000,1.55060000,2.28080000,33648654.57000000,1612742399999,72377239.28833000,358102,17102018.13000000,36867731.27397100,0
1612742400000,2.28820000,3.69750000,2.26030000,2.87960000,35596842.59000000,1613347199999,103915482.86435300,421007,18033856.96000000,52666509.35284500,0
1613347200000,2.85600000,3.65000000,2.24800000,2.94550000,29826676.11000000,1613951999999,90926949.40697700,378988,14688561.69000000,44864638.86302500,0
1613952000000,2.94460000,2.96140000,1.53380000,1.92040000,27123393.49000000,1614556799999,57390903.51381200,246368,13440474.45000000,28491021.97115000,0
1614556800000,1.92990000,3.01970000,1.90840000,2.73980000,26477180.00000000,1615161599999,66426813.65714400,275316,13495941.80000000,33815152.21517900,0
1615161600000,2.73680000,3.83060000,2.40500000,3.43540000,33653006.68000000,1615766399999,102775909.25218100,432272,16902244.98000000,51812039.64505900,0
1615766400000,3.42590000,4.29800000,2.95500000,3.47750000,35170993.82000000,1616371199999,127394159.29799300,436739,17497575.61000000,63407760.24150300,0
1616371200000,3.47650000,3.89030000,2.58330000,3.39470000,25733130.47000000,1616975999999,82737368.62025900,341627,13044930.09000000,41978054.66500800,0
1616976000000,3.39180000,5.60000000,3.34380000,5.09690000,38873099.94000000,1617580799999,180463055.98793300,607666,20164195.81000000,93748360.91105700,0
1617580800000,5.10390000,5.84730000,4.66340000,5.09920000,27718784.95000000,1618185599999,144055621.87770100,483668,14074217.47000000,73186347.17133700,0
1618185600000,5.11380000,5.38800000,3.21600000,4.01950000,20474418.40000000,1618790399999,92287510.15563300,367520,10084024.68000000,45542641.73992000,0
1618790400000,4.01670000,4.55550000,2.83550000,3.03150000,32589674.75000000,1619395199999,120061733.70851500,422518,16502491.71000000,60897576.52841500,0
1619395200000,3.03990000,4.53710000,2.99000000,4.32120000,24689382.61000000,1619999999999,96452948.97021700,490161,12710892.45000000,49724339.98154700,0
1620000000000,4.31480000,4.70000000,3.80000000,3.97270000,19941523.29000000,1620604799999,84290650.23019200,407927,10047883.90000000,42526771.94996000,0
1620604800000,3.97590000,4.09400000,2.69230000,2.98380000,21352853.28000000,1621209599999,73546973.56020000,291335,10726930.51000000,37004051.30382200,0
1621209600000,2.97990000,3.15000000,1.00200000,1.23900000,31054446.89000000,1621814399999,59611235.34292400,229080,15262093.92000000,29375198.25185800,0
1621814400000,1.24230000,2.47000000,1.20520000,1.66280000,46999731.29000000,1622419199999,88172888.83666000,342417,23769658.85000000,44720625.16798600,0
1622419200000,1.65280000,2.24650000,1.57720000,1.78700000,41840627.25000000,1623023999999,81097715.41993300,339034,21164624.53000000,41094911.24212400,0
1623024000000,1.78600000,1.87830000,1.40300000,1.73960000,28231480.28000000,1623628799999,47690899.93752500,210827,14008219.57000000,23676709.71810700,0
1623628800000,1.73950000,1.88730000,1.30540000,1.43780000,21058760.22000000,1624233599999,34990996.37138200,159474,10787598.56000000,17916812.94504900,0
1624233600000,1.43770000,1.44660000,0.86030000,1.06240000,24141361.40000000,1624838399999,26317636.07772400,128706,12397543.21000000,13523565.93578200,0
1624838400000,1.06330000,1.23550000,1.03900000,1.18950000,16841924.95000000,1625443199999,19298286.17148500,110030,8522128.80000000,9775225.80491100,0
1625443200000,1.18400000,1.37600000,1.08400000,1.24600000,20216628.62000000,1626047999999,24968487.09244100,132968,10171012.69000000,12565235.93473900,0
1626048000000,1.24600000,1.78930000,1.14360000,1.49060000,53076442.70000000,1626652799999,77627179.40170500,336686,26355415.72000000,38580447.02740000,0
1626652800000,1.49290000,1.76270000,1.15920000,1.64570000,30245961.11000000,1627257599999,43967774.55623500,197606,15119116.59000000,21973371.07484400,0
1627257600000,1.64570000,2.01660000,1.58170000,1.68280000,43540418.11000000,1627862399999,77004218.34009500,315606,21525156.67000000,38081619.58714900,0
1627862400000,1.67970000,2.17500000,1.65260000,1.82860000,28295107.78000000,1628467199999,52161400.26212300,216105,14202633.73000000,26225227.88785400,0
1628467200000,1.83050000,2.19400000,1.72420000,2.16930000,28485234.77000000,1629071999999,56488155.73696500,242088,14040199.71000000,27845351.88117000,0
1629072000000,2.16570000,2.66280000,1.92650000,2.61840000,32280383.11000000,1629676799999,73099206.90098000,299996,16337793.16000000,37049676.29915800,0
1629676800000,2.61840000,2.78450000,2.37200000,2.47700000,28049954.17000000,1630281599999,72776885.66926100,266273,13731182.94000000,35652245.52428500,0
1630281600000,2.47400000,2.89400000,2.27400000,2.80000000,22636901.08000000,1630886399999,58470038.12599700,221768,11536394.57000000,29861091.76686700,0
1630886400000,2.80000000,2.83700000,1.74000000,1.99100000,32186253.59000000,1631491199999,67133630.67696200,285416,16018140.46000000,33369158.66304300,0
1631491200000,1.99100000,2.25000000,1.77300000,1.91800000,27205139.80000000,1632095999999,55787096.45090000,222806,13677366.50000000,28048360.81220000,0
1632096000000,1.91800000,1.92000000,1.41800000,1.56700000,23711100.23000000,1632700799999,38759197.96349700,175322,11712237.38000000,19136908.05265000,0
1632700800000,1.56400000,1.91700000,1.49200000,1.91400000,14872648.60000000,1633305599999,25091536.27490000,120177,7420922.80000000,12520423.33020000,0
1633305600000,1.91400000,2.08600000,1.75400000,1.78400000,19592088.70000000,1633910399999,37487062.01506700,188358,9875618.00000000,18922739.35666700,0
1633910400000,1.78300000,3.57900000,1.63800000,2.44100000,112212409.74000000,1634515199999,318113900.30392000,1106252,56595760.50000000,160811047.25269000,0
1634515200000,2.44500000,2.67000000,2.17400000,2.24800000,25501312.30000000,1635119999999,61008501.22530000,216557,12555270.60000000,30070444.76070000,0
1635120000000,2.25000000,2.66000000,2.00000000,2.55400000,29198586.70000000,1635724799999,68028179.92620000,289932,14681610.20000000,34298293.06970000,0
1635724800000,2.55900000,2.95900000,2.36800000,2.61400000,30270745.50000000,1636329599999,80852409.03010000,317853,15628435.20000000,41780534.70750000,0
1636329600000,2.61700000,2.82100000,2.14700000,2.44600000,16306658.90000000,1636934399999,40590961.57000000,171009,7981789.90000000,19879470.31460000,0
1636934400000,2.44800000,2.53200000,1.84900000,2.13300000,14740353.00000000,1637539199999,31592820.97670000,145726,7284136.10000000,15627162.05070000,0
1637539200000,2.13300000,2.55500000,2.03100000,2.20100000,21768814.30000000,1638143999999,49511808.95720000,206248,10710696.10000000,24368862.50710000,0
1638144000000,2.19700000,2.96000000,1.42100000,1.67300000,80715380.90000000,1638748799999,188076483.38570000,636174,40609633.00000000,94873055.81820000,0
1638748800000,1.67400000,1.69000000,1.43400000,1.65600000,4661396.00000000,1639353599999,7332384.75570000,42139,2343212.10000000,3690217.94610000,0
