otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1633305600000,0.06001000,4.75000000,0.06001000,3.17000000,555513349.00000000,1633910399999,2004918548.41847000,3509436,279396318.00000000,1012976638.36206000,0
1633910400000,3.17000000,3.35000000,2.09700000,2.39391000,210436931.00000000,1634515199999,536412503.25844000,1223989,99669762.00000000,254484727.12491000,0
1634515200000,2.39434000,2.57030000,1.65162000,1.72681000,71418937.00000000,1635119999999,149709725.07585000,365245,32916433.00000000,69110978.98365000,0
1635120000000,1.72540000,2.05531000,1.54763000,1.69824000,93955590.00000000,1635724799999,168581243.77385000,385243,45180955.00000000,81279328.85110000,0
1635724800000,1.69953000,2.64982000,1.64704000,1.73568000,144992230.00000000,1636329599999,303285460.01387000,711830,70586487.00000000,148352528.92525000,0
1636329600000,1.73289000,1.77999000,1.26787000,1.40509000,77284698.00000000,1636934399999,114821461.24038000,275972,37728741.00000000,56073245.98923000,0
1636934400000,1.40391000,1.40590000,1.05580000,1.22792000,81606230.00000000,1637539199999,100051914.40316000,230002,39612634.00000000,48553694.96461000,0
1637539200000,1.22733000,1.40014000,1.00000000,1.21134000,141985520.00000000,1638143999999,169391138.62546000,387641,67312151.00000000,80699015.71992000,0
1638144000000,1.21137000,1.65000000,0.80000000,0.84409000,209772624.00000000,1638748799999,269511579.63216000,631736,104955432.00000000,135365164.68020000,0
1638748800000,0.84409000,0.84409000,0.70900000,0.81154000,12562139.00000000,1639353599999,9737472.54523000,31201,6152227.00000000,4766416.23247000,0
