otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.06059000,0.06946000,0.05961000,0.06529000,16030832.70000000,1609545599999,1051031.37889600,8401,7916613.00000000,519708.98242900,0
1609545600000,0.06528000,0.06542000,0.06230000,0.06286000,9644580.50000000,1609631999999,615739.74987100,6160,4535440.40000000,289811.12177000,0
1609632000000,0.06273000,0.06871000,0.06100000,0.06747000,16575541.80000000,1609718399999,1067874.63113600,9243,8504664.30000000,548451.36920100,0
1609718400000,0.06798000,0.07598000,0.06400000,0.07192000,22533824.90000000,1609804799999,1558398.64153100,14389,10983906.90000000,761424.49587600,0
1609804800000,0.07192000,0.08327000,0.06830000,0.08112000,50136023.70000000,1609891199999,3782487.43534300,22913,24848011.80000000,1885676.63091600,0
1609891200000,0.08165000,0.09420000,0.07800000,0.08449000,43615558.60000000,1609977599999,3769776.92465000,24616,23022399.00000000,1990856.67457800,0
1609977600000,0.08469000,0.09543000,0.07650000,0.08055000,32505736.10000000,1610063999999,2800424.67668200,21121,15858223.50000000,1366945.36474700,0
1610064000000,0.08055000,0.08295000,0.06800000,0.07881000,33890766.20000000,1610150399999,2592042.69616500,17720,16949350.10000000,1297290.73290100,0
1610150400000,0.07881000,0.09472000,0.07550000,0.09049000,26507374.00000000,1610236799999,2278093.76730200,17406,13585472.90000000,1169289.25716200,0
1610236800000,0.09049000,0.09814000,0.07987000,0.08772000,27401996.60000000,1610323199999,2483749.85586100,20439,13472874.60000000,1223897.70354900,0
1610323200000,0.08771000,0.08857000,0.06221000,0.07090000,45457519.50000000,1610409599999,3262058.48685500,19998,22614842.50000000,1624533.48307100,0
1610409600000,0.07075000,0.07657000,0.06568000,0.06926000,26005334.00000000,1610495999999,1837926.96215500,12164,13540982.90000000,957506.90691800,0
1610496000000,0.06943000,0.07876000,0.06602000,0.07830000,24202548.50000000,1610582399999,1763627.75149900,14945,12447494.90000000,906720.88538000,0
1610582400000,0.07830000,0.08260000,0.07471000,0.07942000,20963816.50000000,1610668799999,1648563.53413200,12262,10909453.90000000,857931.11061600,0
1610668800000,0.07965000,0.09300000,0.07642000,0.08594000,32377441.60000000,1610755199999,2749661.62569000,19819,16872366.30000000,1434689.03340300,0
1610755200000,0.08602000,0.10097000,0.08602000,0.09510000,36909502.30000000,1610841599999,3509079.68261800,23187,18702916.00000000,1781307.75006700,0
1610841600000,0.09503000,0.11200000,0.08831000,0.10774000,42451717.00000000,1610927999999,4181824.97735200,25678,22047469.80000000,2178633.04049000,0
1610928000000,0.10759000,0.11986000,0.10640000,0.11425000,34159705.60000000,1611014399999,3827639.69548500,26170,17554693.30000000,1970514.02935200,0
1611014400000,0.11380000,0.14763000,0.10810000,0.14029000,89471423.20000000,1611100799999,11820871.83282100,68304,47152477.90000000,6221800.10167900,0
1611100800000,0.14041000,0.16189000,0.13401000,0.15193000,119493293.80000000,1611187199999,17676541.69627100,140990,60920580.10000000,9027914.90116700,0
1611187200000,0.15193000,0.15254000,0.11523000,0.11617000,79231810.00000000,1611273599999,10351637.74050600,111053,39089858.10000000,5095855.92564600,0
1611273600000,0.11612000,0.14494000,0.10800000,0.13593000,67905440.10000000,1611359999999,8643598.29021300,99453,34537331.70000000,4404046.06221700,0
1611360000000,0.13593000,0.15200000,0.13313000,0.14328000,60488961.10000000,1611446399999,8609565.71109700,93010,31633009.00000000,4507444.83710000,0
1611446400000,0.14326000,0.15111000,0.12906000,0.13521000,47243976.50000000,1611532799999,6614979.19104200,73001,22574560.40000000,3165093.85507000,0
1611532800000,0.13526000,0.15082000,0.13128000,0.14891000,45592341.30000000,1611619199999,6380245.83345800,68358,23411132.60000000,3286020.57429200,0
1611619200000,0.14889000,0.15950000,0.13523000,0.14455000,41619353.10000000,1611705599999,6061825.23575600,60670,21211216.90000000,3093987.02467500,0
1611705600000,0.14439000,0.14464000,0.11785000,0.12452000,23451672.20000000,1611791999999,3022920.65378700,19653,11455493.90000000,1474545.14253500,0
1611792000000,0.12401000,0.14717000,0.12021000,0.13738000,26203885.50000000,1611878399999,3650825.08073500,25162,12481162.40000000,1736395.27324700,0
1611878400000,0.13712000,0.14357000,0.13132000,0.13700000,27970905.90000000,1611964799999,3838669.62380600,21864,12764225.20000000,1756489.39552600,0
