otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,28.67400000,31.42000000,27.78600000,29.14800000,36400.47000000,1609545599999,1078463.81314000,4243,20483.50000000,605449.55432000,0
1609545600000,29.04000000,31.30000000,27.37500000,29.98700000,36727.10000000,1609631999999,1075630.16381000,4630,14113.52000000,417629.84451000,0
1609632000000,29.88600000,36.00000000,29.20000000,35.04800000,83249.27000000,1609718399999,2774135.42628000,10027,45560.68000000,1517459.78166000,0
1609718400000,35.10700000,38.57700000,29.70000000,34.12300000,65980.09000000,1609804799999,2231960.29302000,8199,29181.15000000,991165.31848000,0
1609804800000,34.30000000,35.16400000,30.70000000,35.16400000,30405.31000000,1609891199999,1006567.67707000,4784,15552.39000000,515555.12212000,0
1609891200000,35.16400000,35.91200000,33.06500000,35.54700000,39509.59000000,1609977599999,1352764.23654000,5347,21576.21000000,735669.85454000,0
1609977600000,35.61100000,39.29800000,33.63200000,37.37700000,56646.64000000,1610063999999,2107725.86771000,6538,25912.36000000,967405.55006000,0
1610064000000,37.21200000,37.30500000,31.93300000,35.32100000,28684.67000000,1610150399999,998955.24628000,4646,13882.45000000,484968.60050000,0
1610150400000,35.14600000,38.50000000,33.50400000,37.85800000,16463.61000000,1610236799999,602358.32574000,2621,8075.33000000,295846.49649000,0
1610236800000,37.97000000,40.23100000,30.38500000,35.03900000,43962.63000000,1610323199999,1618327.63179000,5607,24168.06000000,899444.95809000,0
1610323200000,34.92500000,34.92500000,22.60000000,27.37500000,51587.74000000,1610409599999,1457809.04773000,6769,21393.33000000,590579.25784000,0
1610409600000,27.56700000,30.52500000,25.91300000,27.63400000,21003.45000000,1610495999999,597946.05894000,3590,10447.11000000,298253.93628000,0
1610496000000,27.70400000,31.08000000,25.56400000,30.51400000,45457.27000000,1610582399999,1297108.92043000,4838,22856.39000000,653860.71284000,0
1610582400000,30.50000000,33.29600000,29.63900000,33.06900000,15408.19000000,1610668799999,488668.51840000,2633,8169.55000000,259861.07229000,0
1610668800000,33.05900000,34.29500000,27.92400000,31.45000000,22388.85000000,1610755199999,708938.37749000,4175,11322.10000000,358355.26713000,0
1610755200000,31.68100000,36.66600000,31.00100000,34.71000000,61681.71000000,1610841599999,2148804.49031000,3470,47294.97000000,1652020.76583000,0
1610841600000,34.83000000,40.84500000,30.97200000,39.31700000,44677.67000000,1610927999999,1648430.10559000,5333,22629.67000000,839541.27902000,0
1610928000000,39.24800000,41.21900000,36.20000000,38.29400000,26586.55000000,1611014399999,1019450.79165000,3761,13968.15000000,534828.36768000,0
1611014400000,38.15800000,41.15300000,31.95000000,33.20000000,74271.79000000,1611100799999,2758060.76632000,7414,31808.14000000,1184277.72978000,0
1611100800000,33.20000000,33.65400000,29.50300000,33.22500000,35889.65000000,1611187199999,1129305.05784000,4585,17940.38000000,564699.07592000,0
1611187200000,33.37400000,33.37400000,26.42100000,27.06100000,24184.97000000,1611273599999,716641.00425000,3675,10542.15000000,318889.60455000,0
1611273600000,26.94400000,31.25700000,24.34300000,30.47700000,31400.19000000,1611359999999,901035.29536000,5208,19737.07000000,564980.38011000,0
1611360000000,30.53000000,31.95600000,28.22900000,30.60300000,13026.79000000,1611446399999,392422.92781000,2650,6269.15000000,189410.25995000,0
1611446400000,30.51500000,32.77900000,29.51200000,32.09900000,35825.74000000,1611532799999,1126682.69983000,4502,19281.71000000,604879.42267000,0
1611532800000,32.13800000,34.63000000,29.44500000,31.65200000,34570.55000000,1611619199999,1134402.06590000,4715,17707.97000000,580674.06911000,0
1611619200000,31.57800000,32.96300000,27.80000000,31.67300000,20518.84000000,1611705599999,619681.69840000,4089,8670.52000000,263071.81293000,0
1611705600000,31.57100000,32.18100000,27.62700000,29.97900000,33593.13000000,1611791999999,1007378.16740000,5041,16810.07000000,505557.90702000,0
1611792000000,29.80600000,33.77000000,28.91500000,32.55400000,15612.79000000,1611878399999,497930.12234000,3000,10336.66000000,328771.72690000,0
1611878400000,32.83700000,35.80700000,31.59000000,33.34300000,21397.83000000,1611964799999,724404.29818000,4031,12378.74000000,418212.43172000,0
1611964800000,33.46700000,37.92900000,32.89800000,37.08400000,22118.88000000,1612051199999,806475.07885000,3634,12888.77000000,470815.91006000,0
1612051200000,37.22000000,39.10300000,34.22000000,36.43500000,19779.89000000,1612137599999,720974.40516000,3911,10985.07000000,400907.54074000,0
1612137600000,36.19500000,55.15400000,34.45400000,52.37700000,182600.98000000,1612223999999,8276421.00030000,18542,85702.61000000,3907997.25542000,0
1612224000000,52.52100000,56.10000000,47.73400000,51.36400000,45883.16000000,1612310399999,2368501.87762000,9253,24851.76000000,1286289.75339000,0
1612310400000,51.60600000,55.89600000,49.10600000,54.52900000,31189.98000000,1612396799999,1634891.40776000,5993,16648.83000000,872024.99659000,0
1612396800000,54.97700000,64.73000000,52.29500000,63.11900000,33335.27000000,1612483199999,1949245.32659000,8463,17115.54000000,990386.97177000,0
1612483200000,62.85900000,86.80000000,62.85900000,85.00000000,53642.13000000,1612569599999,3958708.54964000,12940,28398.23000000,2103960.65046000,0
1612569600000,84.51000000,100.46600000,73.00000000,94.07500000,132027.49000000,1612655999999,11920135.53048000,28838,65285.54000000,5922027.65887000,0
1612656000000,93.52200000,98.30000000,75.00000000,84.77200000,44007.30000000,1612742399999,3762017.64359000,12864,21740.63000000,1858679.39134000,0
1612742400000,84.44200000,113.73200000,82.79500000,113.51400000,57032.86000000,1612828799999,5541783.64732000,16238,32782.99000000,3190761.72401000,0
1612828800000,113.44100000,324.00000000,109.37000000,184.27800000,146891.61000000,1612915199999,24019221.47486000,39699,79913.27000000,13166087.63967000,0
