otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,35.10700000,40.23100000,29.70000000,35.03900000,281652.54000000,1610323199999,9918659.27815000,37742,138347.95000000,4890055.90028000,0
1610323200000,34.92500000,40.84500000,22.60000000,39.31700000,262204.88000000,1610927999999,8347705.51889000,30808,144113.12000000,4652472.29123000,0
1610928000000,39.24800000,41.21900000,24.34300000,32.09900000,241185.68000000,1611532799999,8043598.54306000,31795,119546.75000000,3961964.84066000,0
1611532800000,32.13800000,39.10300000,27.62700000,36.43500000,167591.91000000,1612137599999,5511245.83623000,28421,89777.80000000,2968011.39848000,0
1612137600000,36.19500000,100.46600000,34.45400000,84.77200000,522686.31000000,1612742399999,33869921.33598000,96893,259743.14000000,16941366.67784000,0
1612742400000,84.44200000,324.00000000,82.79500000,248.71200000,631212.32000000,1613347199999,131777397.10912000,238346,334846.21000000,69546408.61481000,0
1613347200000,249.00700000,999.00000000,193.06600000,745.70400000,570030.90000000,1613951999999,322879395.01917000,442363,290769.81000000,164299519.02360000,0
1613952000000,746.82600000,750.37200000,317.23700000,421.32100000,483483.66000000,1614556799999,246738794.08920000,457453,241911.64000000,123465943.93572000,0
1614556800000,421.98100000,608.99900000,408.16200000,502.67000000,242590.06000000,1615161599999,123698178.09191000,349127,122103.11000000,62590757.71012000,0
1615161600000,505.02800000,799.90000000,458.34900000,577.14300000,253225.80000000,1615766399999,160902989.40648000,372722,125376.79000000,79662071.01918000,0
1615766400000,574.69400000,634.82100000,473.11200000,567.10100000,90177.05000000,1616371199999,50937254.52612000,170681,44437.22000000,25150350.76782000,0
1616371200000,568.38400000,629.99000000,371.88700000,572.78000000,142267.64000000,1616975999999,72023315.64314000,241753,70724.41000000,35955195.62937000,0
1616976000000,570.00200000,936.67500000,550.73000000,900.21700000,178373.71000000,1617580799999,137203000.87700000,358093,90895.62000000,70083779.25113000,0
1617580800000,899.98800000,1658.22000000,844.09600000,1638.54800000,145478.49000000,1618185599999,170188806.74093000,507443,73573.53000000,86112807.25272000,0
1618185600000,1643.14400000,2220.00000000,1031.18000000,1318.76700000,175473.16000000,1618790399999,300487607.40915000,657813,87618.79000000,149267381.41436000,0
1618790400000,1318.76600000,2100.00000000,975.00000000,1278.00000000,239149.67000000,1619395199999,355901773.58215000,909021,118926.37000000,177297319.02304000,0
1619395200000,1276.41200000,2148.07700000,1259.91600000,1991.70000000,198006.12000000,1619999999999,339655342.22199000,1017274,100691.24000000,172123807.90380000,0
1620000000000,1990.34400000,2350.00000000,1850.46400000,2213.93200000,96279.81000000,1620604799999,202067817.84706000,646741,49965.76000000,104752547.82794000,0
1620604800000,2213.94600000,2441.19700000,1384.69500000,1573.85600000,107299.01000000,1621209599999,199746945.28850000,747890,52588.77000000,98339952.01317000,0
1621209600000,1573.85900000,1574.57500000,120.00000000,213.50000000,1772808.64000000,1621814399999,715341615.92758000,1179174,856974.28000000,338316934.64132000,0
1621814400000,213.50000000,430.00000000,209.99600000,292.53800000,872923.55000000,1622419199999,278891812.02740000,950008,430516.79000000,137794722.07106000,0
1622419200000,292.62900000,511.57800000,261.54200000,424.76100000,883170.25000000,1623023999999,362690109.58738000,1105994,439038.88000000,180198192.69971000,0
1623024000000,425.12200000,455.59700000,273.06200000,357.71800000,866552.48000000,1623628799999,293837383.37815000,941108,419913.44000000,142316878.92188000,0
1623628800000,357.10900000,384.24400000,247.57300000,299.94500000,405648.76000000,1624233599999,131263771.61973000,496552,191467.79000000,62106427.87412000,0
1624233600000,299.99900000,305.00000000,119.08900000,200.08000000,1337545.46000000,1624838399999,252080885.51394000,755903,665142.75000000,124989338.34651000,0
1624838400000,200.33300000,234.88700000,180.43000000,224.90000000,561189.28000000,1625443199999,114796977.80606000,312201,276889.42000000,56706085.79183000,0
1625443200000,224.55600000,273.41600000,202.55000000,247.18200000,464207.78000000,1626047999999,109986033.61063000,336718,232468.50000000,55129967.86128000,0
1626048000000,247.11000000,266.69800000,197.21100000,217.61100000,519128.74000000,1626652799999,117913626.26582000,348415,249765.13000000,56793610.02413000,0
1626652800000,217.50100000,224.00000000,146.45900000,214.93700000,555310.83000000,1627257599999,104946221.93737000,326717,270706.00000000,51307446.23061000,0
1627257600000,214.75100000,299.51000000,206.40500000,269.84000000,261194.50000000,1627862399999,62633337.01641000,181594,130541.29000000,31434719.22869000,0
1627862400000,269.59000000,327.26000000,238.00000000,288.07000000,98179.82000000,1628467199999,27521298.17350000,109366,49944.20000000,14055081.73770000,0
1628467200000,287.99000000,460.99000000,269.19000000,449.17000000,120076.54000000,1629071999999,45564479.95872000,181952,62512.93000000,23709220.60792000,0
1629072000000,448.05000000,557.60000000,372.55000000,525.54000000,95185.69000000,1629676799999,44959107.11122000,185521,47883.14000000,22592624.13052000,0
1629676800000,526.97000000,701.00000000,521.58000000,593.84000000,98624.75000000,1630281599999,60810049.43718000,195790,49146.60000000,30323298.02218000,0
1630281600000,592.00000000,668.82000000,517.10000000,650.09000000,59648.63000000,1630886399999,35593828.84960000,120714,28835.17000000,17222273.08250000,0
1630886400000,649.81000000,660.76000000,230.14000000,371.65000000,119177.75000000,1631491199999,47671768.94190000,167382,58475.16000000,23392660.56290000,0
1631491200000,372.01000000,416.81000000,300.00000000,355.68000000,48654.32000000,1632095999999,17665951.64380000,94697,23333.28000000,8470602.98960000,0
1632096000000,355.75000000,358.31000000,187.10000000,226.39000000,113706.87000000,1632700799999,28375184.08415000,120605,56966.75000000,14199940.35840000,0
1632700800000,226.24000000,388.26000000,203.42000000,375.16000000,85355.43000000,1633305599999,24264368.20300000,102117,41870.11000000,11918370.54940000,0
1633305600000,374.57000000,417.61000000,319.00000000,323.92000000,50227.29000000,1633910399999,18731184.23310000,95366,24583.63000000,9176948.04830000,0
1633910400000,323.00000000,490.19000000,299.80000000,461.49000000,85067.90000000,1634515199999,35386195.88230000,138678,41961.70000000,17441136.10790000,0
1634515200000,462.00000000,547.40000000,440.34000000,463.19000000,48908.37000000,1635119999999,24047008.50340000,95982,24018.42000000,11824196.34510000,0
1635120000000,464.41000000,596.55000000,338.31000000,554.49000000,51939.45000000,1635724799999,24579594.50230000,113737,25860.64000000,12243405.58330000,0
1635724800000,556.44000000,986.86000000,525.65000000,925.24000000,45751.58000000,1636329599999,33108511.70084000,172700,23717.78000000,17182686.94724000,0
1636329600000,925.24000000,963.30000000,690.00000000,902.91000000,32715.37000000,1636934399999,27974915.49440000,103389,16131.46000000,13773550.59620000,0
1636934400000,905.10000000,926.49000000,550.00000000,729.34000000,31133.77000000,1637539199999,22607155.63490000,106462,15228.87000000,11052856.65190000,0
1637539200000,729.34000000,926.42000000,650.00000000,793.87000000,30362.67000000,1638143999999,22996984.61390000,112251,15313.05000000,11613431.77850000,0
1638144000000,794.80000000,901.46000000,450.00000000,630.66000000,44060.35000000,1638748799999,29683188.40630000,134197,22577.45000000,15123581.39610000,0
1638748800000,631.96000000,732.00000000,566.60000000,710.75000000,6122.72000000,1639353599999,3874811.01130000,22306,2996.45000000,1898052.91040000,0
