otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,37.35960000,38.95900000,36.95550000,37.77620000,2435989.12700000,1609545599999,92358608.11308390,287020,1211046.86900000,45917587.07338500,0
1609545600000,37.76370000,38.87980000,36.80000000,38.23310000,3018062.20600000,1609631999999,114060050.84962810,342120,1515999.02900000,57304776.31829290,0
1609632000000,38.23310000,41.70170000,37.76300000,41.25750000,4903626.69700000,1609718399999,195224916.82053100,499815,2538670.21300000,101002743.07460430,0
1609718400000,41.25600000,43.20390000,38.02000000,41.13330000,5306248.16600000,1609804799999,214835112.08725190,546562,2748524.55700000,111379845.61714710,0
1609804800000,41.13000000,41.83750000,38.80140000,41.82190000,3513141.34600000,1609891199999,141831731.95876310,410985,1788689.04200000,72265488.73936050,0
1609891200000,41.82710000,42.26700000,40.45310000,42.24170000,3784444.68700000,1609977599999,156404649.31636990,417519,1864717.10000000,77109380.97476300,0
1609977600000,42.24400000,44.90000000,41.36600000,43.57280000,5026746.66900000,1610063999999,216717611.76971210,523288,2535285.66800000,109380395.08584490,0
1610064000000,43.57280000,43.72200000,40.23130000,42.35600000,3548923.78800000,1610150399999,149951576.85134530,411558,1804018.63200000,76246982.43869240,0
1610150400000,42.34500000,44.05520000,41.50000000,43.84790000,2720363.63600000,1610236799999,116290473.53861750,294683,1458819.25300000,62429021.61184670,0
1610236800000,43.84790000,45.16200000,40.00000000,42.40310000,4277406.29000000,1610323199999,185165251.13206460,431771,2147084.16200000,93038871.70609660,0
1610323200000,42.40330000,42.50940000,35.03740000,38.16740000,6332801.05500000,1610409599999,243017347.96947130,664128,3174405.76900000,121735208.64152900,0
1610409600000,38.16230000,40.19890000,37.00000000,38.25410000,3261261.81000000,1610495999999,125897888.04795700,342953,1694961.86800000,65468036.38605400,0
1610496000000,38.27030000,40.44990000,37.02000000,40.11140000,3512089.38500000,1610582399999,135791180.05745700,366040,1870527.11100000,72423038.89911440,0
1610582400000,40.11140000,42.00000000,39.57390000,41.87230000,3306689.93300000,1610668799999,135085613.30355000,306640,1701948.68100000,69561800.46053810,0
1610668800000,41.87210000,42.56220000,38.66160000,40.86680000,3431358.93600000,1610755199999,140633163.62560230,363002,1713572.01300000,70259834.05372600,0
1610755200000,40.89510000,44.12000000,40.62500000,43.14200000,3243054.41400000,1610841599999,138015822.23121690,362622,1631631.28500000,69475964.02897810,0
1610841600000,43.14130000,46.72280000,40.91920000,45.86750000,3878914.29900000,1610927999999,169754085.72277670,445985,1968186.29100000,86107135.70119050,0
1610928000000,45.86450000,46.88880000,44.02780000,45.34120000,3069449.93800000,1611014399999,139399114.15538980,366780,1621464.03900000,73628836.32482630,0
1611014400000,45.35920000,47.21870000,41.70000000,42.52410000,5151546.87200000,1611100799999,229455474.24325180,513040,2599956.86100000,116002911.42118300,0
1611100800000,42.52410000,43.09920000,40.20000000,42.60690000,3709936.49200000,1611187199999,154503844.31120200,424497,1925380.86400000,80231634.37000170,0
1611187200000,42.60560000,42.71760000,38.20000000,38.63430000,3388587.65700000,1611273599999,137245296.20173360,428440,1698015.51400000,68782961.64354100,0
1611273600000,38.65960000,41.52800000,36.85180000,40.89360000,3088685.29500000,1611359999999,122212901.76384950,382460,1590742.57900000,63014625.29836670,0
1611360000000,40.89380000,41.88000000,39.45550000,40.91090000,2531809.64800000,1611446399999,103044289.63642610,244514,1342648.73300000,54685755.38694530,0
1611446400000,40.91130000,42.20000000,40.31440000,41.82630000,2340747.62300000,1611532799999,97017133.59785130,217223,1318156.75900000,54670519.18238080,0
1611532800000,41.82700000,43.42410000,40.53640000,41.83470000,2778238.02000000,1611619199999,117399838.40631640,336526,1437150.41600000,60745745.89233210,0
1611619200000,41.83470000,42.59800000,39.69550000,41.83960000,2758108.62200000,1611705599999,113401083.84833740,336515,1412818.16900000,58139352.19544790,0
1611705600000,41.83970000,42.09840000,39.61020000,40.88260000,2638401.37800000,1611791999999,108149178.35937360,367923,1347626.69000000,55247217.27694380,0
1611792000000,40.89570000,43.08500000,40.31700000,42.52540000,2984098.65100000,1611878399999,125825473.66062470,366517,1605987.65200000,67792465.56039340,0
1611878400000,42.52770000,44.00000000,41.80170000,42.86180000,3433689.48400000,1611964799999,147364483.45470290,481047,1728245.52000000,74215737.72484850,0
1611964800000,42.86530000,45.10710000,42.59110000,44.78490000,2767954.29100000,1612051199999,121803577.41098100,408399,1380161.05500000,60779677.95276930,0
1612051200000,44.80220000,45.82690000,43.30000000,44.32920000,2431692.19800000,1612137599999,107955886.16653170,356678,1272280.64200000,56490926.29594900,0
1612137600000,44.32910000,52.37360000,43.43310000,51.47810000,6095055.41300000,1612223999999,294440153.89566840,674212,3139861.58400000,151650053.08784100,0
1612224000000,51.47620000,53.00000000,49.15720000,51.00710000,4675040.87700000,1612310399999,237619391.94346990,667934,2324364.12000000,118106043.94545210,0
1612310400000,51.02900000,52.70000000,49.78230000,52.12000000,2949735.03600000,1612396799999,150776117.80316860,462818,1478021.88500000,75613932.01469840,0
1612396800000,52.12000000,57.05470000,51.25000000,55.95990000,4004741.29400000,1612483199999,215002299.81799480,579484,2009170.32700000,107865218.57244510,0
1612483200000,55.95930000,68.73000000,55.92020000,67.70050000,5040545.22300000,1612569599999,306515082.62922770,682891,2553628.24400000,155384183.32690510,0
1612569600000,67.62170000,75.50000000,61.70000000,72.83560000,8482528.53100000,1612655999999,595983260.00977280,1151480,4308346.67600000,302785733.72059600,0
1612656000000,72.86930000,74.81990000,64.18030000,68.35420000,5969908.44200000,1612742399999,413359634.35803080,851424,3021096.54300000,209312842.48793260,0
1612742400000,68.35500000,79.88230000,67.61520000,79.83740000,7860567.38900000,1612828799999,573806461.52878580,1279676,4120260.43500000,301029214.69672290,0
1612828800000,79.87340000,116.24000000,78.03810000,107.34690000,12487305.86800000,1612915199999,1222317019.46055390,1979175,6447029.41700000,630568283.44229020,0
1612915200000,107.34960000,148.40000000,107.28110000,128.97110000,16613534.27400000,1613001599999,2139218096.50960630,2836233,8398597.77700000,1082406763.25624060,0
1613001600000,128.94630000,132.80000000,117.72890000,124.08500000,5920400.25500000,1613087999999,737374300.58759530,1185612,3047395.25100000,379874522.73723780,0
1613088000000,124.11290000,141.32000000,120.89000000,136.61390000,5626020.82400000,1613174399999,740055607.98707900,1155321,2942482.77900000,386870697.18071190,0
1613174400000,136.73210000,138.50670000,125.00000000,133.34960000,3785723.40200000,1613260799999,497454132.37548690,936880,1928761.33800000,253709480.27828920,0
1613260800000,133.34980000,139.00000000,128.46150000,135.86230000,4405507.88500000,1613347199999,588209671.87431580,919313,2232139.51200000,298343025.82633160,0
1613347200000,135.86230000,139.36900000,118.00000000,130.30300000,4772752.80600000,1613433599999,617209050.27922280,953125,2344720.72500000,303521358.68746110,0
1613433600000,129.94930000,133.49250000,126.00000000,130.18300000,3258276.71400000,1613519999999,423640104.86360060,616879,1608528.80800000,209214194.86754690,0
