otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,1.40460000,1.72380000,1.24330000,1.57110000,10604644.58000000,1610323199999,16209312.92880600,104207,5343475.90000000,8162398.20211400,0
1610323200000,1.56960000,1.85680000,1.22220000,1.80580000,9165649.94000000,1610927999999,14483381.15680300,85817,4558487.42000000,7198776.10627600,0
1610928000000,1.80800000,1.90000000,1.44000000,1.84790000,6078171.65000000,1611532799999,10513846.53149400,69097,2903691.96000000,5002827.90511100,0
1611532800000,1.85120000,2.10850000,1.65330000,1.87580000,14652111.40000000,1612137599999,28039350.33728300,130405,7334649.49000000,14075907.07452100,0
1612137600000,1.87210000,2.74050000,1.82970000,2.41080000,17221765.77000000,1612742399999,39165824.94450800,162108,8521922.32000000,19356693.78174500,0
1612742400000,2.41080000,3.75620000,2.36150000,3.51290000,22668452.20000000,1613347199999,70208908.49601200,223237,11689856.33000000,36210971.59995700,0
1613347200000,3.51400000,6.78800000,2.92270000,6.57290000,46711489.43000000,1613951999999,243150140.03757700,509585,23936065.31000000,124615969.63387700,0
1613952000000,6.57760000,6.59710000,4.41150000,4.82100000,24127597.20000000,1614556799999,133693760.19239700,278769,11607182.92000000,64480540.45010600,0
1614556800000,4.82660000,8.89390000,4.77200000,8.45830000,36228849.14000000,1615161599999,257534415.75793400,476728,18337051.13000000,130721114.14733900,0
1615161600000,8.46170000,9.36890000,7.57940000,7.88610000,15366627.67000000,1615766399999,131406691.26343100,285124,7672532.88000000,65762417.37146900,0
1615766400000,7.88610000,8.69000000,7.22800000,8.02630000,9327921.77000000,1616371199999,73705582.87527200,165623,4475808.04000000,35357084.04722600,0
1616371200000,8.02630000,8.10300000,6.61370000,7.14220000,5022455.90000000,1616975999999,36711398.41210900,107978,2491208.09000000,18184569.05299600,0
1616976000000,7.14210000,7.97300000,7.05000000,7.59000000,5268686.32000000,1617580799999,39348564.78376600,113447,3240461.35000000,24181756.68376400,0
1617580800000,7.58730000,7.85000000,6.93380000,7.08960000,4374673.79000000,1618185599999,32204454.58418100,125869,2287262.48000000,16854691.74627900,0
1618185600000,7.09020000,8.20000000,6.13460000,6.98900000,9455514.40000000,1618790399999,70643199.50792800,222252,4902035.55000000,36698748.15924700,0
1618790400000,6.98630000,7.30280000,5.48130000,5.77660000,5823941.28000000,1619395199999,37598700.89144900,115168,2915118.46000000,18832713.53745600,0
1619395200000,5.77760000,7.15600000,5.74950000,6.95590000,4919740.12000000,1619999999999,33035875.09708700,121531,2309682.81000000,15504557.35553400,0
1620000000000,6.96080000,8.44000000,6.95890000,8.13910000,7956580.74000000,1620604799999,60834705.61266800,213884,4183501.62000000,32019633.85702100,0
1620604800000,8.14720000,8.33900000,6.29130000,6.72730000,7611812.25000000,1621209599999,56886359.47000900,217873,3687118.25000000,27533064.67720300,0
1621209600000,6.72510000,6.84550000,3.06650000,3.72460000,10636173.97000000,1621814399999,53809003.14972600,180464,5797501.27000000,29199846.34374400,0
1621814400000,3.73000000,5.30000000,3.71010000,4.29730000,7064111.83000000,1622419199999,31503581.54943300,138674,3645295.45000000,16265224.52038700,0
1622419200000,4.29730000,4.97320000,4.11830000,4.47760000,4197907.95000000,1623023999999,19244156.76960300,87202,2178255.70000000,9978983.11066900,0
