otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1618185600000,118.50000000,138.00000000,80.05000000,93.01600000,178039.16100000,1618790399999,18585640.32690800,57463,94838.55500000,9890741.25756600,0
1618790400000,93.10000000,159.90100000,70.45200000,74.36400000,2400536.78200000,1619395199999,239181360.39464300,482774,1216687.60600000,121765509.53964800,0
1619395200000,74.36400000,98.00000000,72.80200000,92.84700000,668655.67900000,1619999999999,58745268.24453500,146500,369153.68200000,32361729.15523100,0
1620000000000,93.23900000,169.00000000,91.13700000,125.62100000,1766065.41700000,1620604799999,232713221.40160100,565112,947405.02300000,124929822.56704000,0
1620604800000,125.62200000,131.00000000,85.07800000,94.43000000,516781.91900000,1621209599999,54206081.72973600,177253,264046.05600000,27722655.85363200,0
1621209600000,94.99800000,100.00000000,37.30000000,49.81000000,529671.93200000,1621814399999,34036959.72315500,105056,279267.33000000,17889657.46665700,0
1621814400000,49.79500000,69.95700000,45.65000000,56.99900000,241102.01700000,1622419199999,14453413.24431100,55774,123616.41000000,7439435.59399300,0
1622419200000,56.99900000,64.00000000,53.87700000,56.62200000,204709.71500000,1623023999999,11945648.28742700,40273,99982.07000000,5831708.05775100,0
1623024000000,56.69800000,84.55500000,47.23000000,59.03000000,2014371.83800000,1623628799999,133635653.49703700,361523,1047040.93400000,69672223.05672700,0
1623628800000,59.01400000,61.87000000,46.56700000,51.68800000,364108.28100000,1624233599999,20653622.80566100,78005,186362.58700000,10592912.28075800,0
1624233600000,51.64500000,51.91800000,29.14000000,40.94100000,511763.38900000,1624838399999,19997165.61050100,88285,258696.77800000,10094945.76845500,0
1624838400000,40.73100000,54.40500000,39.09700000,48.41400000,341959.67400000,1625443199999,16186602.20235700,78231,185373.10300000,8772632.68799900,0
1625443200000,48.25900000,52.11500000,42.34100000,44.21700000,140948.33500000,1626047999999,6499558.12903200,35936,69764.66600000,3224167.55570700,0
1626048000000,44.39500000,44.91100000,36.31100000,38.26600000,90164.74700000,1626652799999,3659945.01400800,24194,41709.86800000,1691652.55403900,0
1626652800000,38.18100000,44.31900000,33.64300000,43.35300000,138245.20200000,1627257599999,5428197.09780700,33937,73047.90200000,2883542.80486600,0
1627257600000,43.30000000,55.00000000,42.59100000,50.14700000,344717.80400000,1627862399999,16969342.03240400,89327,171477.05200000,8464867.43460800,0
1627862400000,50.09400000,61.60400000,48.40300000,56.19300000,446167.58800000,1628467199999,24983261.48608700,118789,224167.60900000,12583729.21783000,0
1628467200000,56.23200000,72.52400000,54.29700000,70.48500000,356642.99400000,1629071999999,22556657.48359700,97432,185542.21200000,11747915.55658500,0
1629072000000,70.48500000,79.02500000,58.13800000,71.63500000,361333.98800000,1629676799999,24763046.52280900,97832,184820.30000000,12683342.01428300,0
1629676800000,71.63500000,93.23000000,61.33000000,77.18000000,515878.69300000,1630281599999,39807833.03151200,156230,272672.18800000,20917311.14388000,0
1630281600000,77.37000000,88.60000000,73.88000000,84.45000000,339563.75000000,1630886399999,27493645.36060000,102915,176749.05000000,14327968.62120000,0
1630886400000,84.41000000,84.99000000,60.11100000,66.52000000,188255.93800000,1631491199999,13353347.04161400,57056,94183.11000000,6685825.58120000,0
1631491200000,66.52000000,71.19000000,61.10000000,64.20000000,100755.99000000,1632095999999,6644567.19670000,31627,51305.53000000,3389341.71700000,0
1632096000000,64.15000000,64.20000000,48.27000000,51.71000000,189600.70000000,1632700799999,10223299.61119500,38324,99207.33400000,5340091.00016000,0
1632700800000,51.70000000,60.17000000,48.63000000,59.02000000,115521.31000000,1633305599999,6156487.65070000,29768,59622.48000000,3187977.93760000,0
1633305600000,58.94000000,77.73000000,55.80000000,65.45000000,516156.49000000,1633910399999,35623304.82880000,116286,264655.76000000,18294939.94670000,0
1633910400000,65.50000000,75.20000000,65.12000000,67.91000000,293310.37000000,1634515199999,20678590.01240000,79524,146492.87000000,10344183.60410000,0
1634515200000,67.92000000,72.95000000,65.94000000,67.16000000,250885.17000000,1635119999999,17274810.96450000,46423,125285.22000000,8634415.31500000,0
1635120000000,67.15000000,69.23000000,58.52000000,65.43000000,125283.69000000,1635724799999,8052989.03020000,35746,64211.10000000,4130714.14900000,0
1635724800000,65.44000000,68.00000000,61.92000000,64.21000000,125457.31000000,1636329599999,8127499.56270000,28212,62214.82000000,4034411.65070000,0
1636329600000,64.28000000,75.96000000,63.28000000,66.81000000,247715.34000000,1636934399999,17217287.33390000,60793,119449.87000000,8313206.61990000,0
1636934400000,66.92000000,67.41000000,55.53000000,58.92000000,255196.85000000,1637539199999,15313596.17290000,41040,130437.05000000,7826474.19220000,0
1637539200000,59.08000000,61.57000000,51.83000000,55.11000000,110182.13000000,1638143999999,6223156.73140000,27388,55378.07000000,3129447.47430000,0
1638144000000,55.11000000,58.70000000,32.81000000,42.11000000,126898.97500000,1638748799999,6172248.89258200,27963,60713.30900000,2983304.23934000,0
1638748800000,41.95000000,50.40000000,38.89000000,46.46000000,101395.50000000,1639353599999,4573598.83418800,20888,49297.79000000,2226929.13538800,0
