otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1619395200000,8.54000000,21.70000000,8.02000000,20.72000000,25086205.90000000,1619999999999,370414291.59200000,861178,12598524.90000000,187265553.24600000,0
1620000000000,20.71000000,29.00000000,12.52000000,16.77000000,59640431.70000000,1620604799999,1142114638.92200000,2420522,29325649.10000000,564061377.75300000,0
1620604800000,16.77000000,18.00000000,10.73000000,12.00000000,18144169.80000000,1621209599999,246557999.29600000,717126,8680076.90000000,118010031.53700000,0
1621209600000,12.00000000,12.71000000,3.50000000,4.49000000,14576648.80000000,1621814399999,123167332.43900000,396996,6893654.30000000,58167516.56900000,0
1621814400000,4.49000000,10.62000000,4.26000000,6.29000000,27524294.30000000,1622419199999,210003563.16400000,746527,13322898.90000000,101649043.31800000,0
1622419200000,6.28000000,7.40000000,5.55000000,5.96000000,11839379.60000000,1623023999999,74997629.68900000,279766,5800535.40000000,36788866.97300000,0
1623024000000,5.94000000,7.25000000,4.63000000,5.53000000,16635404.60000000,1623628799999,94679807.66200000,324541,8267815.30000000,47191186.02000000,0
1623628800000,5.54000000,5.84000000,4.25000000,4.69000000,5802237.80000000,1624233599999,30307289.25600000,139923,2810584.40000000,14738960.77700000,0
1624233600000,4.69000000,4.72000000,2.91000000,3.91000000,10218837.50000000,1624838399999,38077774.70500000,163768,4913723.20000000,18316882.77900000,0
1624838400000,3.92000000,4.16000000,3.40000000,3.85000000,4972895.20000000,1625443199999,18946648.48400000,84693,2448298.80000000,9334654.44300000,0
1625443200000,3.86000000,4.46000000,3.51000000,3.83000000,5940408.80000000,1626047999999,23162336.12300000,93756,2828311.50000000,11047588.86900000,0
1626048000000,3.82000000,4.90000000,3.48000000,3.74000000,10653742.00000000,1626652799999,43713886.75500000,169001,5082789.90000000,20960897.48400000,0
1626652800000,3.74000000,4.48000000,3.06000000,4.29000000,7486298.70000000,1627257599999,28023506.03700000,107647,3791826.60000000,14261451.49900000,0
1627257600000,4.28000000,4.79000000,3.73000000,3.93000000,9775297.70000000,1627862399999,39994080.38500000,129980,4746037.70000000,19466624.49900000,0
1627862400000,3.93000000,6.47000000,3.81000000,5.19000000,14090301.30000000,1628467199999,71255595.42800000,238311,7047530.40000000,35630028.33500000,0
1628467200000,5.18000000,5.94000000,4.87000000,5.58000000,12112406.50000000,1629071999999,66031101.19100000,196585,6042595.00000000,33005820.23000000,0
1629072000000,5.58000000,6.34000000,4.96000000,6.18000000,14758532.20000000,1629676799999,83344576.65900000,236465,7431821.30000000,42030362.59300000,0
1629676800000,6.18000000,6.20000000,5.01000000,5.35400000,12343154.50000000,1630281599999,68757061.56220000,205645,6055712.70000000,33771831.51770000,0
1630281600000,5.34200000,5.55000000,4.87000000,5.42000000,10705730.80000000,1630886399999,55654296.61950000,196604,5339379.40000000,27796855.92740000,0
1630886400000,5.42100000,5.54900000,3.80000000,4.17400000,8686147.30000000,1631491199999,39413553.15570000,161712,4217008.10000000,19097437.54250000,0
1631491200000,4.17400000,4.50000000,3.84200000,3.91300000,5621075.50000000,1632095999999,23205786.08210000,91328,2769579.90000000,11454330.24280000,0
1632096000000,3.91600000,4.83800000,3.00000000,3.30800000,12746119.80000000,1632700799999,48106800.90900000,171281,6184207.10000000,23492520.14000000,0
1632700800000,3.30900000,3.70000000,3.09400000,3.50300000,5349454.50000000,1633305599999,18072155.23830000,73048,2585070.50000000,8741536.06900000,0
1633305600000,3.50200000,6.77000000,3.33600000,4.01200000,49479347.30000000,1633910399999,246372618.37390000,643182,24864100.00000000,124472819.22560000,0
1633910400000,4.02200000,5.24800000,3.94100000,4.15300000,18988090.60000000,1634515199999,83259629.64120000,280803,9498250.00000000,41848744.61030000,0
1634515200000,4.15400000,4.42500000,3.97500000,4.05800000,6946092.60000000,1635119999999,29023629.64810000,110878,3315497.00000000,13874968.66850000,0
1635120000000,4.04900000,4.29400000,3.60000000,3.89600000,7243438.70000000,1635724799999,28666957.37880000,110423,3461331.10000000,13712791.54870000,0
1635724800000,3.90000000,4.76400000,3.80000000,4.13100000,11314926.30000000,1636329599999,47250659.21150000,155349,5551291.30000000,23231197.29260000,0
1636329600000,4.13200000,4.27600000,3.78100000,3.92000000,5051639.70000000,1636934399999,20322135.55230000,77052,2250098.30000000,9065828.73990000,0
1636934400000,3.92100000,6.60000000,3.25800000,3.94900000,20898563.00000000,1637539199999,96056787.26390000,229751,10400211.50000000,48570409.32540000,0
1637539200000,3.94900000,4.97000000,3.40000000,3.64000000,26274148.90000000,1638143999999,107164303.89320000,341441,12774711.20000000,52288471.55690000,0
1638144000000,3.64000000,4.15000000,2.71200000,3.15700000,10697667.40000000,1638748799999,37870692.30950000,151200,5137386.40000000,18242838.17130000,0
1638748800000,3.15700000,3.39100000,2.89000000,3.13600000,1831250.80000000,1639353599999,5707585.07160000,24087,874657.60000000,2731366.44850000,0
