otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.99790000,1.00100000,0.99140000,0.99980000,3194006692.12000000,1610323199999,3189141501.99269400,3301652,1559739053.61000000,1557520538.24849000,0
1610323200000,0.99980000,1.00460000,0.99940000,1.00030000,2912223942.57000000,1610927999999,2913829354.26999400,3182820,1433959465.20000000,1434867675.38050600,0
1610928000000,1.00030000,1.00130000,0.99820000,0.99890000,2219283921.32000000,1611532799999,2218676035.33265600,2664617,1091363656.97000000,1091137063.89423300,0
1611532800000,0.99890000,1.00050000,0.99210000,0.99920000,4446045363.56000000,1612137599999,4441094617.81781800,3230431,2245650810.29000000,2243314709.34913200,0
1612137600000,0.99910000,1.00050000,0.99770000,0.99830000,3683666319.09000000,1612742399999,3679977217.46129500,3125126,1874744599.00000000,1872946814.14965400,0
1612742400000,0.99820000,0.99990000,0.99670000,0.99900000,5751609683.60000000,1613347199999,5745265051.85898200,4179079,2963269607.97000000,2960190779.07031200,0
1613347200000,0.99900000,1.00180000,0.99810000,0.99920000,7490389380.14000000,1613951999999,7489899245.60617000,4126043,3843161965.46000000,3843130927.11398400,0
1613952000000,0.99920000,1.00270000,0.99770000,0.99820000,7159004783.35000000,1614556799999,7158402694.47626600,4736194,3614694459.50000000,3614614945.13378100,0
1614556800000,0.99820000,1.00060000,0.99800000,0.99970000,4682676210.11000000,1615161599999,4680586254.35205600,2992440,2333034656.45000000,2332072298.91373700,0
1615161600000,0.99970000,1.00140000,0.99930000,0.99990000,6135701417.45000000,1615766399999,6135741308.71034900,3677253,2987665523.45000000,2987805624.85171400,0
1615766400000,0.99990000,1.00070000,0.99920000,0.99960000,5546396450.80000000,1616371199999,5546302554.37054600,3637253,2666010847.14000000,2666093321.80562900,0
1616371200000,0.99960000,1.00080000,0.99930000,1.00020000,4865358376.29000000,1616975999999,4865157782.23520000,3198423,2339115823.62000000,2339139442.90249100,0
1616976000000,1.00030000,1.00110000,0.99950000,1.00010000,4747334624.83000000,1617580799999,4747590478.78504200,3045626,2318155963.62000000,2318387928.79727000,0
1617580800000,1.00000000,1.00180000,0.99970000,1.00060000,7733708292.31000000,1618185599999,7736481838.90867800,4167406,3877109639.87000000,3878672639.39642100,0
1618185600000,1.00070000,1.00130000,0.97000000,0.99810000,15034494069.83000000,1618790399999,15024537780.92022000,5423257,7198073786.87000000,7193859785.58301900,0
1618790400000,0.99820000,1.00400000,0.99790000,0.99890000,11029523236.12000000,1619395199999,11021680092.56212200,4490527,5493662799.82000000,5489968250.92958600,0
1619395200000,0.99900000,0.99980000,0.99830000,0.99930000,9560988736.99000000,1619999999999,9552678363.29708200,4036923,4726308195.37000000,4722376442.93176900,0
1620000000000,0.99940000,1.00290000,0.99770000,0.99900000,14572233358.43000000,1620604799999,14560129869.35357500,5115342,7338363300.77000000,7332595281.48081200,0
1620604800000,0.99900000,1.00050000,0.99790000,0.99950000,14506123174.44000000,1621209599999,14492972972.89501200,5492897,7216944473.04000000,7210773930.51217800,0
1621209600000,0.99950000,1.00090000,0.98830000,0.99860000,16640971086.79000000,1621814399999,16619499805.41580300,6731090,8113813475.64000000,8103886284.04124500,0
1621814400000,0.99860000,0.99980000,0.99800000,0.99940000,8570861567.35000000,1622419199999,8561543043.68208100,3814335,4145849912.05000000,4141550411.05205900,0
1622419200000,0.99940000,1.00050000,0.99910000,0.99970000,8079632521.45000000,1623023999999,8078077084.81452600,2814501,3991538715.92000000,3990871571.29445600,0
1623024000000,0.99960000,1.00000000,0.99900000,0.99980000,6165914654.41000000,1623628799999,6162983145.00743600,2678633,3087506489.17000000,3086164581.89332800,0
1623628800000,0.99990000,1.00130000,0.99940000,1.00010000,4688779532.50000000,1624233599999,4688254313.07477600,2007175,2307519653.95000000,2307327178.72404200,0
