otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.18000000,0.25750000,0.15730000,0.22130000,171384799.81000000,1610323199999,36402463.16273500,249441,87381459.69000000,18567683.90624100,0
1610323200000,0.22160000,0.29150000,0.16960000,0.28230000,146512010.60000000,1610927999999,33205500.11918200,202522,74476001.52000000,16904917.68237900,0
1610928000000,0.28230000,0.34820000,0.23000000,0.32040000,160321034.97000000,1611532799999,46128180.04484000,270903,80526274.92000000,23211305.50446900,0
1611532800000,0.31980000,0.42000000,0.27720000,0.30750000,169242633.00000000,1612137599999,56984234.47872600,306887,83809209.97000000,28295893.17758700,0
1612137600000,0.30730000,0.53490000,0.29270000,0.43200000,169967283.45000000,1612742399999,69880087.95312600,389079,85865559.85000000,35345922.86643300,0
1612742400000,0.43190000,0.84460000,0.41730000,0.68710000,151078076.29000000,1613347199999,92325327.53776100,379860,76203614.92000000,46624095.03478600,0
1613347200000,0.68860000,0.76390000,0.48630000,0.59220000,182377069.10000000,1613951999999,115535718.37696900,463132,92180558.77000000,58559218.11513300,0
1613952000000,0.59230000,0.61680000,0.34240000,0.37520000,209486006.70000000,1614556799999,96593774.56882600,351990,102511957.02000000,47391388.18159300,0
1614556800000,0.37450000,0.51000000,0.37080000,0.45910000,95787050.98000000,1615161599999,42959494.76409400,219184,49504170.59000000,22243713.91230800,0
1615161600000,0.45990000,0.58420000,0.45180000,0.48590000,125336937.19000000,1615766399999,65033664.95856700,322129,63550734.15000000,32986031.48776300,0
1615766400000,0.48540000,0.69300000,0.45360000,0.56480000,157323071.27000000,1616371199999,91506721.93788700,404933,80110077.33000000,46714385.25770800,0
1616371200000,0.56650000,0.60230000,0.42420000,0.57790000,106171014.37000000,1616975999999,55361410.28559800,276235,54521139.34000000,28490979.94275800,0
1616976000000,0.57910000,0.75810000,0.56210000,0.73760000,118095466.18000000,1617580799999,79963288.08420400,369028,61547739.42000000,41660538.99662300,0
1617580800000,0.73720000,0.98410000,0.69350000,0.82260000,211978629.97000000,1618185599999,180366818.74584800,679822,107012343.70000000,91168660.81132700,0
1618185600000,0.82200000,1.04800000,0.61660000,0.76900000,167903382.13000000,1618790399999,146185566.78401300,642495,83906729.37000000,73169544.30196100,0
1618790400000,0.77000000,0.85000000,0.52050000,0.57390000,152893197.36000000,1619395199999,103844379.91826600,471040,77546848.47000000,52734656.13047200,0
1619395200000,0.57390000,0.92000000,0.56710000,0.83240000,198194218.92000000,1619999999999,157585083.81631500,657268,102637220.55000000,81636666.24747700,0
1620000000000,0.83190000,1.17580000,0.77500000,0.86960000,247919254.90000000,1620604799999,237862447.59112200,850950,126842409.16000000,122002885.95086600,0
1620604800000,0.87080000,0.92500000,0.62670000,0.68180000,199472015.58000000,1621209599999,154771106.97429400,610828,103344851.23000000,80611677.27006500,0
1621209600000,0.68250000,0.72000000,0.18440000,0.24040000,236365294.76000000,1621814399999,95383348.82490500,432296,118280774.93000000,47758662.18868300,0
1621814400000,0.24020000,0.39900000,0.23280000,0.31000000,224121490.72000000,1622419199999,72302909.65853900,359967,113923930.38000000,36773926.97682300,0
1622419200000,0.30970000,0.37980000,0.28610000,0.33700000,169799301.85000000,1623023999999,56205575.35903400,270907,86393262.35000000,28607505.60965800,0
1623024000000,0.33760000,0.34900000,0.24220000,0.28570000,158746644.31000000,1623628799999,45630391.30762600,226702,78656259.37000000,22612074.04415700,0
1623628800000,0.28610000,0.35820000,0.24780000,0.25800000,286090629.77000000,1624233599999,87898268.34544700,268063,148343044.06000000,45562804.17282900,0
1624233600000,0.25810000,0.26060000,0.15060000,0.18290000,184316452.04000000,1624838399999,34470714.10628100,190310,96338888.92000000,17993025.57126400,0
1624838400000,0.18320000,0.22870000,0.17880000,0.21490000,202489749.47000000,1625443199999,41264146.48051700,199296,103986925.60000000,21213868.44131900,0
1625443200000,0.21460000,0.24250000,0.18880000,0.20090000,161083280.82000000,1626047999999,33886177.12791800,162563,81032012.69000000,17087095.51093300,0
1626048000000,0.20120000,0.21990000,0.17230000,0.17490000,171078863.39000000,1626652799999,32753878.78654600,160028,89403760.66000000,17117367.95927300,0
1626652800000,0.17480000,0.22460000,0.14410000,0.20240000,217993918.72000000,1627257599999,40336945.13427900,183725,116336418.82000000,21466767.77989100,0
1627257600000,0.20240000,0.26950000,0.18580000,0.23700000,306585637.23000000,1627862399999,70162118.01264500,297706,159930915.82000000,36577489.68733300,0
1627862400000,0.23700000,0.33300000,0.22750000,0.30310000,245052465.28000000,1628467199999,68613747.68739400,277578,124225439.93000000,34802016.61641500,0
1628467200000,0.30320000,0.37920000,0.29290000,0.37270000,178902953.15000000,1629071999999,61454083.60265600,247662,92845176.13000000,31909428.09815100,0
1629072000000,0.37280000,0.43900000,0.31700000,0.42450000,225558340.05000000,1629676799999,87938221.67775000,369477,113843668.27000000,44461749.46264900,0
1629676800000,0.42430000,0.46470000,0.34640000,0.38660000,141027417.12000000,1630281599999,56805712.90722900,225057,69851531.77000000,28146599.21474900,0
1630281600000,0.38660000,0.43300000,0.35800000,0.42590000,109708302.75000000,1630886399999,44286019.54467500,192874,54488522.19000000,22036785.01191600,0
1630886400000,0.42600000,0.43860000,0.26300000,0.32860000,254381815.28000000,1631491199999,83393842.41312700,321416,129559840.53000000,42439815.66515200,0
1631491200000,0.32840000,0.36910000,0.28190000,0.31790000,158670350.00000000,1632095999999,52697874.81420000,197952,77608054.00000000,25823886.05600000,0
1632096000000,0.31770000,0.31900000,0.22360000,0.25300000,275671101.48000000,1632700799999,72394265.88479500,272093,137992125.51000000,36220738.33150300,0
1632700800000,0.25310000,0.34730000,0.24230000,0.29020000,468443836.00000000,1633305599999,135368867.40640000,461038,235302454.00000000,68066311.33720000,0
1633305600000,0.29040000,0.31940000,0.27020000,0.27570000,139986841.00000000,1633910399999,41653529.61210000,167893,68985186.00000000,20547604.39920000,0
1633910400000,0.27560000,0.35800000,0.25610000,0.31380000,173162274.00000000,1634515199999,53574442.55630000,228868,87640896.00000000,27183136.48130000,0
1634515200000,0.31380000,0.36120000,0.30350000,0.32810000,112185879.00000000,1635119999999,36938493.93080000,163692,58164167.00000000,19182175.21430000,0
1635120000000,0.32810000,0.42930000,0.32010000,0.40540000,200624689.00000000,1635724799999,75617748.75760000,306746,101248221.00000000,38239617.88190000,0
1635724800000,0.40550000,0.49000000,0.35470000,0.36320000,286919532.05000000,1636329599999,119030193.37443100,453667,134731710.96000000,56066980.25664300,0
1636329600000,0.36320000,0.39080000,0.30600000,0.35910000,191724464.00000000,1636934399999,68755884.93160000,262889,95852610.00000000,34422584.75670000,0
1636934400000,0.35930000,0.37500000,0.24140000,0.29240000,235984665.00000000,1637539199999,68829020.51470000,241570,106939406.00000000,31231455.51020000,0
1637539200000,0.29240000,0.33990000,0.25110000,0.29380000,265368032.00000000,1638143999999,79146988.59850000,309415,132356903.00000000,39531522.52320000,0
1638144000000,0.29380000,0.42080000,0.23160000,0.24930000,566426717.00000000,1638748799999,186842216.36480000,633886,283572536.00000000,93941118.28850000,0
1638748800000,0.24950000,0.27470000,0.22250000,0.26160000,47891718.00000000,1639353599999,11729672.97790000,47672,23226338.00000000,5706905.81810000,0
