otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1626652800000,0.07541000,3.00000000,0.07541000,1.43580000,1147236683.00000000,1627257599999,1660448999.30132000,3306950,586623455.00000000,853022730.52286000,0
1627257600000,1.42817000,1.62180000,1.00001000,1.14500000,592428068.00000000,1627862399999,760027963.54669000,1803491,296129353.00000000,380807993.72283000,0
1627862400000,1.14316000,1.31754000,1.06589000,1.26533000,215282554.00000000,1628467199999,250699715.60644000,630579,109213973.00000000,127589909.81716000,0
1628467200000,1.26374000,1.85000000,1.12000000,1.50038000,410469258.00000000,1629071999999,596470878.48301000,1404247,206707481.00000000,301272810.98394000,0
1629072000000,1.50282000,3.38459000,1.39437000,3.13138000,739302312.00000000,1629676799999,1716976304.15423000,4228887,374327842.00000000,869991292.47052000,0
1629676800000,3.13085000,6.44500000,2.99832000,4.84700000,933533977.20000000,1630281599999,4528054741.79552600,9034968,471820353.80000000,2288448183.02377000,0
1630281600000,4.84700000,5.30000000,4.05100000,4.59200000,211974116.10000000,1630886399999,990895549.85868000,2065237,103716508.80000000,485270475.00750000,0
1630886400000,4.59200000,4.90700000,2.89800000,3.73000000,264899408.80000000,1631491199999,1035465614.22928000,2317697,127875019.80000000,500285059.30880000,0
1631491200000,3.73000000,4.40000000,3.20400000,3.90600000,171511357.40000000,1632095999999,668796935.32220000,1389632,83831741.50000000,327245671.74210000,0
1632096000000,3.90700000,3.92700000,2.72400000,2.93300000,123559538.90000000,1632700799999,408382712.56155000,907133,59103166.60000000,195312138.84240000,0
1632700800000,2.93400000,4.15000000,2.76300000,3.82000000,136940338.20000000,1633305599999,466767600.39630000,992986,67904854.30000000,231554609.01420000,0
1633305600000,3.82000000,3.98400000,3.26100000,3.28500000,91269002.80000000,1633910399999,331735512.92190000,724305,44124766.10000000,160609401.46010000,0
1633910400000,3.28500000,3.92700000,3.00600000,3.38100000,103598298.20000000,1634515199999,365748353.37610000,791715,51336024.40000000,181516958.41020000,0
1634515200000,3.38100000,4.15300000,3.27200000,3.77300000,80529592.90000000,1635119999999,296106339.81000000,681400,40522363.20000000,149232558.74770000,0
1635120000000,3.77500000,4.48800000,3.38300000,3.67600000,102062060.10000000,1635724799999,395678459.94300000,915299,49895779.10000000,193906260.31100000,0
1635724800000,3.67700000,4.38000000,3.54400000,3.90400000,95683095.30000000,1636329599999,376221086.35440000,898085,46177915.60000000,181242607.85460000,0
1636329600000,3.90400000,4.64400000,3.55000000,3.78500000,92312808.20000000,1636934399999,375171424.33310000,864551,45250417.40000000,183196539.92540000,0
1636934400000,3.78500000,3.81900000,2.91000000,3.25300000,43653888.70000000,1637539199999,143444619.57310000,432035,20740676.40000000,68111553.81900000,0
1637539200000,3.25500000,3.40000000,2.75500000,3.00500000,43091384.80000000,1638143999999,134525835.31710000,399673,20794071.80000000,64992069.48350000,0
1638144000000,3.00200000,3.52000000,1.88500000,2.21300000,74372035.10000000,1638748799999,211918363.92592000,566416,35407995.40000000,101226063.27020000,0
1638748800000,2.21100000,2.26500000,2.00700000,2.23300000,7919510.10000000,1639353599999,16830829.28220000,53673,3911817.90000000,8318210.05580000,0
