otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00443000,0.00510000,0.00436000,0.00479000,86134779.60000000,1609545599999,406597.48974400,3760,43496099.90000000,205524.28098700,0
1609545600000,0.00478000,0.00518000,0.00450000,0.00480000,127490718.00000000,1609631999999,613111.29741200,4749,57061249.00000000,276635.03385900,0
1609632000000,0.00480000,0.00583000,0.00469000,0.00538000,215382737.80000000,1609718399999,1139282.55748000,8018,106704986.10000000,567298.36259100,0
1609718400000,0.00542000,0.00590000,0.00491000,0.00566000,192371908.60000000,1609804799999,1048544.87095800,8516,85074160.40000000,467019.13714900,0
1609804800000,0.00570000,0.00639000,0.00552000,0.00592000,305481205.60000000,1609891199999,1833955.16175100,11997,138370561.70000000,832592.03319400,0
1609891200000,0.00593000,0.00730000,0.00572000,0.00704000,256906303.90000000,1609977599999,1657764.34301100,11342,126614219.10000000,818804.11578000,0
1609977600000,0.00704000,0.00754000,0.00646000,0.00675000,213721585.00000000,1610063999999,1497242.56080800,8699,101879968.30000000,715319.68417700,0
1610064000000,0.00675000,0.00696000,0.00621000,0.00650000,133929402.10000000,1610150399999,871400.19849200,6408,63388254.10000000,413918.62301300,0
1610150400000,0.00652000,0.00850000,0.00644000,0.00731000,330554756.50000000,1610236799999,2508737.88829600,13250,169726376.60000000,1292244.45712600,0
1610236800000,0.00734000,0.00760000,0.00625000,0.00722000,206076449.40000000,1610323199999,1434388.47618300,8251,91598356.00000000,641922.23193500,0
1610323200000,0.00721000,0.00735000,0.00525000,0.00613000,209101586.30000000,1610409599999,1240682.93835000,7176,99486244.80000000,594805.02450600,0
1610409600000,0.00613000,0.00632000,0.00552000,0.00585000,105819508.20000000,1610495999999,629547.82629600,4918,51423110.20000000,306855.49448400,0
1610496000000,0.00580000,0.00644000,0.00549000,0.00640000,109271351.60000000,1610582399999,650056.43436500,5133,57104101.50000000,340674.42767500,0
1610582400000,0.00640000,0.00701000,0.00616000,0.00629000,163502106.60000000,1610668799999,1086036.66037900,6469,74843425.30000000,499594.67417300,0
1610668800000,0.00627000,0.00689000,0.00573000,0.00627000,451239815.10000000,1610755199999,2843392.51503200,13559,188267503.10000000,1190575.00388100,0
1610755200000,0.00627000,0.00730000,0.00609000,0.00666000,877601600.90000000,1610841599999,5955852.74927400,23275,403891685.10000000,2748181.21265900,0
1610841600000,0.00662000,0.00742000,0.00605000,0.00730000,458150553.60000000,1610927999999,3075547.34707900,15923,229657557.80000000,1554804.23655600,0
