otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1616976000000,1.28900000,1.85000000,1.00100000,1.13800000,103229575.36900000,1617580799999,130309416.40207400,479103,46019088.52800000,58504446.47537500,0
1617580800000,1.13700000,1.37100000,1.07400000,1.20700000,53177802.29300000,1618185599999,64759211.61364900,229879,24280753.67500000,29611352.67236800,0
1618185600000,1.20600000,1.26400000,0.80000000,0.97200000,45595963.97500000,1618790399999,48971297.77679900,176181,19110522.97300000,20705154.36245800,0
1618790400000,0.97000000,1.20000000,0.77900000,0.86100000,45290074.16000000,1619395199999,44991252.80674400,159135,20832284.35900000,20673434.09899500,0
1619395200000,0.86200000,1.13000000,0.86000000,0.94000000,52333828.07300000,1619999999999,52077661.53891000,167192,23942763.92800000,23855035.78340900,0
1620000000000,0.94100000,1.07000000,0.84500000,0.88400000,58785132.31600000,1620604799999,54638914.56406300,241219,26409616.43000000,24651145.53403400,0
1620604800000,0.88400000,0.99100000,0.68300000,0.71600000,53267276.42900000,1621209599999,43895093.68544600,161901,20966693.76000000,17377680.65985800,0
1621209600000,0.71700000,0.71700000,0.18500000,0.32500000,55489416.16400000,1621814399999,25770754.22181700,125721,25867176.88000000,12089914.98246200,0
1621814400000,0.32500000,0.42900000,0.29500000,0.32600000,30474420.84200000,1622419199999,11041376.81255700,70745,14086840.35400000,5119085.64731400,0
1622419200000,0.32600000,0.52200000,0.30900000,0.41900000,66179081.41100000,1623023999999,28341049.77430200,158852,32216584.50800000,13810106.52187400,0
1623024000000,0.41900000,0.42900000,0.30900000,0.33600000,27897460.19400000,1623628799999,9885751.23067700,59540,13018405.18800000,4613587.17525700,0
1623628800000,0.33600000,0.35000000,0.25300000,0.26800000,25731524.15100000,1624233599999,7914347.53408100,56025,11902460.77600000,3668487.67943700,0
1624233600000,0.26800000,0.31600000,0.16900000,0.26100000,117343448.68500000,1624838399999,29217498.28217400,174910,55254668.43700000,13820470.56233500,0
1624838400000,0.26100000,0.27700000,0.22700000,0.25300000,32682584.03300000,1625443199999,8307066.51333000,50642,14923992.96700000,3800750.88824600,0
1625443200000,0.25200000,0.28900000,0.23400000,0.24200000,30437586.89200000,1626047999999,7864422.50452000,42521,13822283.15700000,3579355.66869000,0
1626048000000,0.24200000,0.24600000,0.20000000,0.20200000,25384128.89900000,1626652799999,5518077.01725900,29545,11565587.67700000,2516939.30726100,0
1626652800000,0.20100000,0.23900000,0.17900000,0.22200000,36367981.49900000,1627257599999,7463951.73710400,36846,17495180.28000000,3604170.75229600,0
1627257600000,0.22200000,0.23300000,0.20100000,0.21100000,36957467.98900000,1627862399999,7948673.01878400,38016,17281372.16400000,3724261.98539300,0
1627862400000,0.21100000,0.40700000,0.19700000,0.29400000,225797957.33600000,1628467199999,68660143.26714400,276341,110101405.36900000,33549909.45744600,0
1628467200000,0.29400000,0.40800000,0.27900000,0.37000000,196830230.28100000,1629071999999,65937336.28158300,232098,96065289.61100000,32311960.85037700,0
1629072000000,0.37000000,0.39400000,0.28800000,0.31500000,101906497.45300000,1629676799999,33413600.32444000,124588,47155633.12300000,15453114.85041800,0
1629676800000,0.31600000,0.37600000,0.27000000,0.31290000,194407074.40300000,1630281599999,62579721.81427320,255958,92325898.59100000,29811432.98603880,0
1630281600000,0.31300000,0.34990000,0.28600000,0.33600000,165841322.73200000,1630886399999,52464646.69264150,234226,81024056.00000000,25676232.15230000,0
1630886400000,0.33640000,0.39900000,0.22690000,0.26910000,220847271.75000000,1631491199999,68065741.37226130,351119,107493162.47400000,33225281.96789550,0
1631491200000,0.26900000,0.83890000,0.23580000,0.54470000,1433599032.10100000,1632095999999,854093723.97969730,1737811,726483029.45600000,432688328.55275290,0
1632096000000,0.54510000,0.55550000,0.28910000,0.31620000,706336914.00000000,1632700799999,280089478.02260000,757332,333169909.00000000,131899553.81610000,0
1632700800000,0.31620000,0.38800000,0.28660000,0.34450000,459124568.00000000,1633305599999,156259954.46160000,477458,222335797.00000000,75954575.72920000,0
1633305600000,0.34450000,0.39500000,0.31190000,0.35480000,398094302.00000000,1633910399999,138939723.47100000,455693,198005551.00000000,69363033.19520000,0
1633910400000,0.35540000,0.42380000,0.30050000,0.33750000,373306350.00000000,1634515199999,130924917.69630000,454237,181896180.00000000,63979765.79610000,0
1634515200000,0.33760000,0.35980000,0.32410000,0.32860000,131499544.00000000,1635119999999,44787375.91040000,178796,62089782.00000000,21172082.37620000,0
1635120000000,0.32860000,0.35000000,0.28970000,0.31540000,168727479.00000000,1635724799999,53748739.69430000,233655,79929896.00000000,25516427.55520000,0
1635724800000,0.31540000,0.37950000,0.30650000,0.34160000,222059188.00000000,1636329599999,74867119.03240000,297773,110175854.00000000,37182787.72740000,0
1636329600000,0.34160000,0.34490000,0.29450000,0.31440000,122364258.00000000,1636934399999,39259446.28580000,151176,57500329.00000000,18442268.49810000,0
1636934400000,0.31440000,0.31900000,0.25570000,0.29760000,113387272.00000000,1637539199999,32673190.87190000,155934,52942917.00000000,15274985.15710000,0
1637539200000,0.29730000,0.35400000,0.26430000,0.28580000,223852277.00000000,1638143999999,67721274.91870000,299037,110083348.00000000,33424302.79560000,0
1638144000000,0.28600000,0.32820000,0.17530000,0.21770000,206789513.72600000,1638748799999,58183583.80276920,261892,100603684.89300000,28422606.94480120,0
1638748800000,0.21810000,0.22890000,0.19440000,0.22440000,19125654.00000000,1639353599999,3994648.47850000,24461,9475480.00000000,1981824.23930000,0
