otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.02133000,0.02519000,0.02122000,0.02310000,46366098.10000000,1609545599999,1074681.28942600,10977,24005860.10000000,556753.76801900,0
1609545600000,0.02291000,0.02337000,0.02130000,0.02181000,23583744.20000000,1609631999999,531141.63548800,5983,10604560.50000000,239186.18882500,0
1609632000000,0.02184000,0.02279000,0.02160000,0.02207000,19495786.40000000,1609718399999,431185.23658400,5399,8929972.80000000,197788.43838800,0
1609718400000,0.02210000,0.02480000,0.02074000,0.02277000,44789046.90000000,1609804799999,1011712.60849400,10361,19783043.80000000,448057.02654300,0
1609804800000,0.02278000,0.02404000,0.02158000,0.02296000,19462151.80000000,1609891199999,443634.42816700,5776,9052250.00000000,206280.85250900,0
1609891200000,0.02291000,0.02700000,0.02261000,0.02604000,64796696.80000000,1609977599999,1623997.65614700,13333,33264120.50000000,836692.66085200,0
1609977600000,0.02604000,0.02707000,0.02320000,0.02427000,50508399.70000000,1610063999999,1279946.44888600,11591,23484281.10000000,594932.84828200,0
1610064000000,0.02430000,0.02600000,0.02267000,0.02507000,36746834.10000000,1610150399999,902502.82459400,8917,17101487.70000000,421550.59292900,0
1610150400000,0.02507000,0.03135000,0.02466000,0.02947000,81101150.50000000,1610236799999,2333936.72749700,19033,43864676.00000000,1264834.94319300,0
1610236800000,0.02948000,0.03036000,0.02450000,0.02695000,50102560.30000000,1610323199999,1386444.81185300,12271,21578645.60000000,597706.21872100,0
1610323200000,0.02695000,0.02697000,0.02008000,0.02350000,43894018.90000000,1610409599999,1008445.41821200,10500,20221985.80000000,461999.57087900,0
1610409600000,0.02342000,0.02446000,0.02129000,0.02304000,23099015.40000000,1610495999999,530941.07714100,6465,11734436.30000000,269069.02141900,0
1610496000000,0.02303000,0.02477000,0.02223000,0.02400000,22939066.80000000,1610582399999,544155.19129100,6303,11395351.10000000,270649.27406900,0
1610582400000,0.02400000,0.02546000,0.02342000,0.02517000,26172473.50000000,1610668799999,644331.84193700,6478,11976177.40000000,294480.86458900,0
1610668800000,0.02519000,0.02583000,0.02272000,0.02440000,32008718.30000000,1610755199999,786094.03329000,8366,14791299.60000000,364346.11419000,0
1610755200000,0.02435000,0.02789000,0.02420000,0.02615000,54904608.70000000,1610841599999,1432726.84297100,11020,28099509.20000000,733564.63972600,0
1610841600000,0.02615000,0.02815000,0.02400000,0.02733000,52478237.20000000,1610927999999,1374410.67232300,11820,24007145.90000000,630880.21244700,0
1610928000000,0.02733000,0.02989000,0.02625000,0.02951000,42596276.10000000,1611014399999,1204514.75575500,10513,21259184.90000000,603284.80234200,0
