otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.02210000,0.03135000,0.02074000,0.02695000,347506840.10000000,1610323199999,8982175.50563800,81282,168128504.70000000,4370055.14302900,0
1610323200000,0.02695000,0.02815000,0.02008000,0.02733000,255496138.80000000,1610927999999,6321105.07716500,60952,122225905.30000000,3024989.69731900,0
1610928000000,0.02733000,0.03618000,0.02625000,0.03122000,390032068.00000000,1611532799999,12346352.88995900,95292,179000984.90000000,5675747.30184200,0
1611532800000,0.03113000,0.03909000,0.02881000,0.03730000,378504080.20000000,1612137599999,12840014.53448600,101736,191356504.10000000,6524640.20276000,0
1612137600000,0.03728000,0.04456000,0.03417000,0.03906000,291005458.90000000,1612742399999,11366910.33386000,96200,139815415.10000000,5471438.52856800,0
1612742400000,0.03902000,0.08977000,0.03840000,0.06330000,1034052513.30000000,1613347199999,64563404.02992100,290065,541993742.10000000,33903284.74761800,0
1613347200000,0.06339000,0.07069000,0.05300000,0.06516000,373041669.10000000,1613951999999,23231826.43875200,157111,179728333.40000000,11211904.66889600,0
1613952000000,0.06517000,0.06990000,0.03977000,0.05030000,444781133.70000000,1614556799999,24524110.93256300,133741,221092349.70000000,12238509.15628200,0
1614556800000,0.05023000,0.10000000,0.05005000,0.08343000,1155209304.70000000,1615161599999,89355997.06380800,381079,586370885.10000000,45530605.32090800,0
1615161600000,0.08342000,0.76662000,0.08293000,0.50931000,7163320639.00000000,1615766399999,2842926014.83868800,5240219,3689497995.10000000,1453697622.20526900,0
1615766400000,0.50943000,0.55000000,0.34800000,0.40037000,1349465991.40000000,1616371199999,571658948.41993900,1751976,667552574.20000000,282811623.88889700,0
1616371200000,0.40017000,0.44900000,0.26959000,0.38079000,1097053258.00000000,1616975999999,410244381.76168500,1329612,552791427.30000000,206900666.14312000,0
1616976000000,0.38063000,0.47990000,0.32319000,0.35997000,829586017.30000000,1617580799999,334062931.21923500,1152538,416948704.10000000,168165879.15584500,0
1617580800000,0.35994000,0.39000000,0.28201000,0.34627000,703152396.90000000,1618185599999,244113665.77939400,901206,352055414.40000000,122326921.42155200,0
1618185600000,0.34554000,0.47959000,0.27255000,0.32360000,1292642032.70000000,1618790399999,487271055.64357700,1527495,653555054.60000000,246769916.34271000,0
1618790400000,0.32356000,0.34000000,0.16929000,0.23130000,1155420785.70000000,1619395199999,299246822.17074000,878534,578457785.80000000,149918552.86102500,0
1619395200000,0.23132000,0.46777000,0.22795000,0.42584000,1453653888.90000000,1619999999999,522140178.51110800,1336290,734924322.70000000,264154384.80313900,0
1620000000000,0.42582000,0.45700000,0.31622000,0.33037000,719622994.30000000,1620604799999,268257304.37299100,795972,355512387.30000000,132689754.20497800,0
1620604800000,0.33038000,0.40359000,0.25750000,0.30600000,1074937937.10000000,1621209599999,363912031.27789900,1068103,542144240.30000000,184146572.13328900,0
1621209600000,0.30600000,0.31748000,0.10953000,0.13635000,835966056.30000000,1621814399999,174736399.04130000,608211,412957275.00000000,86224807.88827900,0
1621814400000,0.13643000,0.25680000,0.13202000,0.18665000,1173269314.50000000,1622419199999,243877636.62179300,792564,589931616.50000000,122599918.44351700,0
1622419200000,0.18665000,0.23678000,0.17018000,0.20464000,521133156.50000000,1623023999999,107142158.27761700,373516,262888872.50000000,54038030.14889300,0
1623024000000,0.20485000,0.23000000,0.16111000,0.19201000,697081498.60000000,1623628799999,133744284.80305000,454378,354829161.20000000,68074549.87408100,0
1623628800000,0.19201000,0.21480000,0.16060000,0.17410000,410307067.50000000,1624233599999,78730390.91082700,261078,206733185.70000000,39694436.87151300,0
1624233600000,0.17413000,0.17510000,0.11535000,0.13753000,391043119.10000000,1624838399999,53709979.50197800,193948,197100920.40000000,27061073.80052800,0
1624838400000,0.13758000,0.16116000,0.13006000,0.15003000,393872748.70000000,1625443199999,56889069.42549300,206876,206665982.40000000,29852400.39681200,0
1625443200000,0.15000000,0.19500000,0.13675000,0.17655000,940382668.30000000,1626047999999,156043468.41171500,659256,476027989.60000000,79039209.03720800,0
1626048000000,0.17674000,0.33837000,0.15950000,0.26325000,2491917810.10000000,1626652799999,600177722.57616400,1649152,1246004615.90000000,300150223.11922500,0
1626652800000,0.26328000,0.41924000,0.19717000,0.39735000,2529868605.30000000,1627257599999,755367271.70717900,1838629,1259911883.40000000,376766837.03259600,0
1627257600000,0.39702000,0.41000000,0.29401000,0.30627000,1194061454.50000000,1627862399999,414437761.07552500,986612,592421698.80000000,205983042.09366100,0
1627862400000,0.30620000,0.34000000,0.28728000,0.30504000,604130949.30000000,1628467199999,189806958.91017000,506283,299677121.30000000,94185885.81462400,0
1628467200000,0.30481000,0.49999000,0.29312000,0.41821000,1215483044.30000000,1629071999999,457160462.58361000,1096681,614752161.20000000,232040362.81344300,0
1629072000000,0.41795000,0.46200000,0.33479000,0.40182000,998064981.30000000,1629676799999,395548191.29551600,1016200,492151808.60000000,195231700.30791800,0
1629676800000,0.40182000,0.52570000,0.35063000,0.47830000,1311796415.70000000,1630281599999,557917567.87496100,1366348,654200960.10000000,278457965.26539500,0
1630281600000,0.47840000,0.53890000,0.41010000,0.45360000,695531635.40000000,1630886399999,315927517.66620900,690869,347725166.30000000,158025540.43836900,0
