otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.02125400,0.02194000,0.01974500,0.02073900,436122427.00000000,1609545599999,9112974.55738500,45269,227961056.00000000,4762783.83741600,0
1609545600000,0.02072400,0.02077200,0.01876100,0.01925600,476573389.00000000,1609631999999,9369405.74609300,43856,223154104.00000000,4388529.62345600,0
1609632000000,0.01931100,0.02117500,0.01817200,0.01951800,788179081.00000000,1609718399999,15283708.35877700,62367,374280446.00000000,7254767.74696500,0
1609718400000,0.01961700,0.02089000,0.01695800,0.01887100,497715412.00000000,1609804799999,9461658.85975900,46816,239848392.00000000,4560016.02172500,0
1609804800000,0.01888800,0.02139700,0.01840500,0.02007400,519796414.00000000,1609891199999,10316272.12764000,53258,278759291.00000000,5532116.67715000,0
1609891200000,0.02003000,0.02279100,0.01953000,0.02112200,579908555.00000000,1609977599999,12178714.54480400,56337,296860567.00000000,6237309.58279100,0
1609977600000,0.02112300,0.02159400,0.01876900,0.01987700,424316694.00000000,1610063999999,8688023.94844800,41712,216130018.00000000,4426506.84331400,0
1610064000000,0.01992500,0.02016900,0.01750000,0.01926100,349517816.00000000,1610150399999,6693500.40404000,32473,168265783.00000000,3228178.42897600,0
1610150400000,0.01931200,0.02096900,0.01866800,0.02011300,279825403.00000000,1610236799999,5538986.29232700,30443,138790379.00000000,2751448.78455300,0
1610236800000,0.02011900,0.02113500,0.01789400,0.01928600,343142523.00000000,1610323199999,6769773.44528500,32733,178975779.00000000,3534991.20578600,0
1610323200000,0.01928600,0.01937700,0.01540300,0.01768000,346004137.00000000,1610409599999,6004944.22837900,32548,163134482.00000000,2825954.01461600,0
1610409600000,0.01770200,0.01860000,0.01660100,0.01745300,184446606.00000000,1610495999999,3255831.38580400,20283,88283211.00000000,1558849.71508000,0
1610496000000,0.01738700,0.02100000,0.01684000,0.02033400,292631500.00000000,1610582399999,5633442.21555600,28195,151879359.00000000,2925113.32290100,0
1610582400000,0.02032200,0.02179900,0.01850500,0.01968500,731854877.00000000,1610668799999,14664348.69322500,73530,378200970.00000000,7609787.70326200,0
1610668800000,0.01971700,0.02016500,0.01790400,0.01915400,255609863.00000000,1610755199999,4920769.97944100,25477,121754284.00000000,2344400.81420000,0
1610755200000,0.01915400,0.02036500,0.01902100,0.01973900,304116781.00000000,1610841599999,6012136.98706500,30744,165151752.00000000,3267411.21678000,0
1610841600000,0.01974800,0.02010000,0.01829300,0.01952700,210038966.00000000,1610927999999,4024822.32610100,21631,109472581.00000000,2102451.83330800,0
1610928000000,0.01955700,0.02124500,0.01889100,0.02053300,416138109.00000000,1611014399999,8477911.30264100,37144,220724595.00000000,4502940.15590400,0
1611014400000,0.02055800,0.02340000,0.02014300,0.02265500,655752085.00000000,1611100799999,14210618.22188000,69475,347386160.00000000,7522714.37127700,0
1611100800000,0.02262600,0.02389200,0.02046800,0.02243400,492602483.00000000,1611187199999,10805577.38363500,54159,242360151.00000000,5328401.27348800,0
1611187200000,0.02243400,0.02267300,0.01860000,0.01885300,389245472.00000000,1611273599999,8036507.89993500,44957,186974214.00000000,3859339.71526700,0
1611273600000,0.01887600,0.02042100,0.01702300,0.01973300,332006109.00000000,1611359999999,6343106.35062800,38944,159944857.00000000,3060803.57308800,0
1611360000000,0.01973300,0.02061000,0.01920800,0.01979600,229543116.00000000,1611446399999,4559766.50792200,27889,117605083.00000000,2338042.67309100,0
1611446400000,0.01975200,0.02039800,0.01920800,0.01989200,160416209.00000000,1611532799999,3196959.16026500,21130,81224661.00000000,1620087.32026600,0
1611532800000,0.01989200,0.02113400,0.01866200,0.01881400,266710627.00000000,1611619199999,5344007.76073900,31880,124955026.00000000,2515195.45413600,0
1611619200000,0.01880700,0.02065100,0.01830000,0.02065100,325541781.00000000,1611705599999,6394162.22593400,33526,149309585.00000000,2936851.88314400,0
1611705600000,0.02065100,0.02093900,0.01855500,0.01895800,299162781.00000000,1611791999999,5889119.18032100,35918,144567145.00000000,2848898.13795200,0
1611792000000,0.01895800,0.02055000,0.01853100,0.02009200,277842079.00000000,1611878399999,5515616.73194700,32019,136172119.00000000,2705895.34957300,0
1611878400000,0.02009100,0.02088000,0.01948000,0.01994400,416718269.00000000,1611964799999,8385013.16890700,44902,196938580.00000000,3968252.89236700,0
1611964800000,0.01994800,0.02314200,0.01942900,0.02124800,572021641.00000000,1612051199999,12166346.76000900,54672,294250712.00000000,6264723.01288300,0
1612051200000,0.02126300,0.02244700,0.02020100,0.02161100,438264158.00000000,1612137599999,9405549.56856600,50035,216698067.00000000,4655021.11710700,0
1612137600000,0.02161200,0.02356800,0.02085200,0.02240200,786624404.00000000,1612223999999,17735797.07299000,80622,419094843.00000000,9466068.55115700,0
