otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00024600,0.00025900,0.00023200,0.00024100,811334022.00000000,1609545599999,200523.13578000,2515,354502895.00000000,87966.44743700,0
1609545600000,0.00024100,0.00025200,0.00023700,0.00024300,444133834.00000000,1609631999999,108629.52073600,1891,180723643.00000000,44346.75192700,0
1609632000000,0.00024300,0.00025500,0.00023900,0.00025100,554665699.00000000,1609718399999,135948.46609600,1899,318681319.00000000,78257.89721300,0
1609718400000,0.00025000,0.00026400,0.00024000,0.00025300,691329058.00000000,1609804799999,173788.35932500,2653,347692047.00000000,87822.05594200,0
1609804800000,0.00025400,0.00026500,0.00024500,0.00026300,510315682.00000000,1609891199999,131608.82687900,2643,310101364.00000000,80265.97779700,0
1609891200000,0.00026400,0.00027000,0.00025000,0.00026500,940006473.00000000,1609977599999,244401.48121800,3370,487123484.00000000,127267.12573100,0
1609977600000,0.00026600,0.00029000,0.00025600,0.00027500,1579381307.00000000,1610063999999,430714.19154200,5143,1006792291.00000000,276832.24539200,0
1610064000000,0.00027400,0.00032100,0.00025800,0.00029700,3997217647.00000000,1610150399999,1189496.40871700,7671,2799881722.00000000,839205.92968400,0
1610150400000,0.00029600,0.00033200,0.00029400,0.00031200,2048944429.00000000,1610236799999,639292.40323600,7489,1004821179.00000000,314991.56261300,0
1610236800000,0.00031200,0.00036200,0.00028800,0.00031300,2201862823.00000000,1610323199999,727956.11820900,8235,1116437719.00000000,371051.85738000,0
1610323200000,0.00031500,0.00032200,0.00026200,0.00032000,1647997872.00000000,1610409599999,482444.21892100,3812,876459986.00000000,259378.67666600,0
1610409600000,0.00032000,0.00032600,0.00028100,0.00032600,1381475198.00000000,1610495999999,416933.35651700,4034,701365485.00000000,214044.92946400,0
1610496000000,0.00032500,0.00032600,0.00029100,0.00031200,926447715.00000000,1610582399999,281328.79214400,2829,420985426.00000000,128086.74066700,0
1610582400000,0.00031100,0.00037000,0.00030300,0.00034300,2605484559.00000000,1610668799999,886374.18741400,7707,1526308108.00000000,520799.76513200,0
1610668800000,0.00034300,0.00076800,0.00032500,0.00071400,27722503333.00000000,1610755199999,15809125.04047900,94731,14942077183.00000000,8572084.32698700,0
1610755200000,0.00071400,0.00072900,0.00053300,0.00055600,16302011358.00000000,1610841599999,10012573.18788300,69228,7697290838.00000000,4743875.86463900,0
1610841600000,0.00055600,0.00059800,0.00045800,0.00054900,6963856570.00000000,1610927999999,3634666.56984700,29457,3251291066.00000000,1709529.71563100,0
1610928000000,0.00054900,0.00072700,0.00051200,0.00062500,12840665258.00000000,1611014399999,8061667.08929700,58872,6632050705.00000000,4184412.80141400,0
1611014400000,0.00062500,0.00071600,0.00062100,0.00069500,1031212732.00000000,1611021599999,694599.79260600,4802,591115893.00000000,399222.10483600,0
1611360000000,0.69500000,1.21120000,0.52400000,0.90030000,34168836.04000000,1611446399999,31509370.20097600,113704,17592174.12000000,16323109.53653800,0
1611446400000,0.90070000,1.03000000,0.70550000,0.76270000,16692248.82000000,1611532799999,14192025.66395500,63027,8150589.42000000,6947571.05652300,0
1611532800000,0.75810000,0.84990000,0.68000000,0.68000000,7625759.02000000,1611619199999,5852036.79057600,35754,3595990.98000000,2774057.01315300,0
1611619200000,0.68000000,0.76000000,0.60540000,0.67000000,7981638.00000000,1611705599999,5371657.36962800,30905,3994840.60000000,2694844.14823800,0
1611705600000,0.67000000,0.67530000,0.51450000,0.54920000,5270768.82000000,1611791999999,3059406.97225100,22697,2332608.10000000,1347647.44447500,0
1611792000000,0.54920000,0.62500000,0.52500000,0.52500000,6092452.93000000,1611878399999,3456437.20737800,24332,2805194.78000000,1599044.35242900,0
1611878400000,0.52540000,0.57260000,0.47290000,0.49930000,6857181.50000000,1611964799999,3440680.43627600,25565,3035978.19000000,1528704.96067500,0
1611964800000,0.49930000,0.51210000,0.44330000,0.45490000,4194356.37000000,1612051199999,1965468.20106800,16211,1801753.77000000,847007.30450200,0
1612051200000,0.45480000,0.49360000,0.40800000,0.42070000,4255728.65000000,1612137599999,1889143.49093100,14085,1894262.22000000,844834.76717200,0
1612137600000,0.42070000,0.44080000,0.38000000,0.43620000,5252815.90000000,1612223999999,2153435.81775500,16956,2286107.37000000,942924.96856100,0
1612224000000,0.43660000,0.69000000,0.41390000,0.57080000,33128563.00000000,1612310399999,18819116.79895700,113128,17044864.91000000,9697267.79727300,0
1612310400000,0.57090000,0.60000000,0.51720000,0.53110000,7387450.16000000,1612396799999,4086456.33029500,32870,3292510.85000000,1826456.09486400,0
1612396800000,0.53110000,0.53640000,0.48250000,0.49950000,5060288.32000000,1612483199999,2586942.95920700,19652,2341895.93000000,1199223.31469200,0
1612483200000,0.50000000,0.64100000,0.49070000,0.57520000,7817844.23000000,1612569599999,4419188.95187700,33869,4144155.09000000,2348949.82118000,0
1612569600000,0.57520000,0.60700000,0.51080000,0.53960000,3800114.99000000,1612655999999,2051317.66811600,17105,1811835.19000000,980985.25863300,0
1612656000000,0.53670000,0.55500000,0.51390000,0.52690000,3377686.22000000,1612742399999,1788789.79536100,14724,1512411.25000000,802029.25721500,0
1612742400000,0.52670000,0.59890000,0.52010000,0.57280000,5499008.23000000,1612828799999,3105325.61905200,24404,2933398.10000000,1660120.43432300,0
1612828800000,0.57030000,0.74500000,0.56880000,0.67550000,8736566.16000000,1612915199999,5852035.70629500,38406,4640578.96000000,3108577.50285700,0
1612915200000,0.67350000,0.69550000,0.57400000,0.66260000,7161215.50000000,1613001599999,4600734.12774900,24361,3492533.50000000,2251980.61371400,0
1613001600000,0.66490000,0.79800000,0.59990000,0.71230000,6395026.10000000,1613087999999,4555426.89897200,32642,3312163.17000000,2380539.10724300,0
1613088000000,0.71350000,0.93340000,0.69900000,0.81000000,7152684.15000000,1613174399999,5806831.36264300,34163,3558728.61000000,2898988.96052200,0
1613174400000,0.81000000,0.89000000,0.71290000,0.86000000,5028555.22000000,1613260799999,4142216.14702500,29258,2622364.16000000,2165064.25912400,0
1613260800000,0.86000000,1.10000000,0.79460000,0.89130000,11511063.21000000,1613347199999,10713928.22175500,56572,5981927.64000000,5606512.52739000,0
1613347200000,0.89140000,1.20000000,0.71000000,1.14510000,9098099.34000000,1613433599999,8600642.95571000,47248,4925282.20000000,4752986.14072400,0
1613433600000,1.14900000,1.45000000,1.01300000,1.08600000,31904897.90000000,1613519999999,39580416.32655100,178701,16313515.45000000,20361290.49886300,0
1613520000000,1.09080000,1.19150000,1.01000000,1.11150000,9258297.05000000,1613606399999,10178117.91396500,54596,4284563.90000000,4728453.15095300,0
1613606400000,1.11150000,1.14750000,1.04600000,1.06120000,6168523.03000000,1613692799999,6683530.16414200,35532,2915830.30000000,3170230.47885700,0
1613692800000,1.06280000,1.15500000,0.95800000,0.99150000,8054945.71000000,1613779199999,8261838.80566500,54007,3607342.16000000,3731931.55268700,0
1613779200000,0.99150000,1.05000000,0.92790000,0.94030000,5843920.86000000,1613865599999,5691439.09425400,35702,2709496.06000000,2649043.59991000,0
1613865600000,0.94030000,1.14700000,0.93720000,0.98100000,7681949.41000000,1613951999999,8025427.17051300,46844,3828058.06000000,4013483.53020900,0
1613952000000,0.98250000,1.04000000,0.78200000,0.89040000,5282833.89000000,1614038399999,4815592.30262400,30978,2388281.47000000,2183385.87762300,0
1614038400000,0.89610000,0.89800000,0.59970000,0.69000000,4639646.37000000,1614124799999,3301871.07080200,19990,2187580.65000000,1549273.43266300,0
1614124800000,0.69000000,0.89900000,0.65050000,0.78520000,4764138.63000000,1614211199999,3913839.62974300,24730,2305600.62000000,1890421.36735800,0
1614211200000,0.78880000,0.84670000,0.70430000,0.72280000,2512648.68000000,1614297599999,1963911.24330100,14074,1141257.52000000,894189.65418100,0
