otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,146.92000000,208.97000000,137.00000000,194.39000000,459618.06400000,1610323199999,78995954.74276880,369757,229264.60699000,39485126.26374980,0
1610323200000,194.55000000,229.00000000,147.51000000,216.96000000,447098.47324000,1610927999999,88055855.84133690,336297,228270.15791000,45084129.53566990,0
1610928000000,217.14000000,253.04000000,165.47000000,250.06000000,300004.45427000,1611532799999,63537029.62007310,265461,152333.62737000,32368477.80762470,0
1611532800000,250.38000000,349.00000000,205.16000000,347.19000000,456962.90720000,1612137599999,123284567.42606610,459244,228453.58592000,61883255.83951350,0
1612137600000,347.46000000,553.99000000,330.85000000,457.41000000,523633.69855000,1612742399999,224016179.71320100,653794,255878.98755000,110098308.26710840,0
1612742400000,457.41000000,573.00000000,436.01000000,471.27000000,489374.23581000,1613347199999,242619616.25982890,606313,242078.96181000,120112969.55474660,0
1613347200000,471.31000000,508.39000000,399.79000000,453.06000000,350772.35507000,1613951999999,161894059.51137320,428814,172639.41410000,79809583.09200770,0
1613952000000,453.51000000,470.70000000,322.15000000,405.12000000,515848.02383000,1614556799999,208826457.94883160,528184,259114.26403000,105218111.79330970,0
1614556800000,404.86000000,536.20000000,404.83000000,490.35000000,298275.55940000,1615161599999,144269037.60032440,353411,146918.07257000,70957571.97357090,0
1615161600000,490.77000000,505.52000000,413.15000000,438.13000000,193251.04983000,1615766399999,89498073.71135460,262153,100245.57889000,46314609.74884780,0
1615766400000,437.89000000,451.82000000,400.00000000,403.30000000,158714.70563000,1616371199999,67971442.18128250,189201,90121.00311000,38629863.05800060,0
1616371200000,403.43000000,424.24000000,330.00000000,362.24000000,232933.29130000,1616975999999,87101454.44810550,244383,121737.12257000,45612294.13010240,0
1616976000000,362.23000000,562.85000000,357.54000000,548.13000000,346985.32866000,1617580799999,159458258.21287140,383855,183364.18902000,84663988.19402910,0
1617580800000,548.44000000,556.00000000,434.66000000,458.84000000,314092.65024000,1618185599999,148511006.36399230,333181,156722.19795000,74099764.40406280,0
1618185600000,458.89000000,619.00000000,411.37000000,487.73000000,550092.85499000,1618790399999,286512972.81521620,682716,276859.15617000,144186436.89854100,0
1618790400000,487.71000000,665.69000000,423.39000000,553.46000000,899774.02279000,1619395199999,488118613.34941150,1035154,456989.83018000,248694250.45076720,0
1619395200000,553.95000000,879.00000000,550.00000000,804.74000000,554514.86781000,1619999999999,392209910.38416510,758189,276592.96957000,196963978.31748590,0
1620000000000,805.03000000,850.00000000,692.98000000,770.70000000,409375.82236000,1620604799999,317079358.39433520,676132,201360.56670000,156226890.86277140,0
1620604800000,771.30000000,911.00000000,630.17000000,684.05000000,560379.93009000,1621209599999,440281543.44281540,844393,270832.06031000,212933070.28375830,0
1621209600000,684.60000000,726.37000000,267.55000000,339.79000000,722511.81336000,1621814399999,355207242.49907990,875380,356524.96955000,174900721.52370400,0
1621814400000,340.34000000,464.76000000,328.44000000,406.25000000,403692.84914000,1622419199999,161108779.94996490,478740,205966.34103000,82214901.00579590,0
1622419200000,405.51000000,459.64000000,376.80000000,388.28000000,235640.17647000,1623023999999,98312075.15874300,292359,118397.57277000,49396462.69206800,0
1623024000000,388.30000000,412.38000000,278.66000000,324.15000000,290918.74450000,1623628799999,97603410.20288360,291438,149294.97669000,50146103.81899160,0
1623628800000,324.22000000,349.00000000,259.57000000,293.66000000,220569.81953000,1624233599999,67621322.76316140,215263,104684.79797000,32073213.29020600,0
1624233600000,293.66000000,295.93000000,196.46000000,257.39000000,447238.65010000,1624838399999,105795931.84372780,338935,211068.46960000,49986383.74764310,0
1624838400000,257.40000000,464.72000000,248.79000000,443.98000000,1021950.16407000,1625443199999,351144878.63351270,883967,504568.60090000,173291928.13847480,0
1625443200000,443.72000000,530.98000000,386.70000000,436.65000000,1141892.94749000,1626047999999,523462693.98518430,1162114,586425.32324000,268844435.68619350,0
1626048000000,436.62000000,444.52000000,358.51000000,379.37000000,508753.37328000,1626652799999,204100950.80513440,479465,250846.50109000,100647631.18395760,0
