otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00709000,0.00773000,0.00705000,0.00736000,43902942.30000000,1609545599999,320253.86725000,4636,21151025.20000000,155083.92474700,0
1609545600000,0.00736000,0.00824000,0.00717000,0.00767000,95174186.40000000,1609631999999,742856.36859400,7926,37848530.50000000,296132.26676800,0
1609632000000,0.00767000,0.00807000,0.00732000,0.00764000,37070102.60000000,1609718399999,284433.69917600,5476,15302154.90000000,117952.17560300,0
1609718400000,0.00769000,0.00840000,0.00710000,0.00769000,52683089.90000000,1609804799999,404886.89213500,6271,27414905.10000000,212511.91679700,0
1609804800000,0.00768000,0.00798000,0.00729000,0.00773000,75251372.20000000,1609891199999,570140.39172500,5593,38485845.50000000,292703.06779100,0
1609891200000,0.00771000,0.00820000,0.00759000,0.00784000,51156824.70000000,1609977599999,401143.63503500,4954,24437867.40000000,192785.99260400,0
1609977600000,0.00782000,0.00880000,0.00782000,0.00798000,74007039.70000000,1610063999999,612883.04384400,6828,43418587.80000000,359966.10668100,0
1610064000000,0.00796000,0.00818000,0.00715000,0.00775000,48919185.30000000,1610150399999,380818.49389700,5748,24156351.10000000,189408.32450700,0
1610150400000,0.00773000,0.00824000,0.00770000,0.00815000,54752434.00000000,1610236799999,438366.28535500,5454,28042214.90000000,224830.94065900,0
1610236800000,0.00815000,0.00828000,0.00720000,0.00763000,60962853.00000000,1610323199999,476648.62586400,6707,22981525.60000000,180399.40523800,0
1610323200000,0.00763000,0.00763000,0.00612000,0.00683000,51758143.20000000,1610409599999,354375.20999300,5656,21396830.40000000,145835.16269300,0
1610409600000,0.00677000,0.00711000,0.00653000,0.00682000,17579186.70000000,1610495999999,119849.65032400,2738,7186473.70000000,49224.08327600,0
1610496000000,0.00680000,0.00725000,0.00652000,0.00713000,33650618.90000000,1610582399999,232949.92498100,3328,19164296.50000000,132968.04764800,0
1610582400000,0.00713000,0.00800000,0.00712000,0.00754000,55340784.80000000,1610668799999,421686.01230600,4309,20378074.00000000,154073.02709600,0
1610668800000,0.00756000,0.00888000,0.00650000,0.00772000,244178905.80000000,1610755199999,1856553.80383800,16433,115635504.50000000,877648.24860000,0
1610755200000,0.00777000,0.00840000,0.00746000,0.00798000,56606607.50000000,1610841599999,451091.24944400,6597,28289595.50000000,226001.08922000,0
1610841600000,0.00799000,0.00814000,0.00758000,0.00802000,30182933.80000000,1610927999999,237777.08999500,3995,12902270.00000000,101901.31913800,0
1610928000000,0.00803000,0.00957000,0.00777000,0.00908000,174220017.30000000,1611014399999,1541735.79657700,14726,86100699.50000000,762854.54965900,0
1611014400000,0.00909000,0.01150000,0.00883000,0.00902000,416663391.10000000,1611100799999,4181912.85744400,35515,194675875.00000000,1959129.74491000,0
1611100800000,0.00908000,0.00924000,0.00822000,0.00900000,95052864.50000000,1611187199999,836071.68757500,9211,45162490.00000000,398041.86731700,0
1611187200000,0.00901000,0.00946000,0.00778000,0.00811000,83038842.10000000,1611273599999,695155.23275900,7818,37050310.50000000,312708.46150300,0
1611273600000,0.00810000,0.00849000,0.00725000,0.00811000,66397477.50000000,1611359999999,530245.27444200,6124,29875428.20000000,239549.84361000,0
1611360000000,0.00811000,0.00829000,0.00776000,0.00806000,39377453.60000000,1611446399999,316927.89184300,4393,16955422.50000000,136879.69075900,0
1611446400000,0.00805000,0.00888000,0.00793000,0.00823000,75674063.80000000,1611532799999,638878.71735400,7458,34257442.00000000,289400.90299800,0
1611532800000,0.00823000,0.00864000,0.00791000,0.00801000,44763684.60000000,1611619199999,372145.60178500,5012,20686618.70000000,172360.67315300,0
1611619200000,0.00798000,0.00813000,0.00740000,0.00775000,67167954.00000000,1611705599999,514470.90732500,5674,25443937.00000000,195247.17319900,0
1611705600000,0.00773000,0.00804000,0.00710000,0.00758000,82354306.00000000,1611791999999,629494.09884800,7342,38487449.80000000,295925.68335400,0
1611792000000,0.00754000,0.00845000,0.00743000,0.00795000,88904782.50000000,1611878399999,706066.20847300,8475,43995966.60000000,351080.09894200,0
1611878400000,0.00796000,0.00998000,0.00737000,0.00919000,569622787.90000000,1611964799999,5105009.34034500,31660,309286115.10000000,2801704.91184600,0
1611964800000,0.00921000,0.01054000,0.00875000,0.00925000,253233837.40000000,1612051199999,2406784.52218300,29922,126362582.90000000,1206543.48410700,0
1612051200000,0.00925000,0.01070000,0.00840000,0.00955000,338120842.30000000,1612137599999,3219643.20809200,23731,203244907.90000000,1956271.96210200,0
1612137600000,0.00955000,0.00971000,0.00903000,0.00937000,84730844.70000000,1612223999999,796926.41169200,12143,41125466.00000000,387495.63540400,0
1612224000000,0.00941000,0.00985000,0.00904000,0.00956000,91123144.30000000,1612310399999,858401.98778600,10709,41130421.00000000,388115.09969300,0
1612310400000,0.00957000,0.01279000,0.00910000,0.01036000,532062095.00000000,1612396799999,5869532.80825800,43413,269398619.40000000,2991731.38093100,0
1612396800000,0.01039000,0.01180000,0.00980000,0.01102000,244490485.30000000,1612483199999,2649159.41622600,26047,118347737.00000000,1281385.86923200,0
1612483200000,0.01104000,0.01258000,0.01103000,0.01166000,241353075.80000000,1612569599999,2863304.62054500,28224,104831559.40000000,1247829.89453200,0
1612569600000,0.01166000,0.01186000,0.01057000,0.01099000,143234508.40000000,1612655999999,1592369.25417200,16870,64857273.20000000,723331.89904700,0
1612656000000,0.01096000,0.01132000,0.00980000,0.01082000,112743992.70000000,1612742399999,1201617.68629000,13214,49970082.70000000,533195.29017700,0
1612742400000,0.01079000,0.01200000,0.01065000,0.01163000,146296992.60000000,1612828799999,1635146.65434700,16424,76475503.00000000,857645.52441300,0
1612828800000,0.01166000,0.01415000,0.01132000,0.01326000,298260365.50000000,1612915199999,3818169.78544800,30281,147732241.30000000,1894984.92830800,0
