otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.00769000,0.00880000,0.00710000,0.00763000,417732798.80000000,1610323199999,3284887.36785500,41555,208937297.40000000,1652605.75427700,0
1610323200000,0.00763000,0.00888000,0.00612000,0.00802000,489297180.70000000,1610927999999,3674282.94088100,43056,224953044.60000000,1687650.97767100,0
1610928000000,0.00803000,0.01150000,0.00725000,0.00823000,950424109.90000000,1611532799999,8740927.45799400,85245,444077667.70000000,4098565.06075600,0
1611532800000,0.00823000,0.01070000,0.00710000,0.00955000,1444168194.70000000,1612137599999,12953613.88705100,111816,767507578.00000000,6979133.98670300,0
1612137600000,0.00955000,0.01279000,0.00903000,0.01082000,1449738146.20000000,1612742399999,15831312.18496900,150620,689661158.70000000,7553085.06901600,0
1612742400000,0.01079000,0.01969000,0.01065000,0.01708000,1891247859.50000000,1613347199999,28423804.79139000,219681,903815194.80000000,13564990.65316000,0
1613347200000,0.01708000,0.02015000,0.01400000,0.01768000,1226943368.20000000,1613951999999,21871339.37072700,170522,594494608.40000000,10615163.99941600,0
1613952000000,0.01765000,0.02085000,0.01175000,0.01281000,1200609081.40000000,1614556799999,19523956.25774600,120678,593456634.30000000,9713004.85813700,0
1614556800000,0.01279000,0.01880000,0.01278000,0.01731000,1060919464.30000000,1615161599999,17111779.90632000,133502,509101861.90000000,8230673.92703900,0
1615161600000,0.01731000,0.03300000,0.01607000,0.03036000,3747778873.40000000,1615766399999,96118887.33534500,568231,1803448332.50000000,46204275.21385500,0
1615766400000,0.03040000,0.03950000,0.02681000,0.03765000,2494852070.40000000,1616371199999,84865777.48288600,535906,1180165308.40000000,40212994.58874400,0
1616371200000,0.03763000,0.05050000,0.03168000,0.04275000,5067900384.10000000,1616975999999,207366217.63349900,866343,2484915595.40000000,102045607.76039400,0
1616976000000,0.04271000,0.04330000,0.03624000,0.04266000,2071848019.70000000,1617580799999,84465291.72880600,455422,1043466332.80000000,42573147.88785400,0
1617580800000,0.04254000,0.04750000,0.03414000,0.03878000,1860014065.70000000,1618185599999,75137145.82663000,401626,900182734.90000000,36371736.20774200,0
