otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.04744000,0.05039000,0.04479000,0.04646000,50404815.00000000,1609545599999,2396015.68878800,18078,24811502.90000000,1181738.69407800,0
1609545600000,0.04625000,0.04700000,0.04395000,0.04633000,36993495.30000000,1609631999999,1693850.57584800,14386,16743051.00000000,768822.32731400,0
1609632000000,0.04639000,0.05150000,0.04396000,0.05091000,90337796.30000000,1609718399999,4277072.79750300,27174,44936365.60000000,2136552.99834400,0
1609718400000,0.05097000,0.05540000,0.04396000,0.04902000,95277569.00000000,1609804799999,4672075.08144500,30139,44592440.50000000,2195754.16616100,0
1609804800000,0.04912000,0.05165000,0.04550000,0.04802000,63814346.00000000,1609891199999,3102298.48353200,22074,30741478.50000000,1497616.86538200,0
1609891200000,0.04802000,0.05315000,0.04700000,0.05076000,81972778.30000000,1609977599999,4116204.20807800,26118,37762822.00000000,1899837.83151000,0
1609977600000,0.05079000,0.06324000,0.05036000,0.05515000,138153579.40000000,1610063999999,7743453.11805200,41054,73763086.50000000,4143196.68462700,0
1610064000000,0.05517000,0.06247000,0.05051000,0.05818000,105047739.80000000,1610150399999,6042174.56944800,35597,51078461.20000000,2950688.59792200,0
1610150400000,0.05818000,0.06600000,0.05618000,0.06052000,82185505.50000000,1610236799999,5102303.87427500,32902,41600904.70000000,2586280.64303100,0
1610236800000,0.06063000,0.06407000,0.05130000,0.05857000,82648420.30000000,1610323199999,4852476.64702100,28549,37076435.10000000,2182862.53118500,0
1610323200000,0.05857000,0.05922000,0.04341000,0.05092000,79518021.50000000,1610409599999,4011666.31440000,25907,33857306.90000000,1717610.50117500,0
1610409600000,0.05090000,0.05395000,0.04675000,0.04906000,42732584.70000000,1610495999999,2143369.00779800,14586,20975583.80000000,1053790.84698600,0
1610496000000,0.04911000,0.05631000,0.04683000,0.05399000,53065373.00000000,1610582399999,2772092.56102800,18661,26607723.00000000,1392610.86584200,0
1610582400000,0.05403000,0.05770000,0.05161000,0.05698000,47225741.10000000,1610668799999,2565768.73255900,17874,22450066.10000000,1222748.25384000,0
1610668800000,0.05695000,0.05800000,0.05000000,0.05737000,69971251.10000000,1610755199999,3850389.61925800,23853,32759437.60000000,1809466.83293200,0
1610755200000,0.05729000,0.06750000,0.05650000,0.05963000,97316697.10000000,1610841599999,6039577.57775300,37212,48594403.40000000,3020101.21586700,0
1610841600000,0.05960000,0.06349000,0.05554000,0.06187000,54403611.00000000,1610927999999,3256426.76248600,24824,26229726.00000000,1574074.35369500,0
