otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.05097000,0.06600000,0.04396000,0.05857000,649099938.30000000,1610323199999,35630985.98185100,216433,316615628.50000000,17456237.31981800,0
1610323200000,0.05857000,0.06750000,0.04341000,0.06187000,444233279.50000000,1610927999999,24639290.57528200,162917,211474246.80000000,11790402.87033700,0
1610928000000,0.06187000,0.07959000,0.05842000,0.07090000,590607112.50000000,1611532799999,40531462.86137900,230630,290971769.70000000,20017006.87416700,0
1611532800000,0.07084000,0.07800000,0.05570000,0.06403000,537830034.50000000,1612137599999,34747470.05755400,225529,257102276.80000000,16672984.56919300,0
1612137600000,0.06400000,0.08105000,0.06070000,0.07668000,570415753.60000000,1612742399999,40463372.04009100,263712,278598096.10000000,19830166.72493600,0
1612742400000,0.07684000,0.15323000,0.07622000,0.12640000,989685233.70000000,1613347199999,116352354.02292600,524347,492581800.90000000,57709119.40051300,0
1613347200000,0.12640000,0.22500000,0.11154000,0.20275000,921604580.20000000,1613951999999,152171041.45162200,572392,450974103.70000000,74523363.30937700,0
1613952000000,0.20329000,0.24970000,0.14100000,0.19348000,1239850839.20000000,1614556799999,245274028.57436900,698116,594705112.60000000,117879066.53525300,0
1614556800000,0.19354000,0.33299000,0.18800000,0.32800000,1094080197.30000000,1615161599999,269437736.77578800,860082,550519742.40000000,135869398.41641900,0
1615161600000,0.32789000,0.60000000,0.31283000,0.35022000,2293166410.70000000,1615766399999,902336572.07967700,2316640,1134830827.60000000,447921175.43021400,0
1615766400000,0.35023000,0.49890000,0.32187000,0.46634000,1260914413.30000000,1616371199999,514919300.70681800,1520829,639932732.50000000,261776155.61975400,0
1616371200000,0.46611000,0.57980000,0.37000000,0.45327000,1210039223.60000000,1616975999999,578797733.53187200,1665611,604257486.10000000,289636783.53738000,0
1616976000000,0.45329000,0.52900000,0.37000000,0.40584000,857739663.60000000,1617580799999,381951043.65962400,1113497,425223155.40000000,189724938.38409500,0
1617580800000,0.40584000,0.44891000,0.32000000,0.36352000,664597332.50000000,1618185599999,259747260.73848300,876451,329247259.40000000,129022925.07495800,0
1618185600000,0.36351000,0.39687000,0.23833000,0.30271000,695336382.60000000,1618790399999,237448143.72532100,842608,346493919.80000000,118783904.28806800,0
1618790400000,0.30274000,0.38331000,0.23000000,0.26397000,1008103990.70000000,1619395199999,305357506.46280300,933552,504038508.90000000,153210087.88624800,0
1619395200000,0.26411000,0.42985000,0.26201000,0.38188000,776333910.10000000,1619999999999,293852036.27566600,897274,397749873.20000000,150562170.76014300,0
1620000000000,0.38188000,0.39990000,0.32265000,0.36259000,562536752.50000000,1620604799999,204489575.68991400,643807,279139412.60000000,101618339.49035500,0
1620604800000,0.36309000,0.48594000,0.29329000,0.41694000,1080446278.50000000,1621209599999,418203048.98363200,1206339,551620135.10000000,213928587.96575100,0
1621209600000,0.41699000,0.43495000,0.12377000,0.16151000,1188395097.20000000,1621814399999,312580720.87574900,927420,585533622.90000000,154450755.99056800,0
1621814400000,0.16143000,0.27999000,0.16097000,0.22218000,962241531.10000000,1622419199999,211374875.98253100,709894,485315293.10000000,106576739.51481500,0
1622419200000,0.22249000,0.27725000,0.20558000,0.22648000,608752638.80000000,1623023999999,144073720.72339600,504191,305270936.70000000,72296511.88372100,0
1623024000000,0.22620000,0.23969000,0.17501000,0.21361000,651597815.30000000,1623628799999,134054179.73745400,488556,325377320.10000000,67041650.83196500,0
1623628800000,0.21343000,0.22473000,0.16642000,0.18247000,426553013.60000000,1624233599999,84347404.60888100,316921,209261563.50000000,41404155.93168200,0
1624233600000,0.18275000,0.18397000,0.11552000,0.14208000,488931252.10000000,1624838399999,70051564.76462000,287240,238405103.10000000,34169795.92091100,0
1624838400000,0.14208000,0.16300000,0.13025000,0.14179000,321495246.10000000,1625443199999,46293339.57695900,187119,162244253.90000000,23405495.88993300,0
1625443200000,0.14159000,0.14821000,0.12054000,0.13472000,359844996.10000000,1626047999999,48380692.16694500,202695,177435347.30000000,23877532.47794100,0
1626048000000,0.13478000,0.13800000,0.10749000,0.11693000,359263143.90000000,1626652799999,43828493.38085500,190881,174370654.40000000,21286247.70245900,0
1626652800000,0.11700000,0.12810000,0.08879000,0.12345000,436167604.20000000,1627257599999,48152536.48595900,220696,219718866.20000000,24254119.90732800,0
1627257600000,0.12345000,0.14800000,0.11843000,0.13557000,551837452.10000000,1627862399999,73257818.74330200,308908,280228350.60000000,37209687.93796600,0
1627862400000,0.13561000,0.18063000,0.13323000,0.16477000,696799220.90000000,1628467199999,109958649.27002600,408282,360495464.90000000,56945396.93247000,0
1628467200000,0.16494000,0.23515000,0.15990000,0.22390000,716731909.40000000,1629071999999,143699490.39402500,477692,368264821.80000000,73964069.71275700,0
1629072000000,0.22373000,0.32603000,0.20650000,0.30300000,1023584761.80000000,1629676799999,263504470.07182400,762425,512644403.50000000,132288853.50161500,0
1629676800000,0.30300000,0.49000000,0.27033000,0.36270000,1898100551.50000000,1630281599999,724228857.24009900,1479050,936032135.70000000,357705094.64240600,0
1630281600000,0.36270000,0.40000000,0.30545000,0.36990000,761443963.70000000,1630886399999,264586704.64061300,644313,377649739.10000000,131235074.19136400,0
1630886400000,0.36980000,0.39190000,0.23500000,0.34860000,898980495.50000000,1631491199999,283902453.97884800,719705,442086850.30000000,139920203.32264000,0
1631491200000,0.34860000,0.45350000,0.28070000,0.36810000,1010347938.10000000,1632095999999,377495710.86092400,902356,498322719.90000000,186600000.83498400,0
1632096000000,0.36790000,0.66700000,0.28440000,0.51970000,3072186875.20000000,1632700799999,1512982847.82553900,3207048,1516607735.50000000,747218274.50875900,0
1632700800000,0.51930000,0.68040000,0.48550000,0.56110000,2236585462.00000000,1633305599999,1338692827.04050800,2548805,1099343711.80000000,658773728.55520800,0
1633305600000,0.56110000,0.60990000,0.48250000,0.51290000,1039103875.00000000,1633910399999,559971230.75740000,1296736,511938952.00000000,276308309.99180000,0
1633910400000,0.51270000,0.54500000,0.46540000,0.49020000,473398197.00000000,1634515199999,240599360.45750000,648032,227064577.00000000,115576063.78830000,0
1634515200000,0.49050000,0.56110000,0.46850000,0.49860000,470886199.00000000,1635119999999,240476795.78090000,678751,231127863.00000000,118141720.19860000,0
