otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.67800000,0.84200000,0.58100000,0.75400000,239620573.55300000,1610323199999,171504464.38658700,395264,119952744.77900000,86059916.10568600,0
1610323200000,0.75300000,1.79000000,0.53100000,1.69100000,405403738.19200000,1610927999999,426415630.86221100,810433,204410208.11700000,215279502.86675900,0
1610928000000,1.69000000,2.35000000,1.25700000,2.26000000,431588990.53500000,1611532799999,757572393.51013900,1321032,211763743.58900000,372551105.89769500,0
1611532800000,2.26000000,2.84900000,1.73600000,2.51100000,277339802.37300000,1612137599999,593042303.85793000,968608,135830430.94000000,290829085.63786800,0
1612137600000,2.51400000,3.66600000,2.30000000,2.98100000,186446080.67800000,1612742399999,530839051.92099700,935233,93332708.91600000,266217240.71350800,0
1612742400000,2.98000000,3.61800000,2.84900000,2.95500000,125620472.20500000,1613347199999,404366334.39660500,766237,61096292.02400000,196916336.83248900,0
1613347200000,2.95500000,3.26900000,2.08000000,2.90500000,139157470.95300000,1613951999999,391078916.19736600,768072,69689019.06400000,196052435.03555300,0
1613952000000,2.90500000,2.91200000,1.62000000,1.76900000,150468002.74700000,1614556799999,322137046.53691400,676554,74977158.41700000,160582412.57860300,0
1614556800000,1.76700000,2.64000000,1.75200000,2.24500000,154003851.99900000,1615161599999,340666348.29173600,629003,77372227.83400000,171063721.53508500,0
1615161600000,2.24500000,2.48500000,1.96000000,2.10700000,117236456.39000000,1615766399999,262434512.73871800,520325,59140610.20200000,132548448.51710300,0
1615766400000,2.10800000,2.97300000,2.04100000,2.59400000,120247315.18400000,1616371199999,300728364.75740100,630418,59646171.17000000,149320990.43460900,0
1616371200000,2.59300000,3.39000000,2.22000000,3.02400000,211843408.39800000,1616975999999,590559869.12287600,1119992,105342435.34100000,293747020.83947800,0
1616976000000,3.02200000,3.57700000,2.85400000,3.10300000,121289507.00300000,1617580799999,392637535.51511400,708383,60461628.85900000,195999067.61234800,0
1617580800000,3.10500000,3.50000000,2.72200000,3.11100000,107316115.68900000,1618185599999,331533076.68552000,654185,53044838.29800000,164125294.32434500,0
1618185600000,3.11100000,4.65000000,2.40000000,3.22300000,227787573.46100000,1618790399999,820710547.96814600,1516937,113344616.29700000,409148126.58356600,0
1618790400000,3.22000000,3.48200000,2.19500000,2.38200000,151846784.63600000,1619395199999,429782375.40870000,799176,74974563.41700000,212557520.53489700,0
1619395200000,2.38400000,3.49000000,2.34700000,3.27900000,138885960.25000000,1619999999999,421837625.18971900,798418,69364558.41800000,210674053.11564100,0
1620000000000,3.27600000,3.96900000,2.74400000,3.44700000,155589469.46500000,1620604799999,522758945.17735600,983875,77203352.86300000,259621196.69639300,0
1620604800000,3.44800000,4.26400000,2.80000000,3.27200000,272768070.67400000,1621209599999,957014773.26719900,1829066,133926086.58500000,470742908.03502100,0
