otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.84820000,0.90990000,0.83680000,0.86970000,1304225.60000000,1609545599999,1136094.14421900,14831,672496.87000000,586175.88179500,0
1609545600000,0.86970000,0.92780000,0.84570000,0.87540000,1397798.80000000,1609631999999,1238742.95028200,15684,805708.79000000,715695.15165300,0
1609632000000,0.87570000,0.93000000,0.86320000,0.92540000,1930917.67000000,1609718399999,1728362.86089800,15432,684572.54000000,613700.06847900,0
1609718400000,0.92570000,1.07890000,0.87060000,0.97860000,5840350.69000000,1609804799999,5737668.22260500,31591,2989190.17000000,2952998.63930700,0
1609804800000,0.97860000,1.30120000,0.87920000,0.91780000,16460070.89000000,1609891199999,17406358.46792000,91849,10015061.42000000,10587191.94475000,0
1609891200000,0.91800000,0.99970000,0.90240000,0.94460000,12613469.18000000,1609977599999,11932017.18195700,53839,7556419.96000000,7129886.52449600,0
1609977600000,0.94460000,0.97250000,0.83230000,0.90060000,11607424.45000000,1610063999999,10805019.58921900,41601,7816534.83000000,7319218.71116600,0
1610064000000,0.90060000,0.91990000,0.84800000,0.90260000,5273795.77000000,1610150399999,4672058.39466900,31308,1402353.67000000,1240914.98264100,0
1610150400000,0.90250000,0.95710000,0.87550000,0.92080000,4652917.32000000,1610236799999,4263693.16294900,25894,1288034.10000000,1181711.58479100,0
1610236800000,0.92090000,0.98500000,0.87000000,0.91330000,5922695.02000000,1610323199999,5513647.84908800,32622,1791875.75000000,1673259.07230500,0
1610323200000,0.91400000,0.91640000,0.79300000,0.86900000,5756708.09000000,1610409599999,4920644.29723400,34867,1826825.33000000,1558639.13335300,0
1610409600000,0.86860000,0.90690000,0.83490000,0.88940000,4052494.92000000,1610495999999,3536982.19821600,31055,903411.36000000,789234.45000500,0
1610496000000,0.88930000,0.96000000,0.86520000,0.94730000,2409112.42000000,1610582399999,2202502.88160900,29920,1048247.04000000,962929.44206200,0
1610582400000,0.94700000,1.01000000,0.92610000,0.99900000,1835305.64000000,1610668799999,1781609.08099000,30847,963007.04000000,937018.95606700,0
1610668800000,0.99900000,1.02250000,0.93400000,1.00800000,2531534.98000000,1610755199999,2484348.85072100,38821,1261877.90000000,1238095.00584800,0
1610755200000,1.00820000,1.10520000,0.98640000,1.04370000,2554005.98000000,1610841599999,2700169.53433400,38016,1314478.38000000,1389454.45919300,0
1610841600000,1.04360000,1.14300000,0.98700000,1.11000000,2090720.66000000,1610927999999,2205339.83084800,40714,983972.44000000,1036309.51285400,0
1610928000000,1.11050000,1.18150000,1.02180000,1.18090000,3562447.12000000,1611014399999,3967613.34986100,37956,1732328.62000000,1932164.00518000,0
1611014400000,1.17990000,1.18200000,1.09000000,1.09330000,1875495.26000000,1611100799999,2157490.96172100,35727,805945.49000000,928850.52114400,0
1611100800000,1.09360000,1.29000000,1.00940000,1.23600000,2804138.38000000,1611187199999,3144473.80398100,54099,1389155.15000000,1571975.94542800,0
1611187200000,1.23630000,1.57500000,0.91000000,0.92640000,26884472.98000000,1611273599999,31793429.32424300,300622,13512790.89000000,16084041.54535700,0
1611273600000,0.93250000,1.05000000,0.86000000,0.99010000,29666908.43000000,1611359999999,29027337.57573900,269786,7814152.75000000,7656568.12985300,0
1611360000000,0.99030000,1.04780000,0.96000000,1.00390000,8441723.35000000,1611446399999,8432501.13893900,50725,3343524.47000000,3332543.30567000,0
1611446400000,1.00390000,1.07180000,0.97650000,1.01980000,8108500.08000000,1611532799999,8284216.96620200,75029,2325883.57000000,2383220.91193600,0
1611532800000,1.01960000,1.03430000,0.90920000,0.93240000,8043217.45000000,1611619199999,7949575.16783300,79429,2544075.93000000,2502047.80071500,0
1611619200000,0.93340000,0.97000000,0.90490000,0.94420000,3981911.80000000,1611705599999,3733350.36553100,40270,1549579.06000000,1453443.01466400,0
1611705600000,0.94420000,0.94450000,0.81000000,0.88280000,14312377.27000000,1611791999999,12564106.70122700,60226,9646131.61000000,8468756.38025500,0
1611792000000,0.88290000,0.95760000,0.85880000,0.93950000,5438841.59000000,1611878399999,4978457.08249900,38520,2140966.97000000,1964489.38605700,0
1611878400000,0.93940000,0.94900000,0.85780000,0.90110000,6447611.69000000,1611964799999,5769736.35505400,49265,2493007.14000000,2232577.22119400,0
1611964800000,0.90070000,0.93540000,0.87870000,0.91880000,4658412.54000000,1612051199999,4232517.83636700,31976,1737099.82000000,1580319.39117800,0
1612051200000,0.91900000,0.96470000,0.89010000,0.91860000,4612526.02000000,1612137599999,4259976.83011600,34363,1716537.01000000,1589004.39357300,0
1612137600000,0.91860000,0.99890000,0.89530000,0.97840000,5410214.61000000,1612223999999,5176119.54460300,48691,2334234.47000000,2238504.95506900,0
