otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.92570000,1.30120000,0.83230000,0.91330000,62370723.32000000,1610323199999,60330462.86840700,308704,32859469.90000000,32085181.45945600,0
1610323200000,0.91400000,1.14300000,0.79300000,1.11000000,21229882.69000000,1610927999999,19831596.67395200,244240,8301819.49000000,7911680.95938200,0
1610928000000,1.11050000,1.57500000,0.86000000,1.01980000,81343685.60000000,1611532799999,86807063.12068600,823944,30923780.94000000,33889364.36456800,0
1611532800000,1.01960000,1.03430000,0.81000000,0.91860000,47494898.36000000,1612137599999,43487720.33862700,334049,21827397.54000000,19790637.58763600,0
1612137600000,0.91860000,1.32000000,0.89530000,1.26010000,43513753.22000000,1612742399999,46902045.10289600,436629,19094658.47000000,20790637.66302500,0
1612742400000,1.25940000,2.56680000,1.24570000,2.08340000,70857945.48000000,1613347199999,142052202.17325000,917985,36997550.98000000,74274078.27541000,0
1613347200000,2.08220000,2.73000000,1.46020000,2.11770000,42262648.81000000,1613951999999,90281282.48192600,577836,21715399.99000000,46684880.33619400,0
1613952000000,2.11920000,2.12630000,1.28000000,1.56230000,32982688.04000000,1614556799999,55474319.53224800,377401,16059394.85000000,27075710.68690500,0
1614556800000,1.56130000,2.17480000,1.55740000,2.15440000,22137553.74000000,1615161599999,40497442.69598400,270627,11583562.87000000,21209740.93609300,0
1615161600000,2.15650000,2.81000000,1.94870000,2.39000000,32347497.70000000,1615766399999,75534277.46492800,551741,16989881.80000000,39788943.53544900,0
1615766400000,2.39000000,2.94550000,2.20000000,2.45460000,32098528.50000000,1616371199999,83650212.38751800,446031,16729823.28000000,43663337.03815300,0
1616371200000,2.45470000,2.89080000,1.94000000,2.67470000,29255293.40000000,1616975999999,70805300.56234200,360017,15060607.36000000,36470984.15716500,0
1616976000000,2.67440000,3.83500000,2.54840000,3.55500000,39456732.69000000,1617580799999,125051884.52969400,693345,20954134.26000000,66667075.36214100,0
1617580800000,3.55730000,3.96880000,3.01000000,3.42120000,33019897.89000000,1618185599999,115305476.06801900,596424,17197917.42000000,60223344.37906400,0
1618185600000,3.41920000,3.49320000,1.90010000,2.51510000,21275530.34000000,1618790399999,63053176.85873100,430252,10362170.52000000,31028092.14971600,0
1618790400000,2.51560000,2.63710000,1.82620000,2.26700000,31314098.02000000,1619395199999,71688356.13545900,399245,15782684.79000000,36185161.65964500,0
1619395200000,2.26550000,2.91840000,2.24650000,2.65780000,34252934.97000000,1619999999999,86731680.99463500,477744,16812966.40000000,42604416.39120300,0
1620000000000,2.65970000,3.44060000,2.59040000,3.10160000,53641548.66000000,1620604799999,162467268.06787200,795524,27152765.16000000,82470819.71987100,0
1620604800000,3.10360000,3.18500000,2.00010000,2.16880000,26256875.93000000,1621209599999,64948766.18678600,341851,12769445.88000000,31576398.87112000,0
1621209600000,2.17000000,2.17140000,0.89320000,1.11510000,39479076.05000000,1621814399999,56339131.37075000,362886,18645214.88000000,26623992.03314500,0
1621814400000,1.10770000,1.49910000,1.01360000,1.26340000,22316423.90000000,1622419199999,28235365.57822100,154660,11356026.59000000,14389733.10163300,0
1622419200000,1.26040000,1.58230000,1.19340000,1.27080000,27011913.89000000,1623023999999,37015072.54146500,212732,13460162.11000000,18453174.57263300,0
1623024000000,1.27300000,1.39220000,1.04430000,1.20600000,20152201.47000000,1623628799999,23973990.01609900,119608,9999881.94000000,11918004.57354700,0
1623628800000,1.21000000,1.44440000,1.09000000,1.15030000,39215018.95000000,1624233599999,50905995.39042200,169601,19900971.50000000,25850051.85443100,0
1624233600000,1.15200000,1.17850000,0.75000000,0.91090000,16793808.48000000,1624838399999,15310287.78345600,151460,8067548.17000000,7381452.73636000,0
1624838400000,0.90920000,1.27510000,0.88500000,1.19890000,33042172.91000000,1625443199999,37080231.99216600,279686,15945705.50000000,17864682.70341200,0
1625443200000,1.19860000,1.20640000,0.97510000,1.06060000,18725867.12000000,1626047999999,20482664.88254000,124595,9492264.90000000,10384005.04083900,0
1626048000000,1.06140000,1.28000000,0.93250000,1.07730000,37947595.64000000,1626652799999,42222423.84750400,278610,19797110.09000000,22086355.64353400,0
1626652800000,1.07730000,1.16050000,0.88370000,1.09290000,40517493.96000000,1627257599999,41735752.97132800,215296,21531377.13000000,22197884.20742500,0
1627257600000,1.09450000,1.21970000,0.96500000,1.10180000,56504370.86000000,1627862399999,61655066.06314600,325194,29099872.98000000,31771236.12838400,0
1627862400000,1.10440000,1.38680000,1.07090000,1.20110000,52550719.90000000,1628467199999,66141620.31320600,312630,26812492.50000000,33751498.14796800,0
1628467200000,1.20290000,1.79270000,1.15580000,1.70420000,65042879.09000000,1629071999999,99312516.56513900,418930,33722325.52000000,51389219.09282000,0
1629072000000,1.70420000,2.47730000,1.49860000,2.21260000,92093173.07000000,1629676799999,181664537.09188300,667190,46475425.69000000,91924993.26194300,0
1629676800000,2.21260000,3.08500000,2.14400000,2.39700000,72060049.10000000,1630281599999,180477852.33773700,623750,36032584.09000000,90514146.10458700,0
1630281600000,2.39500000,2.97000000,2.27800000,2.86500000,50326684.21000000,1630886399999,133569817.62799600,456838,25138668.78000000,66809775.29484600,0
1630886400000,2.86500000,3.00000000,1.66400000,2.15100000,49142170.36000000,1631491199999,111745980.74925000,401523,24135406.18000000,54977854.70631400,0
1631491200000,2.15300000,2.20000000,1.82700000,1.95700000,26254500.30000000,1632095999999,53131316.75010000,212798,13237060.70000000,26818934.64860000,0
1632096000000,1.95500000,1.96700000,1.40100000,1.51500000,32259760.00000000,1632700799999,53831921.23590300,210259,16206630.81000000,27033452.14560000,0
1632700800000,1.51500000,1.98200000,1.38600000,1.91600000,31065300.20000000,1633305599999,51665733.85405600,248023,15963190.60000000,26534249.94660000,0
1633305600000,1.91600000,2.22700000,1.74400000,1.79800000,23020221.80000000,1633910399999,46081935.02420000,208276,11307095.50000000,22687786.16280000,0
1633910400000,1.79800000,2.21800000,1.63900000,2.13200000,36776762.30000000,1634515199999,72653645.64160000,331665,19100277.40000000,37803351.91000000,0
1634515200000,2.13300000,2.17200000,1.89900000,1.94600000,23355133.00000000,1635119999999,47545993.94880000,200981,11547736.40000000,23528822.72950000,0
1635120000000,1.94600000,2.29700000,1.74800000,1.95100000,35907848.40000000,1635724799999,71254295.23960000,289689,18445788.60000000,36621376.77890000,0
1635724800000,1.95200000,2.30600000,1.85500000,2.15200000,27234988.60000000,1636329599999,57504154.28700000,281844,13893738.40000000,29403404.89540000,0
1636329600000,2.15300000,2.15600000,1.68600000,1.92300000,22090476.10000000,1636934399999,43131652.66130000,187577,11118795.70000000,21731916.97730000,0
1636934400000,1.92500000,2.02900000,1.50400000,1.75300000,21200843.10000000,1637539199999,37162580.20460000,177705,10460371.40000000,18353563.57750000,0
1637539200000,1.75000000,1.91300000,1.55000000,1.67900000,17738895.70000000,1638143999999,30660962.67150000,165448,8676121.50000000,15041474.71170000,0
1638144000000,1.67900000,3.28000000,1.20000000,1.53300000,156305680.22000000,1638748799999,394333713.28488900,1206428,77523626.97000000,196259092.39558900,0
1638748800000,1.53300000,1.79900000,1.40400000,1.66400000,18552944.50000000,1639353599999,30127800.69320000,119783,9681363.60000000,15739945.53610000,0
