otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.04034000,0.04509000,0.03995000,0.04181000,10237073.00000000,1609545599999,439061.64554100,3146,5322940.20000000,228111.83687400,0
1609545600000,0.04220000,0.04400000,0.04040000,0.04225000,6201672.50000000,1609631999999,259277.76134200,2468,2996796.60000000,126187.43262500,0
1609632000000,0.04225000,0.04619000,0.04021000,0.04578000,13628978.30000000,1609718399999,591568.08926200,5795,7368965.90000000,320828.19040200,0
1609718400000,0.04580000,0.04886000,0.04100000,0.04513000,18384930.80000000,1609804799999,829712.62882100,8670,8582235.30000000,389645.52458000,0
1609804800000,0.04520000,0.04711000,0.04237000,0.04450000,10993941.60000000,1609891199999,492549.28577400,5043,5278191.80000000,237109.45272900,0
1609891200000,0.04465000,0.04762000,0.04234000,0.04620000,18335832.70000000,1609977599999,829477.04757000,8154,8593289.60000000,389542.86116000,0
1609977600000,0.04624000,0.05131000,0.04247000,0.04752000,43501322.10000000,1610063999999,2045101.12271400,16979,20576295.50000000,972060.74337500,0
1610064000000,0.04759000,0.05000000,0.04300000,0.04716000,17788012.60000000,1610150399999,834062.44345000,7911,7729206.00000000,364063.20271900,0
1610150400000,0.04716000,0.05523000,0.04607000,0.05163000,28860116.60000000,1610236799999,1506692.93429100,13922,15292984.70000000,797472.67552200,0
1610236800000,0.05196000,0.06135000,0.04826000,0.05409000,54974792.00000000,1610323199999,3051792.11036400,17398,25107964.10000000,1399544.00072200,0
1610323200000,0.05409000,0.05586000,0.04101000,0.04760000,28292095.60000000,1610409599999,1341031.68138200,11146,13376192.40000000,632697.19979100,0
1610409600000,0.04740000,0.04923000,0.04332000,0.04491000,12054740.50000000,1610495999999,560879.83375800,5181,5666474.00000000,264374.44471800,0
1610496000000,0.04486000,0.05118000,0.04326000,0.05015000,15068479.40000000,1610582399999,709799.98683000,6120,7829047.60000000,371087.08915800,0
1610582400000,0.05015000,0.05069000,0.04743000,0.04879000,11436648.60000000,1610668799999,559552.35160900,7166,5613553.20000000,274830.07062800,0
1610668800000,0.04887000,0.05110000,0.04500000,0.04832000,15945437.50000000,1610755199999,768926.43524000,7049,7592142.30000000,366764.73151700,0
1610755200000,0.04826000,0.05329000,0.04768000,0.05250000,20521051.10000000,1610841599999,1041131.53923600,7877,10689833.00000000,542026.20838300,0
