otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1633305600000,2.42100000,3.28000000,2.05000000,2.49900000,19463751.70000000,1633910399999,46367033.27470000,116006,9295658.60000000,22181270.94660000,0
1633910400000,2.48600000,2.60000000,1.89400000,1.97300000,13983474.50000000,1634515199999,29560941.74610000,68670,6587290.10000000,13982303.35160000,0
1634515200000,1.97300000,2.09500000,1.60000000,1.80800000,8791839.40000000,1635119999999,16720660.14580000,42958,4135930.60000000,7877971.46620000,0
1635120000000,1.80400000,3.13700000,1.51300000,1.70900000,31512701.00000000,1635724799999,68924085.84640000,188409,15279192.00000000,33542154.10160000,0
1635724800000,1.70900000,1.97400000,1.63400000,1.72800000,9984945.80000000,1636329599999,17327890.91250000,58151,4769759.50000000,8286068.29980000,0
1636329600000,1.72900000,1.77900000,1.60000000,1.71100000,6745355.20000000,1636934399999,11590391.40680000,42421,3216883.10000000,5530951.85190000,0
1636934400000,1.71100000,2.35500000,1.37300000,1.57600000,12374126.20000000,1637539199999,21179462.25410000,72857,5878079.10000000,10120494.10130000,0
1637539200000,1.57300000,1.75000000,1.33700000,1.47600000,10935670.10000000,1638143999999,16276106.12820000,54201,5188767.20000000,7742548.52200000,0
1638144000000,1.48100000,1.75000000,1.03000000,1.27000000,13444190.80000000,1638748799999,19552090.70550000,60813,6339672.40000000,9240036.50120000,0
1638748800000,1.27000000,1.36100000,1.15000000,1.25100000,2347125.50000000,1639353599999,2891431.80240000,10893,1233637.60000000,1523763.38050000,0
