otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.03891000,0.06999000,0.03740000,0.04879000,254355612.30000000,1610323199999,12991773.00554300,115637,127035191.10000000,6551525.85276600,0
1610323200000,0.04877000,0.05614000,0.03717000,0.05024000,107801830.80000000,1610927999999,4991258.16546400,50177,52380251.60000000,2438665.20813100,0
1610928000000,0.05024000,0.07387000,0.04555000,0.06145000,276936682.30000000,1611532799999,17019867.22467300,123375,143502198.60000000,8864011.64841100,0
1611532800000,0.06142000,0.06912000,0.05080000,0.05910000,111254705.90000000,1612137599999,6500808.28417500,68047,52697435.90000000,3093221.41697800,0
1612137600000,0.05901000,0.08300000,0.05700000,0.06946000,135370811.40000000,1612742399999,9550848.86720300,92168,65780030.50000000,4649342.52045100,0
1612742400000,0.06946000,0.19000000,0.06767000,0.11304000,906656110.00000000,1613347199999,125399799.23133000,458477,448413064.80000000,62483218.72106900,0
1613347200000,0.11326000,0.12700000,0.09512000,0.11276000,223538306.70000000,1613951999999,25183886.62469800,151782,110149090.10000000,12441417.45990000,0
1613952000000,0.11344000,0.11344000,0.06930000,0.07973000,222244729.00000000,1614556799999,19419053.49767500,114255,107670170.90000000,9405199.44223100,0
1614556800000,0.08015000,0.11444000,0.07999000,0.09616000,178415772.30000000,1615161599999,17189584.06841300,105234,89754464.60000000,8652680.83051500,0
1615161600000,0.09620000,0.15629000,0.09200000,0.13762000,260651557.10000000,1615766399999,32606553.60638000,193661,129069007.80000000,16170145.63614600,0
1615766400000,0.13763000,0.17990000,0.11643000,0.14169000,296763421.40000000,1616371199999,44528730.03407300,236508,142574000.60000000,21470236.19966500,0
1616371200000,0.14145000,0.20775000,0.13501000,0.16586000,561877459.20000000,1616975999999,93871680.67545100,602161,279240025.20000000,46701760.81627800,0
1616976000000,0.16554000,0.19856000,0.15553000,0.18306000,270225535.70000000,1617580799999,47646093.34585100,318824,137170385.50000000,24184297.23487900,0
1617580800000,0.18323000,0.32000000,0.17680000,0.21829000,1108559887.50000000,1618185599999,263242373.01332400,821962,569677520.10000000,135536938.04764200,0
1618185600000,0.21793000,0.23000000,0.15501000,0.17090000,224949725.60000000,1618790399999,44571948.39717100,234723,109843028.80000000,21784635.24844000,0
1618790400000,0.17068000,0.17700000,0.10564000,0.11940000,179086683.60000000,1619395199999,24998443.05758900,131359,90090985.50000000,12545094.02177300,0
1619395200000,0.11963000,0.18400000,0.11665000,0.16551000,191465510.70000000,1619999999999,29623764.98075100,169058,95657384.40000000,14794694.82127900,0
1620000000000,0.16546000,0.20850000,0.16056000,0.16456000,308310271.10000000,1620604799999,57014441.79053700,276200,156188839.50000000,28943665.12135100,0
1620604800000,0.16450000,0.19679000,0.11977000,0.14409000,478428046.30000000,1621209599999,77109575.87527000,298391,242959715.20000000,39252168.82463600,0
1621209600000,0.14408000,0.15062000,0.04859000,0.06136000,250740287.20000000,1621814399999,25602808.61650200,119906,124641573.60000000,12763508.55179400,0
1621814400000,0.06145000,0.09718000,0.05946000,0.08212000,181332768.80000000,1622419199999,14743700.69687300,88166,90778281.50000000,7392961.14050900,0
1622419200000,0.08212000,0.09720000,0.07264000,0.07927000,162754699.90000000,1623023999999,13847931.07402200,75995,83788308.40000000,7167985.89388700,0
1623024000000,0.07949000,0.25863000,0.06599000,0.18420000,8163290114.50000000,1623628799999,1437165586.63052000,3970043,4172026166.80000000,735748133.81367700,0
1623628800000,0.18446000,0.20300000,0.12446000,0.14401000,1859308056.00000000,1624233599999,299716961.41583600,1208629,928180327.50000000,149741573.34337300,0
1624233600000,0.14400000,0.14503000,0.08189000,0.11708000,1489649815.20000000,1624838399999,176278824.26874900,772979,747037611.70000000,88485397.90868000,0
1624838400000,0.11721000,0.13299000,0.11022000,0.11345000,599360626.10000000,1625443199999,70518141.46907600,323402,301729494.20000000,35520651.19955700,0
1625443200000,0.11332000,0.11450000,0.09400000,0.09635000,504794850.30000000,1626047999999,52034527.65519000,345364,248583920.80000000,25619636.97838300,0
1626048000000,0.09636000,0.13000000,0.07916000,0.08992000,1122209727.10000000,1626652799999,117150648.60303400,523774,562479323.40000000,58851417.37747400,0
1626652800000,0.08992000,0.09289000,0.07310000,0.08961000,525468509.10000000,1627257599999,45019811.35496100,207716,261967706.70000000,22446893.32959300,0
1627257600000,0.08952000,0.11380000,0.08537000,0.09670000,999542960.80000000,1627862399999,99061977.93623800,393960,510896025.00000000,50649032.65297700,0
1627862400000,0.09679000,0.15348000,0.09115000,0.12079000,1168449833.70000000,1628467199999,144812728.13095100,560057,602574955.80000000,74725113.32176000,0
1628467200000,0.12079000,0.16685000,0.11760000,0.14332000,610012516.10000000,1629071999999,84294033.25927200,372228,308778282.20000000,42703015.38767000,0
1629072000000,0.14332000,0.18279000,0.13675000,0.16908000,945139097.00000000,1629676799999,152879937.18993600,573696,485213226.00000000,78565709.84207100,0
1629676800000,0.16906000,0.17928000,0.14400000,0.16143000,478914187.90000000,1630281599999,77575844.14291800,332626,243992537.80000000,39536881.77697200,0
1630281600000,0.16153000,0.16313000,0.14219000,0.15598000,281468179.80000000,1630886399999,42453344.77944700,187594,144434645.20000000,21803735.53955500,0
1630886400000,0.15598000,0.16700000,0.11310000,0.12704000,431838879.00000000,1631491199999,59706234.86648800,247917,225047270.70000000,31121678.74006700,0
1631491200000,0.12692000,0.15291000,0.11312000,0.13522000,369175137.60000000,1632095999999,49859665.34903900,238224,188850970.30000000,25562181.83868100,0
1632096000000,0.13537000,0.13577000,0.10591000,0.11448000,312175602.90000000,1632700799999,37853446.81169500,192374,156325011.50000000,18952586.64765800,0
1632700800000,0.11433000,0.12676000,0.10820000,0.12168000,203363011.00000000,1633305599999,24110351.12340300,119110,100459952.60000000,11919152.17166800,0
1633305600000,0.12151000,0.22300000,0.11101000,0.15534000,2278417435.50000000,1633910399999,398292910.69762500,1071509,1173836049.00000000,205660881.15129500,0
1633910400000,0.15534000,0.17220000,0.13343000,0.15104000,755071180.50000000,1634515199999,114227768.90803400,429290,374504987.60000000,56750068.79510800,0
1634515200000,0.15111000,0.16374000,0.13681000,0.13893000,269696678.90000000,1635119999999,39998666.33191900,163543,137284453.30000000,20377574.61168100,0
1635120000000,0.13873000,0.14672000,0.12140000,0.13791000,276639824.80000000,1635724799999,37683148.25084300,157814,135429901.60000000,18470252.49622500,0
1635724800000,0.13791000,0.18600000,0.13471000,0.14610000,621005408.80000000,1636329599999,97116586.18352600,360103,311599509.60000000,48812458.73060800,0
1636329600000,0.14622000,0.16762000,0.13400000,0.14777000,308170000.50000000,1636934399999,45526202.15162500,162296,157055387.70000000,23222215.85066000,0
1636934400000,0.14780000,0.17200000,0.12275000,0.14126000,334693015.80000000,1637539199999,48992432.29952000,203660,169674982.20000000,24913170.31160400,0
1637539200000,0.14131000,0.19000000,0.12945000,0.14778000,593436319.90000000,1638143999999,89904534.39743100,347906,294104840.60000000,44722388.59508700,0
1638144000000,0.14775000,0.21812000,0.12280000,0.13996000,1059450657.10000000,1638748799999,180038277.70031500,625070,535407629.20000000,91238590.88978300,0
1638748800000,0.13980000,0.14499000,0.12161000,0.14102000,45633623.70000000,1639353599999,6123227.26152600,31682,22429798.80000000,3010369.38943300,0
