otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,48.28900000,71.06000000,41.50000000,55.48800000,264077.34000000,1610323199999,14711087.35722900,99279,132795.28700000,7417346.38965200,0
1610323200000,55.66800000,61.56300000,44.00000000,56.63500000,190346.59100000,1610927999999,10099048.70566000,67017,101452.20100000,5430360.58949700,0
1610928000000,56.71400000,60.00000000,45.37700000,49.78200000,110179.47400000,1611532799999,5886818.88874800,42870,55566.67600000,2990328.52037700,0
1611532800000,50.05600000,69.80000000,50.00000000,65.75800000,182005.00400000,1612137599999,10821178.26462000,96690,97168.33500000,5793599.75809300,0
1612137600000,66.02100000,94.89900000,63.83200000,81.21000000,201208.84000000,1612742399999,16246174.42126500,116232,117723.46200000,9549903.68605100,0
1612742400000,81.21100000,121.76800000,79.56100000,114.06100000,417013.68800000,1613347199999,44021904.59992200,167033,223092.34400000,23571948.25069700,0
1613347200000,113.48100000,172.00000000,100.99900000,162.22000000,277323.74300000,1613951999999,39087093.77573100,215460,145411.19300000,20564323.97402600,0
1613952000000,162.03100000,165.00000000,110.63000000,134.67000000,214629.94100000,1614556799999,29636495.18425700,130266,126760.40400000,17416017.00223000,0
1614556800000,134.80400000,156.33300000,131.95000000,153.13000000,99426.32200000,1615161599999,14642432.76113000,71505,55283.26500000,8153840.16552200,0
1615161600000,152.87000000,184.00000000,143.91500000,177.01000000,155680.41400000,1615766399999,26256383.80214900,111762,83653.60800000,14095112.13319500,0
1615766400000,177.01000000,182.98800000,158.44900000,165.81800000,88257.98000000,1616371199999,14646247.41579900,70762,42421.22100000,7042711.26479900,0
1616371200000,166.39400000,168.76900000,142.11600000,166.67200000,65297.82900000,1616975999999,10249504.01526700,51569,35172.76500000,5526546.85961200,0
1616976000000,166.67300000,188.00000000,162.29400000,186.33500000,86590.46400000,1617580799999,15536845.30514500,78649,48676.19100000,8750679.43134300,0
1617580800000,186.49900000,198.50300000,177.14900000,196.50700000,81267.85600000,1618185599999,15371596.93042300,79956,48237.21600000,9124382.84057300,0
