otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1615161600000,7.25000000,34.70000000,7.25000000,25.51000000,39681454.70400000,1615766399999,741906765.28060000,1598795,20393446.31600000,384653736.79738900,0
1615766400000,25.58600000,31.95000000,16.83500000,19.88900000,29434424.93800000,1616371199999,668792023.10505300,1684757,14464013.60000000,330405142.36927200,0
1616371200000,19.88700000,20.88800000,14.30600000,19.22900000,10661601.82800000,1616975999999,191381726.93991800,604097,5172647.73700000,93103071.01287700,0
1616976000000,19.22900000,20.20000000,14.69400000,16.92800000,6337906.67700000,1617580799999,110639480.30517000,411907,2983938.22400000,52201839.72245600,0
1617580800000,16.92900000,19.50000000,13.00000000,17.79400000,8423616.69400000,1618185599999,143433857.22638300,479908,4191936.43500000,71610929.42270500,0
1618185600000,17.82200000,20.48900000,12.02500000,13.12500000,7376981.89600000,1618790399999,119727133.11735100,349844,3451154.63200000,56290985.30588200,0
1618790400000,13.12500000,14.59900000,8.48400000,10.19300000,8589811.46400000,1619395199999,95383738.29870300,308432,4190011.49200000,46650695.85015300,0
1619395200000,10.20800000,18.90000000,10.10100000,18.24000000,22755835.20600000,1619999999999,349050919.02766200,892976,11438646.84100000,175532094.96307300,0
1620000000000,18.26100000,19.50000000,13.80100000,14.16100000,11688618.00700000,1620604799999,188113875.69468600,513349,5572767.97300000,89985014.65308400,0
1620604800000,14.18200000,15.15500000,9.70000000,12.14300000,9664051.19500000,1621209599999,114699539.39597000,351029,4744574.88200000,56322288.85672400,0
1621209600000,12.15600000,13.20000000,4.01000000,4.92500000,12563691.42300000,1621814399999,114726722.81084100,384281,6076402.38900000,55515409.32611800,0
1621814400000,4.92500000,9.20000000,4.89600000,8.20500000,12172530.67000000,1622419199999,88772601.14959200,353915,6087193.11500000,44484437.81536200,0
1622419200000,8.20800000,8.75000000,6.71500000,7.24800000,5735422.04200000,1623023999999,44764446.11529100,179819,2819719.34800000,22033413.83212000,0
1623024000000,7.25300000,7.82000000,5.45600000,6.72000000,7798157.57000000,1623628799999,52228903.08072400,196024,3831586.06100000,25768957.04830000,0
1623628800000,6.71800000,7.29200000,5.25100000,5.74800000,4764092.20900000,1624233599999,31800965.87654400,113860,2368274.50100000,15877317.93953500,0
1624233600000,5.75800000,5.81800000,3.45100000,4.46300000,5178767.52600000,1624838399999,23596592.59731800,120796,2527895.96900000,11504395.11790600,0
1624838400000,4.46500000,5.56000000,4.10000000,5.01600000,5215347.89800000,1625443199999,25014310.64297800,117534,2593683.06900000,12464410.89094100,0
1625443200000,5.01300000,7.07300000,4.60000000,6.40900000,11238604.76600000,1626047999999,65450624.41180900,272166,5586297.87700000,32616135.55717900,0
1626048000000,6.41100000,8.30000000,5.39600000,5.59900000,14180528.85300000,1626652799999,95950504.33036900,377025,6967139.51300000,47335860.32233500,0
1626652800000,5.60500000,10.98100000,4.33900000,10.28800000,20950990.32800000,1627257599999,160741047.19018700,529515,10436663.40600000,80624711.46416700,0
1627257600000,10.28200000,11.73800000,7.59500000,10.42500000,37773516.67200000,1627862399999,374193582.54957600,1090289,18622799.41600000,185048405.58782600,0
1627862400000,10.41400000,12.39800000,9.33000000,10.92000000,19837516.11700000,1628467199999,219231650.06610600,619378,9730426.29500000,107847635.99707900,0
1628467200000,10.93900000,12.09900000,9.37100000,10.31400000,15237508.00300000,1629071999999,162106849.01547200,439186,7334060.43900000,78220029.51432700,0
1629072000000,10.31400000,12.82300000,8.93100000,11.07000000,15642122.89400000,1629676799999,169186017.51974800,577534,7585008.56700000,82159877.83077300,0
1629676800000,11.07000000,13.60000000,9.33500000,13.09000000,20886430.98300000,1630281599999,233088855.45430200,793361,10345156.89900000,115771048.92511900,0
1630281600000,13.10000000,13.35000000,10.66000000,11.16000000,9979486.00000000,1630886399999,113700923.59230000,287561,4696060.86000000,53476163.85650000,0
1630886400000,11.15000000,12.20000000,7.72000000,8.93000000,9100458.74500000,1631491199999,88400500.14726500,276086,4312324.46800000,41931897.97161500,0
1631491200000,8.94000000,10.40000000,7.97000000,8.75000000,6132406.63000000,1632095999999,54548599.22730000,177134,3049154.04000000,27205448.97640000,0
1632096000000,8.77000000,8.79000000,5.98000000,6.55000000,8299955.69000000,1632700799999,60842549.15843800,205681,4037190.85700000,29574409.51200300,0
1632700800000,6.53000000,8.88000000,6.07000000,7.93000000,6383046.27000000,1633305599999,46412627.17660000,187690,3078359.04000000,22405233.64460000,0
1633305600000,7.92000000,8.69000000,7.35000000,7.60000000,4172404.57000000,1633910399999,33530736.16120000,121658,1972967.25000000,15880177.20560000,0
1633910400000,7.60000000,10.14000000,6.98000000,8.69000000,6208982.10000000,1634515199999,52736919.36210000,184317,3010149.04000000,25593270.42470000,0
1634515200000,8.69000000,9.21000000,8.06000000,8.30000000,4180430.31000000,1635119999999,35873255.03310000,120934,2142468.36000000,18454026.26770000,0
1635120000000,8.30000000,10.85000000,7.28000000,9.20000000,7329389.99000000,1635724799999,66188993.73360000,209951,3673843.18000000,33266488.15660000,0
1635724800000,9.20000000,10.54000000,8.60000000,10.00000000,5416110.18000000,1636329599999,51757510.25510000,162898,2615047.55000000,25041520.53130000,0
1636329600000,9.99000000,10.47000000,8.32000000,8.77000000,3606543.03000000,1636934399999,33418902.90520000,101901,1705299.21000000,15800345.35900000,0
1636934400000,8.78000000,14.00000000,7.31000000,10.69000000,13683447.23400000,1637539199999,143484829.76994600,369449,6681621.78800000,70271918.84613600,0
1637539200000,10.71000000,14.44000000,8.83000000,9.61000000,12120930.89600000,1638143999999,135238685.60842400,369685,5897034.18300000,65896973.37213400,0
1638144000000,9.61000000,10.79000000,6.30000000,6.39000000,8185297.40000000,1638748799999,69009824.53320000,213632,4043732.89000000,33936350.61820000,0
1638748800000,6.40000000,6.96000000,5.80000000,6.85000000,1097322.51300000,1639353599999,6857840.96866000,35781,556409.77300000,3489080.93636000,0
