otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.00022000,0.00042700,0.00020500,0.00031380,21823205515.00000000,1610323199999,6726982.63801450,72366,10740963592.00000000,3310682.21308930,0
1610323200000,0.00031270,0.00033000,0.00023130,0.00029080,12556224598.00000000,1610927999999,3490188.69301010,41865,6038287837.00000000,1688683.14439480,0
1610928000000,0.00029170,0.00031090,0.00024310,0.00029840,9391330526.00000000,1611532799999,2713358.27612190,34332,4066465720.00000000,1182007.85401670,0
1611532800000,0.00029840,0.00059990,0.00025800,0.00036130,36423234596.00000000,1612137599999,14608610.38321410,112396,17687376271.00000000,7152919.88547750,0
1612137600000,0.00036110,0.00050000,0.00033380,0.00042850,32400329671.00000000,1612742399999,13675229.59219420,118981,15508453265.00000000,6565421.04700170,0
1612742400000,0.00042850,0.00199560,0.00042100,0.00142080,149274162815.00000000,1613347199999,184384213.69928500,789203,76158717974.00000000,94101651.31164110,0
1613347200000,0.00142000,0.00278470,0.00100000,0.00232790,69196262446.00000000,1613951999999,115607889.52970400,574764,35029997725.00000000,59169658.33991420,0
1613952000000,0.00231840,0.00264920,0.00132180,0.00148600,60643850792.00000000,1614556799999,117321091.19721830,552083,28417399050.00000000,55280838.94918450,0
1614556800000,0.00149010,0.00190720,0.00148340,0.00166940,28354306864.00000000,1615161599999,47393830.60249320,263052,13680365803.00000000,22897684.60532280,0
1615161600000,0.00167590,0.00399900,0.00158390,0.00345000,82778396898.00000000,1615766399999,233656238.94610880,894141,42977428175.00000000,121449615.35989870,0
1615766400000,0.00345010,0.00800000,0.00289890,0.00721200,102059880868.00000000,1616371199999,530789153.91947460,1505963,52256617031.00000000,273095564.87458900,0
1616371200000,0.00721190,0.01499400,0.00682010,0.01007840,204770135517.00000000,1616975999999,2216530961.31977990,4603652,104292957378.00000000,1130189493.76452980,0
1616976000000,0.01006760,0.01881240,0.01004500,0.01739140,154614668991.00000000,1617580799999,2252248221.39116600,5046351,78675982640.00000000,1145452233.67734080,0
1617580800000,0.01737530,0.02270000,0.01243420,0.01406380,120932624540.00000000,1618185599999,1995657581.42293320,4510498,60910214959.00000000,1006218299.65427300,0
1618185600000,0.01406390,0.01490000,0.00757320,0.01012570,117928037098.00000000,1618790399999,1380896864.04298260,3650903,59611565476.00000000,699350208.63744300,0
1618790400000,0.01012570,0.01118970,0.00500000,0.00798750,151254203874.00000000,1619395199999,1229756883.95636800,3015010,76309447549.00000000,621447673.35372340,0
1619395200000,0.00798210,0.01289000,0.00788570,0.01062010,146069608096.00000000,1619999999999,1577064883.88293090,3664664,74268350973.00000000,802015860.28703650,0
1620000000000,0.01062010,0.01169900,0.00832470,0.00906270,90319049568.00000000,1620604799999,891573585.78231090,2390406,45537356601.00000000,450206905.63364660,0
1620604800000,0.00906270,0.00938890,0.00555550,0.00727000,85782574787.00000000,1621209599999,616778878.79894170,1749014,43380951845.00000000,312020641.54309100,0
1621209600000,0.00726910,0.00782460,0.00245430,0.00302340,103319486599.00000000,1621814399999,472397408.30942820,1446998,51854096230.00000000,237269922.22602490,0
