otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,1.16300000,1.29000000,1.14800000,1.21500000,1288405.53900000,1609545599999,1567361.21041900,11893,626973.61700000,765028.79378200,0
1609545600000,1.21600000,1.22100000,1.15000000,1.16900000,1161229.07700000,1609631999999,1366740.17675300,10150,493722.68000000,582835.45530800,0
1609632000000,1.17000000,1.37700000,1.15200000,1.31100000,2537078.98000000,1609718399999,3122226.66247000,18429,1329596.24900000,1643807.29167600,0
1609718400000,1.30800000,1.48300000,1.20200000,1.44100000,3212461.11800000,1609804799999,4380725.61624100,26385,1705121.11800000,2339016.59210100,0
1609804800000,1.44500000,1.47400000,1.30000000,1.41100000,2073254.15200000,1609891199999,2896564.89776400,16578,1020569.93200000,1432493.03888100,0
1609891200000,1.41000000,1.69600000,1.36000000,1.55000000,2985552.25300000,1609977599999,4565779.33790300,24717,1563293.10000000,2393548.63352800,0
1609977600000,1.55000000,1.63500000,1.37800000,1.46000000,2358020.41800000,1610063999999,3581266.28182800,18856,1072649.57000000,1635625.34445200,0
1610064000000,1.46400000,1.46900000,1.31300000,1.42400000,1782260.39700000,1610150399999,2491224.80712800,13531,790970.69300000,1108643.56258100,0
1610150400000,1.42400000,1.74500000,1.42400000,1.57100000,3700586.54000000,1610236799999,5932589.92283700,27257,1775207.87000000,2860100.76088900,0
1610236800000,1.57200000,1.70000000,1.35000000,1.46500000,2429009.30700000,1610323199999,3706135.65924000,21976,1148274.12100000,1763267.19060300,0
1610323200000,1.46900000,1.47000000,1.15100000,1.29700000,2323577.41300000,1610409599999,2970248.14286600,16132,991101.54000000,1267185.04484700,0
1610409600000,1.29700000,1.38000000,1.21100000,1.23100000,1487633.07900000,1610495999999,1919677.32551500,12914,681052.17200000,880658.69532400,0
1610496000000,1.23600000,1.39000000,1.19000000,1.30900000,1455556.30800000,1610582399999,1872309.03447500,12052,723138.72000000,933400.81630600,0
1610582400000,1.31000000,1.38900000,1.28200000,1.34100000,1522383.82700000,1610668799999,2031847.11711000,14412,703852.79200000,940200.05771800,0
1610668800000,1.34300000,1.57000000,1.27300000,1.53200000,5135910.76600000,1610755199999,7279705.76572600,38190,2538368.70800000,3605472.65863500,0
1610755200000,1.52600000,1.60000000,1.42300000,1.50900000,3866464.95400000,1610841599999,5853431.20517500,33323,1798527.98400000,2730472.32499400,0
1610841600000,1.50900000,1.95000000,1.43200000,1.78500000,6318071.78500000,1610927999999,10722252.66790900,56307,3300495.60600000,5625312.37939900,0
1610928000000,1.78200000,1.86400000,1.63800000,1.75500000,3797901.16700000,1611014399999,6600728.25329400,37112,1724405.47300000,3003971.98593600,0
1611014400000,1.75600000,1.90000000,1.64600000,1.69900000,3081064.95700000,1611100799999,5338974.31901900,30551,1379143.43300000,2393278.77315800,0
1611100800000,1.69400000,2.10000000,1.67200000,1.94400000,6234335.03000000,1611187199999,11640056.77458300,56254,3046076.59600000,5716284.15574600,0
1611187200000,1.94400000,1.94400000,1.53300000,1.57400000,3495010.78600000,1611273599999,6005452.57806500,26742,1432960.45100000,2471802.50173100,0
1611273600000,1.57500000,1.82000000,1.45000000,1.69000000,2747271.28200000,1611359999999,4548626.16785400,22891,1281227.88500000,2130313.68366800,0
1611360000000,1.69200000,2.17000000,1.64500000,2.10000000,6287163.98900000,1611446399999,12216756.22201700,54321,3351587.94000000,6488961.87379800,0
1611446400000,2.10000000,2.34800000,1.95000000,2.09900000,5592615.99500000,1611532799999,11846581.97562700,56130,2699084.20500000,5732588.04093500,0
1611532800000,2.09800000,2.17600000,1.85000000,1.91700000,3515481.09300000,1611619199999,7153182.88276400,35780,1485080.05900000,3033310.91656000,0
1611619200000,1.91400000,2.24900000,1.74700000,2.05200000,5268101.15200000,1611705599999,10319441.41043100,48669,2601277.35800000,5128520.03276300,0
