otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.01831900,0.02018500,0.01739700,0.01758800,45146068.00000000,1609545599999,842915.81080200,8427,19732075.00000000,370177.57483100,0
1609545600000,0.01758800,0.01921300,0.01699800,0.01827300,56818315.00000000,1609631999999,1015481.71309400,7396,27292727.00000000,489853.14907200,0
1609632000000,0.01820900,0.01900000,0.01744100,0.01824000,30378203.00000000,1609718399999,552354.91488100,5968,13275522.00000000,242016.95109200,0
1609718400000,0.01821000,0.02127500,0.01620200,0.01963800,102891980.00000000,1609804799999,1982374.96955000,15004,52753468.00000000,1019418.95711900,0
1609804800000,0.01963800,0.02078100,0.01743600,0.01909600,99818161.00000000,1609891199999,1909476.85204000,14874,56480702.00000000,1085005.37363100,0
1609891200000,0.01909800,0.02024200,0.01831600,0.01970100,51127820.00000000,1609977599999,987229.33717600,10282,27599113.00000000,533274.21532600,0
1609977600000,0.01970100,0.02160000,0.01932000,0.02013100,37254407.00000000,1610063999999,768661.57067700,7684,16660126.00000000,344804.08524900,0
1610064000000,0.02019100,0.02120000,0.01800200,0.01895900,36867413.00000000,1610150399999,712699.40923000,7244,14551578.00000000,281742.68179300,0
1610150400000,0.01889300,0.02100000,0.01798000,0.02029900,44566573.00000000,1610236799999,878421.09714300,8832,21882282.00000000,431435.65998600,0
1610236800000,0.02029700,0.02450000,0.01866300,0.02164500,91730647.00000000,1610323199999,1978914.65638000,14851,46986246.00000000,1018466.64430200,0
1610323200000,0.02167000,0.02555000,0.01844600,0.01994500,201118412.00000000,1610409599999,4368299.82241200,32110,91721277.00000000,1989660.29951300,0
1610409600000,0.01994600,0.02279200,0.01880500,0.02016700,68365700.00000000,1610495999999,1387301.80706900,13782,34141905.00000000,694590.50174100,0
1610496000000,0.02016800,0.02088000,0.01972600,0.02042100,37755495.00000000,1610582399999,765436.52536700,8027,18983555.00000000,385579.67387800,0
1610582400000,0.02045400,0.02275000,0.01972800,0.02144400,61298714.00000000,1610668799999,1294954.68057900,13665,31717186.00000000,672308.96086900,0
1610668800000,0.02134300,0.02423800,0.01990000,0.02228000,67189944.00000000,1610755199999,1489133.76431500,16739,33153406.00000000,738510.01609900,0
1610755200000,0.02228000,0.02530000,0.02146700,0.02214900,47338191.00000000,1610841599999,1075013.75927700,12228,23988421.00000000,545305.21903900,0
1610841600000,0.02225800,0.02624000,0.02020000,0.02460900,87256023.00000000,1610927999999,2003515.01354200,17076,43162912.00000000,992301.97526900,0
1610928000000,0.02454400,0.02718200,0.02382400,0.02552700,52294080.00000000,1611014399999,1342993.46473400,14900,26437687.00000000,681097.92686200,0
1611014400000,0.02552700,0.02571200,0.02319800,0.02332800,34548795.00000000,1611100799999,847160.40197400,10409,15193163.00000000,373159.12037200,0
1611100800000,0.02332800,0.02584900,0.02214700,0.02480800,39588821.00000000,1611187199999,944695.32777300,11793,21171260.00000000,505411.90309000,0
1611187200000,0.02473000,0.03295900,0.02322500,0.02353000,124785856.00000000,1611273599999,3431844.41073200,29487,69567822.00000000,1928918.60382600,0
1611273600000,0.02353000,0.02434000,0.02062500,0.02324000,88072380.00000000,1611359999999,2003002.92518200,18603,38897665.00000000,889548.33918900,0
1611360000000,0.02322200,0.02475500,0.02280700,0.02415700,21319979.00000000,1611446399999,508214.00269900,6782,10059576.00000000,240662.22735800,0
1611446400000,0.02415700,0.02765000,0.02382600,0.02617600,38698203.00000000,1611532799999,1002942.60308700,12244,20100421.00000000,521937.89670900,0
1611532800000,0.02612000,0.02662700,0.02308900,0.02362400,29941877.00000000,1611619199999,748843.74396700,9218,11971570.00000000,299905.12281300,0
1611619200000,0.02346000,0.02407200,0.02257700,0.02396600,16194488.00000000,1611705599999,377794.24107700,6217,7039443.00000000,164748.39864300,0
1611705600000,0.02383000,0.02383000,0.01972200,0.02105900,21277750.00000000,1611791999999,453753.56493500,5903,9617685.00000000,203979.74904300,0
1611792000000,0.02092800,0.02474800,0.02052000,0.02302200,38537691.00000000,1611878399999,887430.24047100,10112,17844212.00000000,410978.42033100,0
1611878400000,0.02301900,0.02498600,0.02173100,0.02338100,52900820.00000000,1611964799999,1228290.60626200,13739,24038162.00000000,561290.18128900,0
1611964800000,0.02338200,0.02373300,0.02200000,0.02244000,21541540.00000000,1612051199999,489655.00034700,6506,9742947.00000000,221684.93816300,0
1612051200000,0.02244000,0.02500000,0.02211900,0.02374000,51015982.00000000,1612137599999,1200892.59387900,11958,26389535.00000000,622045.84775200,0
1612137600000,0.02374200,0.02558100,0.02270900,0.02524800,42391114.00000000,1612223999999,1026573.72708900,11638,22471765.00000000,543402.70532900,0
1612224000000,0.02527300,0.03095800,0.02452100,0.02877300,92539320.00000000,1612310399999,2552800.01356600,17700,57464179.00000000,1608873.70855400,0
1612310400000,0.02873500,0.03263500,0.02761700,0.03090700,71058761.00000000,1612396799999,2135355.29885100,20148,35280066.00000000,1060954.97345200,0
1612396800000,0.03090800,0.03204600,0.02815600,0.02999000,53875737.00000000,1612483199999,1641592.87475400,14302,24710002.00000000,754753.88069300,0
1612483200000,0.02999000,0.03283500,0.02944000,0.03210800,35427556.00000000,1612569599999,1106392.14016500,11447,19167163.00000000,599687.62232500,0
1612569600000,0.03225300,0.03500000,0.02975200,0.03073700,53266579.00000000,1612655999999,1723768.50540300,15233,25077825.00000000,815128.02344100,0
1612656000000,0.03073600,0.03145300,0.02800700,0.02960200,23638040.00000000,1612742399999,703602.48489600,7273,10130436.00000000,302233.63310400,0
1612742400000,0.02960200,0.03170000,0.02900600,0.03030600,34967783.00000000,1612828799999,1065430.02176700,8230,17040171.00000000,519031.93427500,0
1612828800000,0.03030600,0.03400000,0.02967100,0.03241100,44478381.00000000,1612915199999,1408215.37348800,11300,23056449.00000000,728264.74372900,0
1612915200000,0.03255200,0.03991300,0.03056700,0.03789900,88675221.00000000,1613001599999,3117871.47916600,21654,44878733.00000000,1581137.75287400,0
1613001600000,0.03789700,0.04312500,0.03465000,0.03918800,88034356.00000000,1613087999999,3435548.47901600,24022,41291809.00000000,1617863.46779900,0
1613088000000,0.03923700,0.04899800,0.03722500,0.04479900,88475758.00000000,1613174399999,3886822.70783000,23701,44866436.00000000,1974192.27591600,0
1613174400000,0.04479300,0.04925200,0.04300900,0.04745300,57266934.00000000,1613260799999,2649761.11946400,18106,27936620.00000000,1296341.39227900,0
1613260800000,0.04721500,0.05200000,0.04136600,0.04449200,37418534.00000000,1613347199999,1740189.84476800,13940,17519314.00000000,819729.75963400,0
1613347200000,0.04425300,0.04519000,0.03779000,0.04181800,31005778.00000000,1613433599999,1293421.74023900,10033,15577125.00000000,650009.84190100,0
1613433600000,0.04179300,0.04850000,0.04010800,0.04247700,129221885.00000000,1613519999999,5791561.48044700,25677,65236966.00000000,2930456.29073600,0
1613520000000,0.04231500,0.05090600,0.04071200,0.04863500,58759791.00000000,1613606399999,2714107.62570600,18170,30301328.00000000,1401132.56003100,0
1613606400000,0.04863500,0.05444600,0.04762100,0.05168600,56665617.00000000,1613692799999,2926659.77566000,21712,28622749.00000000,1479357.61233400,0
1613692800000,0.05168800,0.05209900,0.04850300,0.04900100,26771626.00000000,1613779199999,1336109.28556600,9978,12493114.00000000,624099.20674000,0
1613779200000,0.04900100,0.05193700,0.04300000,0.04681500,38631435.00000000,1613865599999,1890202.89048900,14669,18383988.00000000,899244.87200800,0
1613865600000,0.04649800,0.04934000,0.04439500,0.04603400,27616035.00000000,1613951999999,1298910.39167300,11141,12297601.00000000,579050.02302600,0
1613952000000,0.04605500,0.04706500,0.03300000,0.04336100,42164018.00000000,1614038399999,1783792.80895300,12356,19979607.00000000,844007.96200000,0
1614038400000,0.04340200,0.04340200,0.03081700,0.03482100,53579605.00000000,1614124799999,1879916.50798200,11960,26631386.00000000,927529.96076000,0
1614124800000,0.03500300,0.03978400,0.03260500,0.03693400,25668478.00000000,1614211199999,942217.52850000,8513,13033766.00000000,478769.13959000,0
1614211200000,0.03693400,0.04066000,0.03500000,0.03500100,20750954.00000000,1614297599999,790385.62708700,6193,9361278.00000000,356882.61233600,0
1614297600000,0.03516000,0.03695500,0.03200000,0.03513000,18287742.00000000,1614383999999,633906.80198100,5501,8760130.00000000,304799.86193200,0
1614384000000,0.03513200,0.03978400,0.03482200,0.03650700,44695927.00000000,1614470399999,1673326.01741200,9669,23671450.00000000,889304.64557400,0
1614470400000,0.03651100,0.03744300,0.03125700,0.03351800,17251864.00000000,1614556799999,585415.59731500,5446,8750945.00000000,297048.64424800,0
1614556800000,0.03351800,0.03787100,0.03351800,0.03648700,16788659.00000000,1614643199999,602069.44831800,4954,8698178.00000000,312253.46165600,0
1614643200000,0.03643100,0.03703500,0.03368100,0.03541800,27806188.00000000,1614729599999,985085.56919000,7546,14017442.00000000,497163.89519600,0
1614729600000,0.03558300,0.03957400,0.03520200,0.03739100,29244499.00000000,1614815999999,1108963.25539900,9032,14347310.00000000,543664.88695300,0
1614816000000,0.03737700,0.04862800,0.03698000,0.04552500,129370987.00000000,1614902399999,5694787.70362500,28984,66544186.00000000,2938695.69431800,0
1614902400000,0.04545200,0.06150000,0.03937000,0.05131400,379811633.00000000,1614988799999,20245089.19106100,74520,194601016.00000000,10414924.08254000,0
1614988800000,0.05131200,0.05449500,0.04628600,0.04761600,85349171.00000000,1615075199999,4240599.62929800,24677,41359109.00000000,2055726.05434000,0
1615075200000,0.04735800,0.06488600,0.04735800,0.05950000,228821228.00000000,1615161599999,13061391.45172500,60752,115779273.00000000,6611665.02529200,0
1615161600000,0.05950000,0.07256900,0.05880000,0.06700000,201359737.00000000,1615247999999,13212101.72856600,60541,103414224.00000000,6796705.90003500,0
1615248000000,0.06727300,0.09700000,0.06695300,0.09192900,306843447.00000000,1615334399999,26364300.29332400,105094,163061500.00000000,14029080.40075300,0
1615334400000,0.09192900,0.11480000,0.08138100,0.08401200,355154833.00000000,1615420799999,34772811.98923300,125191,181867634.00000000,17898960.25276000,0
1615420800000,0.08439300,0.10000000,0.07789500,0.09348700,237449046.00000000,1615507199999,20829719.66940600,92206,123153170.00000000,10814434.88992900,0
1615507200000,0.09318900,0.09921000,0.08232200,0.08995000,174199255.00000000,1615593599999,15726325.33947300,70686,83927310.00000000,7607899.96017200,0
1615593600000,0.08995400,0.11243900,0.08672800,0.10099800,159361691.00000000,1615679999999,16100412.75112700,81664,80888129.00000000,8196603.75188900,0
1615680000000,0.10039900,0.12670000,0.09476000,0.11517600,192874341.00000000,1615766399999,20731366.38983300,97737,97862232.00000000,10572046.87076600,0
1615766400000,0.11517700,0.12670000,0.09846400,0.10720700,167737295.00000000,1615852799999,18909411.80294200,90596,81717079.00000000,9240938.71145600,0
1615852800000,0.10730500,0.10895400,0.09719600,0.09965200,77801690.00000000,1615939199999,7942350.41950700,45527,37379018.00000000,3819868.75576300,0
1615939200000,0.09969300,0.10048200,0.09052300,0.09962900,84954542.00000000,1616025599999,8055831.01641200,43172,41158345.00000000,3906502.70258100,0
1616025600000,0.10026100,0.10076900,0.08888900,0.09176100,68538444.00000000,1616111999999,6434815.36666600,33064,34020907.00000000,3196778.31552700,0
1616112000000,0.09139100,0.10180800,0.08668400,0.09520600,109478589.00000000,1616198399999,10229362.24175500,48744,55145439.00000000,5160626.78595500,0
1616198400000,0.09534800,0.09773400,0.08875600,0.08947500,48894253.00000000,1616284799999,4582198.96598500,31193,23722427.00000000,2226174.86140100,0
