otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.01821000,0.02450000,0.01620200,0.02164500,464257001.00000000,1610323199999,9217777.89219600,78771,236913515.00000000,4714147.61740600,0
1610323200000,0.02167000,0.02624000,0.01844600,0.02460900,570322479.00000000,1610927999999,12383655.37256100,113627,276868662.00000000,6018256.64640800,0
1610928000000,0.02454400,0.03295900,0.02062500,0.02617600,399308114.00000000,1611532799999,10080853.13618100,104218,201427594.00000000,5140736.01740600,0
1611532800000,0.02612000,0.02662700,0.01972200,0.02374000,231410148.00000000,1612137599999,5386659.99093800,63653,106643554.00000000,2484632.65803400,0
1612137600000,0.02374200,0.03500000,0.02270900,0.02960200,372197107.00000000,1612742399999,10890085.04472400,97741,194301436.00000000,5685034.54689800,0
1612742400000,0.02960200,0.05200000,0.02900600,0.04449200,439316967.00000000,1613347199999,17303839.02549900,120953,216589532.00000000,8536561.32650600,0
1613347200000,0.04425300,0.05444600,0.03779000,0.04603400,368672167.00000000,1613951999999,17250973.18978000,111380,182912871.00000000,8563350.40677600,0
1613952000000,0.04605500,0.04706500,0.03081700,0.03351800,222398588.00000000,1614556799999,8288960.88923000,59638,110188562.00000000,4098342.82644000,0
1614556800000,0.03351800,0.06488600,0.03351800,0.05950000,897192365.00000000,1615161599999,45937986.24861600,210465,455346514.00000000,23374093.10029500,0
1615161600000,0.05950000,0.12670000,0.05880000,0.11517600,1627242350.00000000,1615766399999,147737038.16096200,633119,834174199.00000000,75915732.02630400,0
1615766400000,0.11517700,0.12670000,0.08615200,0.09133500,590018421.00000000,1616371199999,59053073.98878100,310411,288686671.00000000,28934555.18274000,0
1616371200000,0.09133600,0.10191800,0.07088000,0.08893200,632633943.00000000,1616975999999,55643213.66372300,250756,314248222.00000000,27686860.49575600,0
1616976000000,0.08893200,0.18200000,0.08809000,0.14038000,2228449423.00000000,1617580799999,305804939.93065000,832693,1150560882.00000000,157932151.72907500,0
1617580800000,0.14010300,0.15943500,0.10982800,0.12450000,724234871.00000000,1618185599999,97707386.44812400,411465,369517109.00000000,49978396.92314900,0
1618185600000,0.12417900,0.12913900,0.09310000,0.10326400,455357695.00000000,1618790399999,52618770.77696800,259631,226725983.00000000,26207804.43666000,0
1618790400000,0.10333100,0.10773000,0.06871500,0.07694800,397973247.00000000,1619395199999,34409964.89835500,159888,200733391.00000000,17379690.14045000,0
1619395200000,0.07693700,0.12764700,0.07610000,0.11375100,760144782.00000000,1619999999999,83233309.66738000,327500,401850170.00000000,43983815.02729100,0
1620000000000,0.11375200,0.12990000,0.10695400,0.11899800,429479499.00000000,1620604799999,50726231.46429400,218510,219209522.00000000,25921831.92926800,0
1620604800000,0.11900000,0.12544800,0.08300000,0.09456600,301562006.00000000,1621209599999,31228814.78067200,142418,155687429.00000000,16211132.61747100,0
1621209600000,0.09465600,0.09490000,0.03104200,0.03839900,268678761.00000000,1621814399999,16036551.00988100,76995,137362396.00000000,8187173.02166500,0
1621814400000,0.03851700,0.08180000,0.03829900,0.06126400,873632562.00000000,1622419199999,53979848.49686100,174657,452671609.00000000,28150433.22979400,0
1622419200000,0.06101800,0.10460000,0.05771900,0.08879000,474738123.00000000,1623023999999,36199099.67538100,129091,222490151.00000000,16806955.83365600,0
1623024000000,0.08879000,0.10100000,0.06557400,0.09022800,1609609193.00000000,1623628799999,135300895.53731500,469169,819929716.00000000,68987128.17814400,0
1623628800000,0.09011300,0.11930000,0.08312100,0.10024100,1053456278.00000000,1624233599999,106482773.12624400,499964,541111659.00000000,54724442.14268400,0
1624233600000,0.10024900,0.10179300,0.04928400,0.06350000,1018408828.00000000,1624838399999,69525870.47270300,342490,523397294.00000000,35585289.85928100,0
1624838400000,0.06344500,0.10597900,0.06110600,0.09721000,2101860609.00000000,1625443199999,183227403.33430500,723124,1095251105.00000000,95522562.43288100,0
1625443200000,0.09721000,0.10466700,0.07275400,0.07724500,981909336.00000000,1626047999999,87232744.99985700,397279,496009611.00000000,44044172.80769100,0
1626048000000,0.07725100,0.07875100,0.06003600,0.06488500,407648736.00000000,1626652799999,27787759.73062500,160821,207286389.00000000,14134120.10720000,0
1626652800000,0.06488500,0.07000000,0.05446200,0.06480000,435137929.00000000,1627257599999,27092076.19356700,134375,222854694.00000000,13893748.43585200,0
1627257600000,0.06479100,0.06980000,0.06115000,0.06444300,278950401.00000000,1627862399999,18323909.95431700,112528,139600013.00000000,9175550.24465200,0
1627862400000,0.06427400,0.08500000,0.06103000,0.07250000,463322792.00000000,1628467199999,33814041.16437500,166814,236649903.00000000,17307912.53451800,0
1628467200000,0.07270700,0.09823800,0.06949200,0.09086700,657172573.00000000,1629071999999,56604225.08117100,274173,326955270.00000000,28190067.47812500,0
1629072000000,0.09086700,0.11643500,0.07992400,0.09992800,1319352100.00000000,1629676799999,131364541.68177100,423951,671136981.00000000,66910284.07126000,0
1629676800000,0.09992800,0.11500000,0.08843000,0.10381000,557080295.00000000,1630281599999,57301364.18485000,261127,287682637.00000000,29608260.20827500,0
1630281600000,0.10411000,0.12280000,0.09640000,0.11082000,468005284.00000000,1630886399999,51563348.99416400,233048,240060750.00000000,26500719.00599400,0
1630886400000,0.11082000,0.12000000,0.08163000,0.10308000,562659870.00000000,1631491199999,57398563.71329300,270932,280742874.00000000,28665466.49433200,0
1631491200000,0.10308000,0.11589000,0.09399000,0.09951000,474766221.00000000,1632095999999,48867975.61781000,224786,243358011.00000000,25089159.36060000,0
1632096000000,0.09968000,0.10017000,0.07217000,0.08041000,471944028.00000000,1632700799999,39462292.49273200,179383,233341509.00000000,19518170.84011300,0
1632700800000,0.08017000,0.08938000,0.07664000,0.08543000,313504845.00000000,1633305599999,26194670.27202000,120374,156116380.00000000,13057033.58405000,0
1633305600000,0.08541000,0.09800000,0.08130000,0.08242000,320037339.00000000,1633910399999,27629253.78514000,132752,160245355.00000000,13844743.02963000,0
1633910400000,0.08243000,0.09381000,0.07724000,0.08204000,233875528.00000000,1634515199999,19496262.22191000,100798,114343703.00000000,9544360.77432000,0
1634515200000,0.08200000,0.09110000,0.07976000,0.08179000,244224771.00000000,1635119999999,20561376.39264000,105049,121043561.00000000,10200767.24321000,0
1635120000000,0.08190000,0.10700000,0.07498000,0.08402000,397629342.00000000,1635724799999,33781082.59995000,164341,204418772.00000000,17414459.25293000,0
1635724800000,0.08388000,0.09890000,0.08200000,0.09747000,323262329.00000000,1636329599999,29013652.62308000,147059,161878179.00000000,14560533.18803000,0
1636329600000,0.09747000,0.11548000,0.08326000,0.08974000,462931493.00000000,1636934399999,44654776.31939000,182491,228699273.00000000,22120687.24660000,0
1636934400000,0.08977000,0.10200000,0.07300000,0.08667000,386395517.00000000,1637539199999,34460502.67575000,171638,189355237.00000000,16910883.81090000,0
1637539200000,0.08672000,0.09789000,0.08060000,0.08637000,482279595.00000000,1638143999999,42957470.31267000,227539,240199775.00000000,21443144.40880000,0
1638144000000,0.08604000,0.11700000,0.06335000,0.07629000,824496238.00000000,1638748799999,76368160.57187100,340241,411222183.00000000,38225859.30942800,0
1638748800000,0.07627000,0.07745000,0.06721000,0.07610000,43179738.00000000,1639353599999,3139521.62648000,20333,21061101.00000000,1532087.80264000,0
