otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1619827200000,3.99500000,4.07500000,3.84400000,3.89200000,1672058.68700000,1619841599999,6592323.75075300,16850,803699.58200000,3171238.87613600,0
1619841600000,3.89000000,3.90600000,3.81500000,3.82500000,1036846.48400000,1619855999999,4002320.64859700,10747,510778.37600000,1971861.62777300,0
1619856000000,3.82300000,3.86400000,3.70300000,3.86200000,1343973.66500000,1619870399999,5098480.69211600,13322,645854.45000000,2452445.98280500,0
1619870400000,3.86000000,3.86800000,3.64300000,3.71500000,1727038.39700000,1619884799999,6463209.20363000,15759,806012.51800000,3017225.80394900,0
1619884800000,3.71700000,3.80700000,3.70000000,3.80500000,1012274.69400000,1619899199999,3793261.69199600,11123,493421.68900000,1849170.27983900,0
1619899200000,3.80400000,3.86000000,3.71700000,3.82900000,791284.19300000,1619913599999,3008590.34956300,10723,403233.43000000,1533075.74874800,0
1619913600000,3.82900000,3.89800000,3.61600000,3.63100000,1422876.04300000,1619927999999,5352245.50239500,13706,687640.34500000,2583697.45060600,0
1619928000000,3.62900000,3.71000000,3.56000000,3.65800000,1161721.58700000,1619942399999,4238590.25258600,11970,596820.15300000,2181031.26345700,0
1619942400000,3.65600000,3.73900000,3.60000000,3.73000000,773656.19400000,1619956799999,2839487.03859800,10567,377088.32500000,1384559.83233600,0
1619956800000,3.73000000,3.78000000,3.67400000,3.75400000,1180022.70100000,1619971199999,4404073.77741900,12414,637768.49300000,2379873.48318700,0
1619971200000,3.75500000,4.00000000,3.73600000,4.00000000,2221461.54700000,1619985599999,8665576.33111200,21601,1061842.22700000,4142184.47136500,0
1619985600000,4.00000000,4.17600000,3.86200000,4.17000000,2250327.35600000,1619999999999,9028270.96591500,23095,1075275.33800000,4315661.30400800,0
1620000000000,4.17000000,4.49000000,4.17000000,4.39700000,4895580.19500000,1620014399999,21262778.04702700,48136,2487944.01800000,10809676.65524600,0
1620014400000,4.39700000,4.46900000,4.33300000,4.37300000,2125573.50300000,1620028799999,9307960.31387800,22399,1171343.82100000,5128462.00270900,0
1620028800000,4.37300000,4.49500000,4.22600000,4.30100000,2402048.96900000,1620043199999,10413024.24375100,26343,1239425.87700000,5370290.12389500,0
1620043200000,4.30000000,4.33700000,4.06400000,4.13100000,2307624.03400000,1620057599999,9659792.65497200,24642,1144161.16100000,4791047.10187400,0
1620057600000,4.13100000,4.21300000,4.03100000,4.09700000,1851157.75100000,1620071999999,7621278.80269000,22176,830468.09200000,3423616.42471000,0
1620072000000,4.09800000,4.12000000,4.00000000,4.03600000,1278098.49600000,1620086399999,5181326.38860600,15010,591436.88100000,2398537.69525300,0
1620086400000,4.03600000,4.04800000,3.64500000,3.79000000,2856905.43000000,1620100799999,10949260.89784000,33787,1320882.41600000,5057896.12440500,0
1620100800000,3.78500000,3.94800000,3.76100000,3.86300000,1062476.30400000,1620115199999,4141727.66454000,14564,520476.22200000,2028284.53164800,0
1620115200000,3.86200000,4.00000000,3.77400000,3.93000000,1339294.09100000,1620129599999,5232148.97907300,15077,693516.03200000,2711651.83889200,0
1620129600000,3.92700000,3.94000000,3.56800000,3.61400000,2556260.40400000,1620143999999,9526455.24266000,26334,1124246.68000000,4193207.00255800,0
1620144000000,3.61500000,3.72000000,3.54000000,3.70800000,1167224.07600000,1620158399999,4246441.07192400,14793,575469.83100000,2094191.00297200,0
1620158400000,3.71100000,3.71900000,3.50500000,3.53400000,753596.27400000,1620172799999,2726974.47927200,13647,344383.29500000,1247748.60258900,0
1620172800000,3.53300000,3.70000000,3.48500000,3.58000000,1382242.21100000,1620187199999,5019949.61269200,15340,692415.44100000,2520772.04025800,0
1620187200000,3.58000000,3.72200000,3.55200000,3.71600000,1563473.47800000,1620201599999,5689436.67667600,16058,774849.87700000,2819986.37455000,0
1620201600000,3.71800000,3.78000000,3.68400000,3.72400000,933633.30200000,1620215999999,3485410.26816800,10924,482240.83100000,1800451.87156700,0
1620216000000,3.72400000,3.91000000,3.72100000,3.83400000,1606895.24700000,1620230399999,6119638.96757500,17089,790747.35600000,3013355.20001500,0
1620230400000,3.83100000,3.89300000,3.76900000,3.85800000,924082.86100000,1620244799999,3539204.93504100,8867,457356.46700000,1751951.24394700,0
1620244800000,3.85600000,3.89000000,3.76700000,3.82400000,748919.90400000,1620259199999,2867125.16953700,8130,331688.04400000,1268944.02085400,0
1620259200000,3.82500000,3.84100000,3.64600000,3.72500000,1398067.03900000,1620273599999,5199117.38185700,15751,719830.99700000,2676142.98233400,0
1620273600000,3.72100000,3.76500000,3.63200000,3.72600000,990258.87700000,1620287999999,3681435.08705900,13672,500488.98300000,1862489.01507200,0
1620288000000,3.72800000,4.10000000,3.72400000,4.06200000,3746185.15800000,1620302399999,14923922.23652700,32920,1854424.57600000,7389287.05793700,0
1620302400000,4.06200000,4.07400000,3.85000000,3.90400000,2022565.01900000,1620316799999,8038705.89121000,19734,931551.46500000,3701513.36683600,0
1620316800000,3.90500000,3.94600000,3.69000000,3.76900000,2180114.23500000,1620331199999,8323180.03600600,22932,1152182.49300000,4384132.56490500,0
1620331200000,3.77200000,3.79000000,3.69600000,3.74800000,768713.12400000,1620345599999,2877708.04991900,9200,368370.96900000,1379300.49558000,0
1620345600000,3.75000000,3.85800000,3.57000000,3.68000000,1780110.11800000,1620359999999,6591553.79148300,17044,834055.94300000,3093741.42274300,0
1620360000000,3.67400000,3.73800000,3.56700000,3.65300000,955339.48300000,1620374399999,3497701.33485600,11762,426425.89100000,1561986.24845900,0
1620374400000,3.65300000,3.79200000,3.63400000,3.75500000,816454.93700000,1620388799999,3048958.72370700,10498,451901.16100000,1687615.13579800,0
1620388800000,3.75300000,3.85500000,3.73900000,3.82400000,1200013.52900000,1620403199999,4561477.02027700,12981,636724.33000000,2420393.30229200,0
1620403200000,3.82400000,3.85500000,3.70000000,3.70700000,843850.75800000,1620417599999,3190954.12871100,10220,388193.66800000,1468408.86866800,0
1620417600000,3.70700000,3.85500000,3.59800000,3.68800000,985097.28300000,1620431999999,3626683.91373300,14444,480387.32800000,1773520.78028900,0
1620432000000,3.68800000,3.77100000,3.61400000,3.73800000,668390.69400000,1620446399999,2487519.05148800,8593,335494.21700000,1248381.28201300,0
1620446400000,3.73600000,3.84500000,3.70500000,3.79100000,978951.78300000,1620460799999,3689946.82701700,11996,529666.49900000,1997473.20934500,0
1620460800000,3.79100000,3.80600000,3.70000000,3.71300000,901224.85100000,1620475199999,3370057.51081700,9342,379086.90900000,1419020.71420000,0
1620475200000,3.71100000,3.73700000,3.60900000,3.62500000,1061801.34600000,1620489599999,3905696.47759800,11320,467886.68000000,1721344.73987800,0
1620489600000,3.62600000,3.78400000,3.60400000,3.73300000,993094.08000000,1620503999999,3687296.95699900,11952,466491.12800000,1732103.05425400,0
1620504000000,3.73300000,3.77800000,3.66900000,3.72100000,435118.10300000,1620518399999,1619493.01816600,7406,232477.41700000,865452.49737300,0
1620518400000,3.72200000,3.75000000,3.61300000,3.62200000,484658.77400000,1620532799999,1785276.83517900,7286,218648.19900000,806064.66701900,0
1620532800000,3.62000000,3.63400000,3.46900000,3.57300000,881565.97300000,1620547199999,3137991.74844100,11640,400084.64000000,1425886.59738000,0
1620547200000,3.57300000,3.65000000,3.46000000,3.47800000,1134183.43700000,1620561599999,4027090.96853200,13043,625224.23500000,2222727.37784500,0
1620561600000,3.48200000,3.53600000,3.40200000,3.52800000,1193758.06400000,1620575999999,4130435.59655500,11577,560158.35500000,1937465.06157900,0
1620576000000,3.52800000,3.54700000,3.46400000,3.52700000,513373.15100000,1620590399999,1803806.00309800,7423,270942.69700000,952167.85287200,0
1620590400000,3.52700000,3.57800000,3.49900000,3.55500000,428846.17300000,1620604799999,1513514.97958200,6444,211274.47400000,746091.59483300,0
1620604800000,3.55500000,3.62800000,3.54400000,3.58900000,583738.59800000,1620619199999,2096167.07302900,7209,287769.47800000,1033496.00848100,0
1620619200000,3.59000000,3.68000000,3.58100000,3.60300000,810569.59300000,1620633599999,2943768.62974500,9867,393107.11200000,1427783.42643400,0
1620633600000,3.60100000,3.61200000,3.37300000,3.43300000,1540277.24000000,1620647999999,5377341.68169000,15903,829208.43500000,2895391.98395000,0
1620648000000,3.43500000,3.45200000,3.29200000,3.41900000,1719045.38400000,1620662399999,5821212.07355100,16364,780597.49800000,2649745.70222800,0
1620662400000,3.41900000,3.42800000,3.03100000,3.09500000,1469646.76000000,1620676799999,4814198.29559500,20845,644698.35200000,2123128.30189700,0
1620676800000,3.09500000,3.23600000,2.93000000,3.15200000,1981621.89100000,1620691199999,6146551.88757200,28207,865048.37100000,2693893.40012600,0
1620691200000,3.15100000,3.24700000,3.03300000,3.16500000,1568214.81100000,1620705599999,4881850.26731700,18848,813671.04700000,2534341.59423400,0
1620705600000,3.16100000,3.26300000,3.13200000,3.25300000,510451.44700000,1620719999999,1636259.35725100,9922,250352.74400000,803494.11806800,0
1620720000000,3.25600000,3.29800000,3.17800000,3.22400000,625520.21200000,1620734399999,2033622.52506900,8686,286364.19100000,931084.64679700,0
