otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,26.87900000,27.77600000,21.10300000,22.36200000,613825.98000000,1609545599999,14990680.94693000,15264,333849.66000000,8092642.26547000,0
1609545600000,22.27500000,29.50000000,20.03400000,26.29700000,795352.98000000,1609631999999,19280400.19736000,18962,418447.49000000,10339962.87462000,0
1609632000000,26.16600000,33.29800000,24.32500000,31.34500000,391103.81000000,1609718399999,10831281.12657000,17338,184420.75000000,5114538.25036000,0
1609718400000,31.34600000,33.13500000,23.21000000,27.49900000,271696.02000000,1609804799999,7718125.55114000,13703,136228.31000000,3885519.54328000,0
1609804800000,27.50000000,30.48100000,24.79200000,28.58200000,144242.91000000,1609891199999,4048329.64535000,11042,71221.70000000,2004174.76318000,0
1609891200000,28.61500000,32.84200000,27.13100000,30.25100000,209761.83000000,1609977599999,6170571.91555000,12165,110594.51000000,3253590.09283000,0
1609977600000,30.44000000,33.74000000,24.77700000,26.63800000,177165.75000000,1610063999999,5205641.95066000,12169,97652.31000000,2882480.21832000,0
1610064000000,26.71900000,27.73000000,20.38300000,23.90000000,110628.89000000,1610150399999,2655345.35472000,9363,51504.24000000,1245238.39859000,0
1610150400000,24.01300000,27.76000000,22.04800000,27.03100000,104750.53000000,1610236799999,2561927.41490000,9122,64413.42000000,1570260.34348000,0
1610236800000,27.03100000,29.00000000,18.75100000,23.37800000,153789.03000000,1610323199999,3697822.87898000,11262,73162.45000000,1774658.67815000,0
1610323200000,23.51800000,23.53700000,10.28600000,14.79300000,805827.58000000,1610409599999,11130356.12107000,17632,400163.15000000,5542527.09164000,0
1610409600000,14.84700000,16.35900000,13.66000000,14.89500000,144902.43000000,1610495999999,2151062.15330000,5131,71717.24000000,1065763.61342000,0
1610496000000,15.00100000,28.07500000,13.80000000,25.77200000,390814.04000000,1610582399999,8634483.68719000,14098,199660.16000000,4421762.77148000,0
1610582400000,25.79700000,46.67700000,25.36400000,45.11000000,629941.32000000,1610668799999,20654874.23139000,29067,338380.81000000,11125850.36066000,0
1610668800000,45.34300000,48.30000000,28.26500000,36.75600000,602868.70000000,1610755199999,23686967.17811000,28476,289572.58000000,11390606.99207000,0
1610755200000,36.92700000,78.38400000,36.92700000,64.05500000,638731.35000000,1610841599999,37065128.83227000,39239,341735.60000000,19822004.66183000,0
1610841600000,63.89300000,70.40000000,50.20900000,59.18300000,596051.63000000,1610927999999,34723436.81981000,33994,349450.35000000,20071792.33093000,0
1610928000000,59.27000000,70.22300000,46.92400000,53.92300000,285948.76000000,1611014399999,16898770.05144000,20947,138291.02000000,8202195.03993000,0
1611014400000,53.98400000,63.63500000,49.00000000,52.38000000,304945.57000000,1611100799999,17057205.61582000,20681,172155.42000000,9586989.55859000,0
1611100800000,52.32800000,64.07800000,41.46600000,62.72700000,347234.19000000,1611187199999,17903746.06845000,24210,167770.25000000,8711555.46286000,0
1611187200000,62.94200000,63.85000000,42.21600000,47.77000000,452574.41000000,1611273599999,23061915.11483000,25832,205681.02000000,10592037.89671000,0
1611273600000,47.69600000,59.99900000,40.23900000,54.41200000,348125.24000000,1611359999999,17315161.99577000,20859,175095.82000000,8761480.02464000,0
1611360000000,54.28600000,64.79900000,52.35000000,64.42100000,206306.48000000,1611446399999,12197380.56204000,17748,109502.87000000,6523833.23865000,0
1611446400000,64.24400000,64.43200000,52.85700000,59.00000000,185750.87000000,1611532799999,10851370.31338000,13518,110167.60000000,6468362.23109000,0
1611532800000,59.19000000,68.67900000,50.20000000,51.27000000,198714.35000000,1611619199999,11851122.49584000,16934,99094.45000000,5942248.78862000,0
1611619200000,51.26600000,56.20000000,41.84000000,50.32000000,206453.25000000,1611705599999,10011787.93997000,16700,104699.15000000,5079560.73172000,0
1611705600000,50.05800000,50.20000000,35.56800000,38.31800000,266617.69000000,1611791999999,10676680.22915000,15363,124545.32000000,4952201.18009000,0
1611792000000,38.32000000,51.26400000,37.22800000,46.89000000,192478.50000000,1611878399999,8920869.75155000,15480,100733.77000000,4669417.08844000,0
1611878400000,47.02000000,53.99600000,40.60000000,46.93800000,287341.31000000,1611964799999,13467148.54800000,17481,129636.21000000,6032418.08386000,0
1611964800000,46.88900000,48.40300000,42.04400000,45.13200000,158573.77000000,1612051199999,7063764.60830000,9791,99813.64000000,4428968.45878000,0
1612051200000,44.91100000,53.44400000,38.09900000,41.54400000,159989.96000000,1612137599999,7211794.69136000,13508,71666.10000000,3240035.10467000,0
1612137600000,41.31300000,44.08100000,38.26700000,43.30000000,180097.90000000,1612223999999,7283362.40072000,11832,69781.72000000,2844072.76197000,0
1612224000000,43.26400000,51.88800000,40.22300000,48.21700000,173002.26000000,1612310399999,8002419.07427000,15385,91430.96000000,4241370.16754000,0
1612310400000,48.14500000,72.75700000,45.75400000,72.30000000,278612.09000000,1612396799999,16393124.41876000,26519,147609.20000000,8732647.40351000,0
1612396800000,72.30000000,78.55500000,57.52600000,62.58500000,272773.77000000,1612483199999,18759629.81017000,26988,121668.57000000,8439713.32347000,0
1612483200000,62.50100000,75.00000000,60.00000000,70.65600000,113636.97000000,1612569599999,7907801.03979000,15250,56723.35000000,3972447.96233000,0
1612569600000,70.72300000,75.00000000,63.10300000,66.74300000,132740.19000000,1612655999999,8856778.44574000,15170,64339.84000000,4289917.18318000,0
1612656000000,66.90500000,69.86900000,52.01000000,61.83600000,168000.76000000,1612742399999,10323400.21515000,17368,86841.18000000,5360242.91816000,0
1612742400000,61.82200000,88.16300000,57.55000000,82.93500000,215123.56000000,1612828799999,16229698.26543000,22828,108822.81000000,8265292.67353000,0
1612828800000,82.90600000,91.02800000,76.25600000,82.54300000,88133.57000000,1612915199999,7383292.62860000,15635,47044.27000000,3955080.69622000,0
1612915200000,82.34200000,95.06900000,73.50100000,85.25100000,109068.81000000,1613001599999,9182129.87540000,17582,56193.54000000,4743453.69016000,0
1613001600000,85.25300000,99.12000000,82.60000000,94.50100000,75459.57000000,1613087999999,7087743.55195000,12727,35272.64000000,3309824.51474000,0
1613088000000,94.14100000,126.89600000,90.14600000,118.55900000,154552.82000000,1613174399999,17067899.62692000,30191,95608.91000000,10580031.93690000,0
1613174400000,119.33300000,130.36900000,105.87800000,111.63200000,63168.18000000,1613260799999,7445238.02334000,15604,30711.74000000,3634518.74899000,0
1613260800000,111.66100000,121.89300000,98.36700000,101.28700000,45281.33000000,1613347199999,4902313.23591000,10264,20645.09000000,2231609.24910000,0
1613347200000,101.98100000,119.73500000,73.51000000,106.53200000,96620.29000000,1613433599999,9763921.86555000,21530,50641.66000000,5186709.63998000,0
1613433600000,107.27200000,130.21100000,99.50000000,122.83000000,101492.81000000,1613519999999,12152957.78208000,21286,57236.52000000,6878330.83815000,0
1613520000000,123.04600000,138.80000000,120.30600000,135.05300000,59071.62000000,1613606399999,7615681.49173000,13067,31256.95000000,4033371.83901000,0
1613606400000,135.05200000,139.40000000,124.80100000,127.90000000,37882.40000000,1613692799999,4988950.85788000,9821,17579.36000000,2317931.41925000,0
1613692800000,128.51300000,154.72800000,116.62100000,152.76600000,66691.01000000,1613779199999,9202208.43490000,16181,32640.64000000,4537197.61427000,0
1613779200000,153.43100000,206.75600000,151.74500000,183.38600000,104744.63000000,1613865599999,19024654.06705000,26510,55638.16000000,10115508.16751000,0
1613865600000,183.41200000,193.10000000,176.45500000,186.64500000,39861.29000000,1613951999999,7301357.33523000,12835,20871.50000000,3826845.54548000,0
1613952000000,186.64500000,187.51900000,124.29500000,172.02300000,78661.37000000,1614038399999,12372660.49725000,16899,39975.60000000,6262219.06013000,0
1614038400000,171.06600000,172.69800000,93.00000000,149.71800000,157564.81000000,1614124799999,20286216.60102000,29280,81714.70000000,10625207.11797000,0
1614124800000,149.23600000,165.00000000,130.79100000,143.87500000,56246.91000000,1614211199999,8445385.65516000,13280,28756.74000000,4332395.06489000,0
1614211200000,143.80900000,155.00000000,121.97800000,124.36800000,65394.47000000,1614297599999,9219848.92900000,17720,41723.17000000,5868038.64107000,0
1614297600000,125.17100000,140.80000000,100.02600000,125.71900000,111640.39000000,1614383999999,13199545.51890000,22310,52698.30000000,6249065.93547000,0
1614384000000,125.80600000,156.10700000,124.93100000,140.24400000,93269.73000000,1614470399999,13536621.24653000,22156,48546.97000000,7065467.13796000,0
1614470400000,140.46800000,147.18900000,112.37700000,141.84800000,83023.80000000,1614556799999,10641851.73709000,18330,44226.67000000,5715257.90166000,0
1614556800000,141.93700000,156.00000000,135.77400000,155.00000000,76609.87000000,1614643199999,11327048.30968000,23939,43196.77000000,6399439.52536000,0
1614643200000,155.26200000,169.89000000,147.74300000,158.95300000,64575.01000000,1614729599999,10277685.68300000,23026,32691.92000000,5221734.30467000,0
1614729600000,159.09600000,174.50000000,158.05300000,164.59200000,40141.15000000,1614815999999,6732416.40025000,18766,19597.40000000,3284042.56983000,0
1614816000000,164.50100000,172.29800000,147.74300000,153.20500000,28400.77000000,1614902399999,4533495.23078000,13534,16491.79000000,2625515.31611000,0
1614902400000,153.04800000,153.51000000,129.09500000,143.15100000,39005.33000000,1614988799999,5430850.66903000,14252,20590.85000000,2856692.00300000,0
1614988800000,142.96900000,146.81100000,133.32200000,141.78000000,19114.62000000,1615075199999,2686470.38191000,9290,9824.13000000,1382514.51047000,0
1615075200000,142.01100000,153.42500000,141.88500000,151.85700000,28607.37000000,1615161599999,4237290.22776000,11351,13632.87000000,2021702.67984000,0
1615161600000,152.33500000,154.82600000,141.17500000,151.02700000,23135.59000000,1615247999999,3398236.67128000,9275,12067.58000000,1775695.08208000,0
1615248000000,151.10000000,174.92600000,148.03800000,171.10200000,42416.93000000,1615334399999,6842838.91718000,18643,23911.32000000,3855512.50001000,0
1615334400000,170.48100000,178.96600000,157.73900000,165.89700000,43741.39000000,1615420799999,7452759.96616000,18549,21967.95000000,3753856.30408000,0
1615420800000,166.24300000,168.27500000,154.07800000,160.24200000,25985.77000000,1615507199999,4182437.01924000,10525,14028.02000000,2259766.54495000,0
1615507200000,160.81900000,164.63700000,143.32500000,154.15400000,23091.25000000,1615593599999,3512539.08556000,8533,12344.74000000,1879744.98804000,0
1615593600000,154.16400000,169.87200000,145.46300000,162.25500000,22581.74000000,1615679999999,3641967.59614000,12323,10988.07000000,1775878.78310000,0
1615680000000,161.68400000,166.55000000,154.44100000,155.54100000,12330.89000000,1615766399999,1975849.66580000,5640,6904.66000000,1105851.79693000,0
1615766400000,155.37300000,170.09400000,137.16300000,140.56800000,29940.31000000,1615852799999,4475311.43371000,9257,14736.04000000,2208257.87165000,0
1615852800000,140.56100000,151.54400000,124.97600000,150.71000000,22455.03000000,1615939199999,3118265.49220000,7521,11579.47000000,1614952.21364000,0
1615939200000,150.65300000,160.73200000,139.43200000,157.70000000,26104.48000000,1616025599999,3934375.82425000,9234,14180.55000000,2142163.67451000,0
1616025600000,157.26000000,165.74700000,147.36100000,147.78800000,24770.96000000,1616111999999,3906659.73596000,9601,13404.98000000,2122740.01142000,0
1616112000000,148.28600000,184.60000000,140.00000000,177.62700000,53661.59000000,1616198399999,9169469.83314000,16022,28278.67000000,4865229.46107000,0
1616198400000,177.97700000,197.95000000,163.66800000,165.08100000,33185.91000000,1616284799999,6200011.18386000,12584,18057.57000000,3376131.66024000,0
1616284800000,164.75800000,173.36400000,153.00000000,158.35300000,18575.48000000,1616371199999,3001154.79930000,6829,7925.97000000,1289484.13159000,0
1616371200000,158.74100000,169.04300000,140.60100000,143.08300000,19056.30000000,1616457599999,2988080.73067000,8550,8743.61000000,1377921.06134000,0
1616457600000,142.82100000,153.57100000,130.60900000,132.00000000,16595.70000000,1616543999999,2327209.65688000,6297,8285.40000000,1166296.88719000,0
1616544000000,131.55100000,150.82500000,65.46000000,89.91200000,121166.28000000,1616630399999,11183168.54801000,26775,63633.57000000,5767733.04845000,0
