otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00393100,0.00439800,0.00383400,0.00389700,55359052.00000000,1609545599999,229567.12594700,2384,23612700.00000000,98357.49218400,0
1609545600000,0.00387100,0.00480000,0.00379300,0.00479900,205392500.00000000,1609631999999,917336.79680500,6569,152147527.00000000,681666.41959400,0
1609632000000,0.00479900,0.00590000,0.00433600,0.00511500,394227574.00000000,1609718399999,2004662.61995700,10783,246367338.00000000,1255647.85127500,0
1609718400000,0.00520600,0.00546700,0.00410100,0.00487500,209015096.00000000,1609804799999,955789.36258200,5758,51870395.00000000,245843.55721800,0
1609804800000,0.00487500,0.00500000,0.00432800,0.00482300,83477273.00000000,1609891199999,387768.19853100,3548,32345645.00000000,150966.16884500,0
1609891200000,0.00482300,0.00560000,0.00420500,0.00480800,85617244.00000000,1609977599999,410830.65456500,4299,40268694.00000000,194864.61584000,0
1609977600000,0.00480800,0.00529800,0.00457200,0.00487700,76484835.00000000,1610063999999,381910.73612500,3774,33051796.00000000,166079.18791800,0
1610064000000,0.00487700,0.00502700,0.00419700,0.00449600,131109266.00000000,1610150399999,587267.59130600,4907,40296418.00000000,183977.26041300,0
1610150400000,0.00451500,0.00480000,0.00430000,0.00457300,103998206.00000000,1610236799999,476451.21363200,3536,68782602.00000000,315943.20971000,0
1610236800000,0.00460100,0.00485200,0.00382800,0.00420000,110897319.00000000,1610323199999,497304.89345800,3977,63373321.00000000,288861.70120600,0
1610323200000,0.00417500,0.00417500,0.00342000,0.00390700,56111900.00000000,1610409599999,210944.11972700,1954,22167570.00000000,83925.74713700,0
1610409600000,0.00392900,0.00406500,0.00370000,0.00376600,24670398.00000000,1610495999999,96954.42058800,1344,9833919.00000000,38642.27855800,0
1610496000000,0.00374800,0.00399000,0.00362100,0.00396400,65845053.00000000,1610582399999,252614.50554000,1581,46978887.00000000,180544.18885200,0
1610582400000,0.00398500,0.00407700,0.00384200,0.00397300,36509490.00000000,1610668799999,145589.55614600,1905,17110960.00000000,68553.47232100,0
1610668800000,0.00397500,0.00431600,0.00383800,0.00407400,63281292.00000000,1610755199999,259303.29257500,3449,31635557.00000000,130723.36481400,0
1610755200000,0.00407400,0.00421600,0.00401000,0.00414300,63644687.00000000,1610841599999,262110.76286800,2890,41799894.00000000,172768.09134200,0
1610841600000,0.00410800,0.00414000,0.00374600,0.00399900,40192371.00000000,1610927999999,160130.50656900,1838,16507373.00000000,65798.42876400,0
1610928000000,0.00401400,0.00417000,0.00385600,0.00411000,54166370.00000000,1611014399999,221682.37753400,2324,35129679.00000000,144339.38327500,0
1611014400000,0.00411200,0.00444400,0.00406800,0.00409200,48280009.00000000,1611100799999,204866.66044000,2814,25633121.00000000,109170.67125000,0
1611100800000,0.00409000,0.00430900,0.00376400,0.00407500,47227783.00000000,1611187199999,190804.26669800,3235,21296331.00000000,86742.34378800,0
1611187200000,0.00406800,0.00418900,0.00372400,0.00376400,52828353.00000000,1611273599999,207009.91179200,2276,23380130.00000000,92410.18356100,0
1611273600000,0.00376300,0.00398900,0.00370000,0.00380100,60363714.00000000,1611359999999,232118.53943200,2418,27495216.00000000,106289.61802700,0
1611360000000,0.00381000,0.00406600,0.00372900,0.00397300,52484859.00000000,1611446399999,206338.33238700,2026,24264327.00000000,95323.99894800,0
1611446400000,0.00397500,0.00413200,0.00390000,0.00401600,34549899.00000000,1611532799999,138878.46631200,1811,18682790.00000000,75272.78499200,0
1611532800000,0.00401700,0.00409400,0.00382200,0.00386600,38619395.00000000,1611619199999,153283.71790300,1944,14697592.00000000,58784.35354900,0
1611619200000,0.00386400,0.00391800,0.00361300,0.00379000,46409598.00000000,1611705599999,174499.01069100,1701,19095933.00000000,71729.15123200,0
1611705600000,0.00380100,0.00387700,0.00350000,0.00374600,46279901.00000000,1611791999999,170655.44370500,1726,18740401.00000000,69577.66966600,0
1611792000000,0.00373600,0.00436100,0.00371400,0.00402800,64863982.00000000,1611878399999,264401.33277200,3096,44194995.00000000,180701.12674100,0
1611878400000,0.00402800,0.00444900,0.00400000,0.00413000,116178904.00000000,1611964799999,484551.30770300,4981,53977784.00000000,226396.71179800,0
1611964800000,0.00413000,0.00450000,0.00398600,0.00414000,69818734.00000000,1612051199999,291359.35879200,3923,33921481.00000000,142512.81745600,0
1612051200000,0.00414100,0.00419200,0.00389600,0.00400100,48719147.00000000,1612137599999,197467.04259900,2568,24498582.00000000,99377.53109700,0
