otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.00520600,0.00560000,0.00382800,0.00420000,800599239.00000000,1610323199999,3697322.65019900,29799,329988871.00000000,1546535.70115000,0
1610323200000,0.00417500,0.00431600,0.00342000,0.00399900,350255191.00000000,1610927999999,1387647.16401300,14961,186034160.00000000,740955.57178800,0
1610928000000,0.00401400,0.00444400,0.00370000,0.00401600,349900987.00000000,1611532799999,1401698.55459500,16904,175881594.00000000,709548.98384100,0
1611532800000,0.00401700,0.00450000,0.00350000,0.00400100,430889661.00000000,1612137599999,1736217.21416500,19939,209126768.00000000,849079.36153900,0
1612137600000,0.00400300,0.00855000,0.00380000,0.00518900,4701350682.00000000,1612742399999,29209119.46469600,171356,2299195122.00000000,14337608.65366600,0
1612742400000,0.00519900,0.00900000,0.00503000,0.00858000,2031581411.00000000,1613347199999,13868076.10180800,109037,1004547346.00000000,6883854.95214100,0
1613347200000,0.00855800,0.00954400,0.00736000,0.00885100,1229144817.00000000,1613951999999,10036138.74343600,85306,612896015.00000000,5003463.62524700,0
1613952000000,0.00890900,0.00890900,0.00572600,0.00614000,709101489.00000000,1614556799999,4961676.72257800,42504,335451393.00000000,2340744.79262900,0
1614556800000,0.00619900,0.01133300,0.00614400,0.00995100,4623604123.00000000,1615161599999,43037608.89494500,203746,2334495990.00000000,21651070.64385200,0
1615161600000,0.00995100,0.01670000,0.00957700,0.01465100,3604389059.00000000,1615766399999,45984323.59166800,276415,1826577283.00000000,23328092.53538600,0
1615766400000,0.01465100,0.03250000,0.01355900,0.02782800,7708760597.00000000,1616371199999,186708583.76309900,721728,3789532754.00000000,92024893.42165800,0
1616371200000,0.02783600,0.02937700,0.01959500,0.02620300,2697772133.00000000,1616975999999,64771087.31465600,301016,1288744119.00000000,30884835.97403900,0
1616976000000,0.02619900,4.81700000,0.02541400,2.64400000,138590605.91700000,1617580799999,198003942.57547900,673670,59940411.73600000,98005767.95768100,0
1617580800000,2.64500000,3.49000000,1.64600000,2.48000000,84527054.94300000,1618185599999,219536010.58457700,862367,41457649.44900000,108676983.50344800,0
1618185600000,2.48000000,2.48800000,1.54300000,1.71800000,27769751.06600000,1618790399999,56401527.35170100,276371,13208234.66300000,26879685.39410000,0
1618790400000,1.71800000,2.17000000,1.07500000,1.19600000,29822224.58200000,1619395199999,47754552.42882100,232933,14500580.37200000,23277864.86398100,0
1619395200000,1.19600000,1.85000000,1.16000000,1.66400000,28169392.15600000,1619999999999,43885751.43927300,252525,13757319.16000000,21457128.62078700,0
1620000000000,1.66400000,1.74900000,1.36900000,1.50200000,24641082.78300000,1620604799999,38075688.83711900,214892,12224853.60500000,18920709.20910700,0
1620604800000,1.50600000,1.54000000,0.98000000,1.05900000,23609841.23300000,1621209599999,27496405.89596500,133978,11876345.75500000,13793009.18306100,0
1621209600000,1.05600000,1.09000000,0.36300000,0.44500000,26819569.58400000,1621814399999,19098244.90375500,93584,13096394.88900000,9299061.45591600,0
1621814400000,0.44700000,0.88000000,0.43100000,0.62900000,47336236.09900000,1622419199999,31132597.68688800,156333,23508061.42100000,15494046.20877500,0
1622419200000,0.63000000,0.77100000,0.54200000,0.59200000,23624794.94600000,1623023999999,14950073.40095800,89685,11578445.89900000,7335114.74955400,0
1623024000000,0.59300000,0.75900000,0.47100000,0.56900000,34914884.81400000,1623628799999,21496169.93218800,109743,17307498.04700000,10686267.78201000,0
1623628800000,0.57000000,0.69800000,0.47000000,0.51500000,24421430.13700000,1624233599999,14629169.05641100,75955,11846548.56800000,7131190.08377000,0
1624233600000,0.51500000,0.53000000,0.31500000,0.37000000,23893802.15000000,1624838399999,9217539.56754400,47494,11906650.86300000,4618549.88684900,0
1624838400000,0.37000000,0.51600000,0.35500000,0.45000000,24482196.96700000,1625443199999,10415724.29699100,62484,11968210.40200000,5107832.56518700,0
1625443200000,0.44900000,0.47500000,0.40000000,0.42900000,14758008.10500000,1626047999999,6379370.08035000,42441,7035458.68600000,3047952.48931900,0
1626048000000,0.42900000,0.59900000,0.40200000,0.44400000,33334975.66500000,1626652799999,16231175.75070000,91209,16264738.23300000,7940992.92517700,0
1626652800000,0.44200000,0.98000000,0.42200000,0.60000000,50673954.22400000,1627257599999,30200164.01879000,162280,23210316.07900000,13749622.00880500,0
1627257600000,0.60100000,0.64900000,0.48100000,0.50500000,32912260.07700000,1627862399999,17789349.99014000,102302,15876311.96600000,8610475.92643100,0
1627862400000,0.50400000,0.69600000,0.47900000,0.62700000,31387753.09500000,1628467199999,18259844.71648300,104528,15481066.64000000,9025026.32030400,0
1628467200000,0.62700000,0.85000000,0.60700000,0.74800000,33116524.16600000,1629071999999,23989067.92179100,118409,16209088.49000000,11779577.15554300,0
1629072000000,0.74800000,0.83600000,0.64400000,0.76900000,15940524.30400000,1629676799999,11592109.89372700,71787,7857406.13700000,5730621.30781500,0
1629676800000,0.76900000,0.98800000,0.66300000,0.81900000,39169975.30200000,1630281599999,32373047.22940710,161368,19460871.92200000,16160558.45671900,0
1630281600000,0.82000000,0.88000000,0.72000000,0.84400000,20955804.00000000,1630886399999,16803153.38670000,95780,10624401.00000000,8528963.26460000,0
1630886400000,0.84400000,0.91400000,0.59350000,0.67000000,20568041.04000000,1631491199999,15302010.00884260,87171,10200901.59600000,7620804.45106280,0
1631491200000,0.67010000,0.78650000,0.60570000,0.68250000,17561475.00000000,1632095999999,12539892.24590000,66539,8632725.00000000,6177939.44790000,0
1632096000000,0.68460000,0.68460000,0.49830000,0.54700000,27715579.41600000,1632700799999,16409072.28225750,85680,13648300.40300000,8103170.85891700,0
1632700800000,0.54690000,0.64830000,0.49660000,0.56140000,15899693.00000000,1633305599999,8850835.35679640,51239,8009741.00000000,4466560.85040000,0
1633305600000,0.55940000,0.78860000,0.53600000,0.63460000,26332050.03500000,1633910399999,17315742.34925500,92629,13442158.03500000,8855818.00925500,0
1633910400000,0.63160000,0.96000000,0.59160000,0.68410000,41633985.00000000,1634515199999,31353231.66160000,128679,20772642.00000000,15696649.23730000,0
1634515200000,0.68450000,0.80200000,0.58000000,0.66540000,28968660.00000000,1635119999999,20094133.18660000,94606,14621718.00000000,10150337.32310000,0
1635120000000,0.66710000,0.69540000,0.60110000,0.64990000,15206753.00000000,1635724799999,9941745.38460000,53219,7569531.00000000,4956789.18700000,0
1635724800000,0.64990000,0.72000000,0.63650000,0.69390000,16162398.00000000,1636329599999,10851972.57500000,65473,8155657.00000000,5484595.92620000,0
1636329600000,0.69420000,0.86650000,0.67560000,0.73750000,30966392.00000000,1636934399999,23559127.60590000,133737,15003173.00000000,11420835.29460000,0
1636934400000,0.73820000,2.20000000,0.62590000,1.01020000,311268254.77700000,1637539199999,452181494.57525020,1338577,156459054.28600000,228279999.74530690,0
1637539200000,1.01110000,1.56840000,0.89880000,1.17910000,189913394.00000000,1638143999999,227855837.91340000,899515,95953534.00000000,115654814.61730000,0
1638144000000,1.17720000,1.36660000,0.72490000,0.95830000,99102354.00000000,1638748799999,108121469.45690000,460027,50101365.00000000,54788348.34780000,0
1638748800000,0.95940000,1.10000000,0.91420000,0.98270000,21342280.00000000,1639353599999,21506937.02140000,112674,10893583.00000000,10996855.62830000,0
