otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.04690000,0.06850000,0.04350000,0.05770000,90258133.09000000,1610323199999,5031591.33737300,56653,44100287.82000000,2460617.32921600,0
1610323200000,0.05770000,0.06380000,0.04550000,0.06020000,80868615.37000000,1610927999999,4545188.98106700,57726,37208222.31000000,2092962.50248100,0
1610928000000,0.06020000,0.07850000,0.05480000,0.07050000,101447838.71000000,1611532799999,6730812.26840900,71627,48234403.40000000,3207538.22331500,0
1611532800000,0.07050000,0.10380000,0.05910000,0.07230000,144563142.78000000,1612137599999,11145913.31355400,94865,69574368.90000000,5378588.42545800,0
1612137600000,0.07240000,0.10600000,0.06970000,0.10050000,145440501.97000000,1612742399999,12397117.46728600,107003,70970688.53000000,6062877.36420800,0
1612742400000,0.10050000,0.21140000,0.09420000,0.19100000,180180456.23000000,1613347199999,27134241.01532000,190203,89811307.16000000,13542697.17197800,0
1613347200000,0.19000000,0.27000000,0.14530000,0.24590000,157376731.12000000,1613951999999,34718450.51074100,201447,78728970.30000000,17381657.80559800,0
1613952000000,0.24710000,0.28000000,0.15220000,0.19010000,156930548.78000000,1614556799999,35315976.77674200,168824,77878279.14000000,17665600.44495600,0
1614556800000,0.19050000,0.26380000,0.18930000,0.24420000,111255174.24000000,1615161599999,26482685.62690800,162690,58513124.90000000,13941135.75079200,0
1615161600000,0.24470000,0.33740000,0.24190000,0.29640000,155640797.88000000,1615766399999,45041572.79729500,276755,78018436.56000000,22603690.27181400,0
1615766400000,0.29670000,0.43900000,0.27660000,0.36970000,165249728.57000000,1616371199999,59967049.69287400,338217,83929445.77000000,30497210.21324800,0
1616371200000,0.37040000,0.39500000,0.29880000,0.35360000,98018007.92000000,1616975999999,33979131.98038200,186810,48685657.17000000,16897618.33694100,0
1616976000000,0.35360000,0.42990000,0.34600000,0.40200000,89880574.54000000,1617580799999,35134410.53488400,184221,45943014.79000000,17982923.75153500,0
1617580800000,0.40130000,0.46170000,0.34870000,0.36930000,122645020.56000000,1618185599999,49031102.24161900,227021,61145757.52000000,24478551.38521200,0
1618185600000,0.36990000,0.41170000,0.30360000,0.31950000,240450985.32000000,1618790399999,87767138.29552500,606550,118628152.17000000,43360226.40793100,0
1618790400000,0.31940000,0.35390000,0.18520000,0.21040000,193152489.02000000,1619395199999,53774990.73131300,302920,97862575.80000000,27250320.50072900,0
1619395200000,0.21110000,0.30770000,0.20970000,0.27980000,146823654.56000000,1619999999999,39469945.41950200,214335,74453296.11000000,20031109.42758200,0
1620000000000,0.27950000,0.31390000,0.24790000,0.27810000,119772540.30000000,1620604799999,33722176.75238800,185547,58994772.21000000,16623884.24201900,0
1620604800000,0.27810000,0.28430000,0.18130000,0.20050000,88956820.07000000,1621209599999,20183053.55804200,106678,46411018.63000000,10673802.70054800,0
1621209600000,0.20110000,0.20220000,0.08420000,0.10620000,113362006.82000000,1621814399999,16518803.25699600,84028,57404153.82000000,8385738.58868600,0
1621814400000,0.10630000,0.16510000,0.10390000,0.12560000,151121002.23000000,1622419199999,20144912.93830000,95084,79290161.54000000,10619390.56692200,0
1622419200000,0.12560000,0.13870000,0.10740000,0.11890000,88802299.80000000,1623023999999,11091833.32443800,57192,45682187.46000000,5714443.87411300,0
1623024000000,0.11870000,0.15390000,0.09450000,0.12000000,177528582.31000000,1623628799999,21663757.73290300,111417,89409138.15000000,10931412.12192300,0
1623628800000,0.11990000,0.14280000,0.11160000,0.11940000,127635742.79000000,1624233599999,16207687.79298300,87152,62863161.28000000,7999930.28728500,0
1624233600000,0.11950000,0.13000000,0.08330000,0.11440000,128883196.16000000,1624838399999,14427997.54631200,70331,63059562.62000000,7040656.21571700,0
1624838400000,0.11440000,0.13400000,0.10810000,0.12570000,91164279.71000000,1625443199999,11014169.16999700,61436,45640180.29000000,5524165.24169200,0
1625443200000,0.12550000,0.12910000,0.10690000,0.11580000,82526702.24000000,1626047999999,9741455.16368100,58327,40113913.86000000,4737939.64888900,0
1626048000000,0.11600000,0.11900000,0.10120000,0.10520000,80686729.13000000,1626652799999,8794202.59470300,51883,39649292.14000000,4321941.27021500,0
1626652800000,0.10510000,0.11500000,0.09150000,0.10840000,75622449.69000000,1627257599999,7697598.28390900,43281,39151456.03000000,3989451.04058500,0
